rho,kappa,gamma,bar_v,v0,moneyness,tau,r,price_ann_iv,price_heston_cf,price_error,delta_ann_iv,delta_heston_cf,delta_error,vega_ann_iv,vega_heston_cf,vega_error,theta_ann_iv,theta_heston_cf,theta_error,rho_ann_iv,rho_heston_cf,rho_error,gamma_ann_iv,gamma_heston_cf,gamma_error
-0.7,2.0,0.3,0.04,0.04,0.8,0.05,0.01,0.19950012497916925,0.19950010973448784,1.524468140612356e-08,-1.0,-0.9999999691632002,-3.08367997803316e-08,0.0,3.3966607759457264e-08,-3.3966607759457264e-08,0.009995001249791692,0.009995070077693126,-6.882790143381001e-08,-0.04997500624895847,-0.04997500425325242,-1.995706044866097e-09,0.0,2.0676690227947134e-05,-2.0676690227947134e-05
-0.7,2.0,0.3,0.04,0.04,0.8,0.115,0.01,0.19885080997701643,0.1988507745358724,3.544114401954346e-08,-0.9999799979599653,-0.9999843418050615,4.343845096177468e-06,4.2963420466716466e-05,3.466636968522908e-05,8.297050781487385e-06,0.00997489138508868,0.009977086176487801,-2.194791399122084e-06,-0.11486611439501579,-0.11486639851769101,2.841226752203774e-07,0.0023829773857099914,0.001786149914768831,0.0005968274709411605
-0.7,2.0,0.3,0.04,0.04,0.8,0.18,0.01,0.19820772024380573,0.19820737810346956,3.4214033617363526e-07,-0.9994915318067323,-0.9995267027131552,3.5170906422909987e-05,0.0010794436519774063,0.001019540530868203,5.9903121109203435e-05,0.009753025261515308,0.009757035305861311,-4.010044346003036e-06,-0.17960494616658143,-0.17960917324931888,4.227082737451315e-06,0.039589456867803303,0.03632335036612355,0.003266106501679751
-0.7,2.0,0.3,0.04,0.04,0.8,0.245,0.01,0.19759245634744216,0.19759238430134107,7.204610108502152e-08,-0.9974332891217587,-0.9974945959622179,6.130684045924095e-05,0.005286289577648183,0.005187588265389481,9.870131225870205e-05,0.009101159472038661,0.009087425196300843,1.3734275737817617e-05,-0.24390439077245057,-0.2439190749624233,1.468418997271903e-05,0.15384080901737768,0.14650183348555235,0.007338975531825331
-0.7,2.0,0.3,0.04,0.04,0.8,0.31,0.01,0.19703362610103048,0.19703484655679881,-1.2204557683359596e-06,-0.9930247040575798,-0.9931461382004587,0.00012143414287890675,0.01378283950116498,0.013607372373038384,0.00017546712812659473,0.00803540091720276,0.00801294239913516,2.2458518067600478e-05,-0.3073412360208047,-0.3073810447063213,3.980868551661798e-05,0.340692227608142,0.3261334735773538,0.014558754030788212
-0.7,2.0,0.3,0.04,0.04,0.8,0.375,0.01,0.19655361104538482,0.1965560575466393,-2.4465012544716558e-06,-0.9861823762088856,-0.9864274041773815,0.00024502796849590336,0.026079241438678923,0.025794767503062088,0.00028447393561683437,0.006703815553868502,0.006690019730814022,1.3795823054480079e-05,-0.3695443061985855,-0.3696367428332042,9.243663461866447e-05,0.5680203041575504,0.5460077200642601,0.02201258409329032
-0.7,2.0,0.3,0.04,0.04,0.8,0.44,0.01,0.196164521931938,0.196167630279928,-3.1083479899995936e-06,-0.9772620130219054,-0.9776447869196929,0.0003827738977875139,0.04096939874311826,0.040627573187445476,0.00034182555567278256,0.005260129960510662,0.005250860133374113,9.269827136548607e-06,-0.43027874299627245,-0.4304447223189003,0.00016597932262785164,0.8047695266032683,0.7789248573336955,0.02584466926957274
-0.7,2.0,0.3,0.04,0.04,0.8,0.505,0.01,0.1958698400660911,0.19587399678270268,-4.156716611580791e-06,-0.9667597324378963,-0.9672222869505932,0.00046255451269694436,0.05723115165325835,0.056935715197134806,0.0002954364561235448,0.0038126557130487826,0.003785219679245496,2.74360338032866e-05,-0.48943994185328293,-0.48967417230330446,0.00023423045002152199,1.030632664629259,1.0056170865992975,0.02501557802996146
-0.7,2.0,0.3,0.04,0.04,0.8,0.5700000000000001,0.01,0.195667633285439,0.19567485483881786,-7.2215533788444475e-06,-0.9551464236464666,-0.9555886835634188,0.00044225991695212574,0.07389565908276094,0.07373460656334685,0.00016105251941408993,0.0024214780396889946,0.0023510453883048774,7.043265138411726e-05,-0.5470144247563413,-0.547283106963045,0.0002686822067037298,1.235065353896536,1.2142528671987698,0.02081248669776614
-0.7,2.0,0.3,0.04,0.04,0.8,0.635,0.01,0.19555322923634888,0.19556687703869002,-1.3647802341143489e-05,-0.9428107167273306,-0.9431304514678907,0.00031973474056001816,0.09027836099296489,0.09028428660141108,-5.92560844618617e-06,0.0011136653531678123,0.0009848763042682746,0.00012878904889953766,-0.6030435515810649,-0.6032952362652568,0.0002516846841918996,1.4138865685711692,1.3987021449230532,0.015184423648116008
-0.7,2.0,0.3,0.04,0.04,0.8,0.7000000000000001,0.01,0.19552084771096223,0.1955448662561059,-2.401854514366697e-05,-0.9300550775103649,-0.930174300674677,0.0001192231643121211,0.10592854169907175,0.1060760942469745,-0.00014755254790276007,-0.00010167833540940653,-0.0002914167453796374,0.0001897384099702309,-0.657599323798913,-0.6577790147570933,0.0001796909581803785,1.5665084898410953,1.5568120825793486,0.009696407261746698
-0.7,2.0,0.3,0.04,0.04,0.8,0.7650000000000001,0.01,0.19556442417976017,0.19560255841568852,-3.813423592835541e-05,-0.9171093400004593,-0.9169840749710021,-0.00012526502945719997,0.12056854548153483,0.12079292770707717,-0.00022438222554234388,-0.0012237390695903562,-0.001466281275972101,0.0002425422063817447,-0.7107699749882784,-0.710830211070255,6.023608197658348e-05,1.6942073142097036,1.6889741534025582,0.0052331608071454205
-0.7,2.0,0.3,0.04,0.04,0.8,0.8300000000000001,0.01,0.19567796463415832,0.19573318870296774,-5.522406880942299e-05,-0.9041463970310354,-0.9037649796408216,-0.0003814173902138007,0.1340438336599762,0.13426408826755054,-0.00022025460757432724,-0.00225494295142821,-0.0025354273215245846,0.00028048437009637467,-0.7626514833229024,-0.7625584931049683,-9.299021793418571e-05,1.799141535839155,1.7970421939159884,0.00209934192316652
-0.7,2.0,0.3,0.04,0.04,0.8,0.895,0.01,0.19585567188008612,0.19592988609541673,-7.421421533060357e-05,-0.8912954300146562,-0.8906712313534495,-0.0006241986612066652,0.14628603164237267,0.14642409879042884,-0.00013806714805617015,-0.0031986930882954034,-0.0034995477660499236,0.0003008546777545202,-0.8133423825274455,-0.8130778497044684,-0.0002645328229771149,1.8838111474456716,1.883579409801662,0.00023173764400952201
-0.7,2.0,0.3,0.04,0.04,0.8,0.9600000000000001,0.01,0.19609197679069656,0.19618593862823241,-9.396183753584975e-05,-0.8786520752341892,-0.8778147743739517,-0.0008373008602374776,0.15728629236622266,0.15727898262111029,7.309745112371591e-06,-0.004058535923644413,-0.004362596723680166,0.000304060800035753,-0.8629404332117533,-0.8625002478022985,-0.00044018540945478524,1.9507625523006626,1.95137371173419,-0.0006111594335274084
-0.7,2.0,0.3,0.04,0.04,0.8,1.0250000000000001,0.01,0.19638153954873194,0.19649496169954772,-0.00011342215081577844,-0.8662860388331797,-0.8652737100053247,-0.001012328827854958,0.1670760876433469,0.16688047220331814,0.00019561544002874576,-0.00483797951246804,-0.005130512223977276,0.00029253271150923594,-0.9115404055491461,-0.910931777946403,-0.0006086276027430504,2.0024303536181405,2.003150845622498,-0.0007204920043575314
-0.7,2.0,0.3,0.04,0.04,0.8,1.09,0.01,0.19671924866938373,0.1968509954328621,-0.00013174676347837977,-0.8542468106196854,-0.8530997669050648,-0.0011470437146205992,0.1757132712584542,0.17530724161588762,0.00040602964256658547,-0.005540560970442776,-0.005810297230738497,0.00026973626029572033,-0.9592325776901157,-0.9584705817630366,-0.000761995927079151,2.0410569146492454,2.0414221701323925,-0.00036525548314703116
