rho,kappa,gamma,bar_v,v0,moneyness,tau,r,price_ann_iv,price_heston_cf,price_error,delta_ann_iv,delta_heston_cf,delta_error,vega_ann_iv,vega_heston_cf,vega_error,theta_ann_iv,theta_heston_cf,theta_error,rho_ann_iv,rho_heston_cf,rho_error,gamma_ann_iv,gamma_heston_cf,gamma_error
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.05,0.01,0.1999209100499948,0.19992155029574155,-6.402457467524769e-07,-0.984144539475121,-0.9841263683077565,-1.817116736457791e-05,0.007352828799067908,0.007375097273603276,-2.2268474535368232e-05,-0.02077666518763817,-0.020833534888466954,5.686970082878495e-05,-0.0493599795135807,-0.04936113224709735,1.1527335166544583e-06,0.5132378234354787,0.513551521154767,-0.00031369771928824175
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.06218750000000001,0.01,0.20025994998047825,0.20026139076550054,-1.4407850222886154e-06,-0.9720457144679694,-0.9720174496782623,-2.8264789707077576e-05,0.013171279763596016,0.01320599590955901,-3.4716145962994036e-05,-0.034555634907614666,-0.03462775982478164,7.212491716697411e-05,-0.0608098841448638,-0.060811623359723135,1.7392148593323165e-06,0.7442913647213445,0.744549822463263,-0.0002584577419184608
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.074375,0.01,0.2007544158380733,0.2007567664251929,-2.3505871196149997e-06,-0.9586278529770728,-0.9585927992782888,-3.5053698783982234e-05,0.019767702549513995,0.01981244721157699,-4.4744662062994045e-05,-0.046205590915125695,-0.046281286750700375,7.569583557467952e-05,-0.07196586339042203,-0.07196755605993191,1.6926695098756772e-06,0.940375170913844,0.9405187359029661,-0.00014356498912204696
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.0865625,0.01,0.20137711644908896,0.20138037663982844,-3.260190739484692e-06,-0.9447603522212605,-0.9447214665976573,-3.8885623603213126e-05,0.026722860453983574,0.02677479346668782,-5.193301270424444e-05,-0.055627422217658755,-0.05570029569574895,7.287347809019351e-05,-0.08285304678243907,-0.0828539504147729,9.036323338346142e-07,1.0996793922781685,1.0997005342293527,-2.1141951184189267e-05
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.09875,0.01,0.20210237385611463,0.20210648966588995,-4.1158097753291045e-06,-0.9309529245312133,-0.9309123893118377,-4.0535219375525955e-05,0.03377429012426297,0.03383080795269755,-5.651782843457687e-05,-0.06309152696626782,-0.06315879082953767,6.726386326984246e-05,-0.09350059300383692,-0.09350009461014182,-4.983936951058476e-07,1.2265865001711276,1.2264966242905935,8.987588053410711e-05
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.11093750000000001,0.01,0.20290842011161192,0.20291331592164763,-4.8958100357099354e-06,-0.9174877071397077,-0.9174471055802063,-4.060155950147415e-05,0.04076399494802993,0.04082290410086553,-5.8909152835601164e-05,-0.0689416169646246,-0.06900226830287279,6.065133824818825e-05,-0.1039363992666655,-0.10393412660530106,-2.2726613644330484e-06,1.326727549196709,1.3265414771493838,0.0001860720473252364
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.123125,0.01,0.20377756469410602,0.20378315785905676,-5.593164950745688e-06,-0.9045108169973708,-0.9044713587777655,-3.945821960527063e-05,0.04759956165246857,0.04765908713837236,-5.95254859037872e-05,-0.07349484150351855,-0.07354861516667302,5.3773663154468854e-05,-0.11418538813077062,-0.11418123015100627,-4.157979764343733e-06,1.4053137859729596,1.405045066460577,0.0002687195123827202
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.1353125,0.01,0.20469567128967137,0.20470187794074923,-6.206651077866887e-06,-0.8920888103486878,-0.8920514717126173,-3.733863607047194e-05,0.054229054926773976,0.054287801485561615,-5.874655878763957e-05,-0.07701599880354285,-0.0770629173788854,4.691857534255828e-05,-0.12426921752949809,-0.12426329467174849,-5.922857749598998e-06,1.4667037494158348,1.4663641999839374,0.0003395494318974013
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.14750000000000002,0.01,0.2056515059695314,0.2056582434606119,-6.737491080488489e-06,-0.8802423260393321,-0.8802079118309654,-3.44142083666954e-05,0.06062543702404612,0.06068233964365455,-5.690261960843157e-05,-0.07971752193098249,-0.07975775383660516,4.0231905622675757e-05,-0.13420651176397932,-0.1341991245064942,-7.3872574851141515e-06,1.5143995597262576,1.5139998571394013,0.00039970258685628757
-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.21971117661996578,0.8,0.1596875,0.01,0.2066361422032601,0.2066433306911336,-7.188487873510674e-06,-0.8689659668905336,-0.8689351286308986,-3.083825963501319e-05,0.06677697350649892,0.06683124742875668,-5.427392225776373e-05,-0.08176709685748065,-0.08180093381368371,3.38369562030566e-05,-0.1440132471423648,-0.14400481955233768,-8.427590027115794e-06,1.5511702678058608,1.5507204693039043,0.00044979850195647764
