rho,kappa,gamma,bar_v,v0,moneyness,tau,r,price_ann_iv,price_heston_cf,price_error,delta_ann_iv,delta_heston_cf,delta_error,vega_ann_iv,vega_heston_cf,vega_error,theta_ann_iv,theta_heston_cf,theta_error,rho_ann_iv,rho_heston_cf,rho_error,gamma_ann_iv,gamma_heston_cf,gamma_error
-0.7,2.0,0.3,0.04,0.04,0.8,0.05,0.01,0.19950012497916925,0.19950010973448784,1.524468140612356e-08,-1.0,-0.9999999691632002,-3.08367997803316e-08,0.0,3.3966607759457264e-08,-3.3966607759457264e-08,0.009995001249791692,0.009995070077693126,-6.882790143381001e-08,-0.04997500624895847,-0.04997500425325242,-1.995706044866097e-09,0.0,2.0676690227947134e-05,-2.0676690227947134e-05
-0.7,2.0,0.3,0.04,0.04,0.8,0.115,0.01,0.1988507099039245,0.1988507745358724,-6.463194790473636e-08,-0.9999889812540981,-0.9999843418050615,-4.639449036614174e-06,2.571283222288647e-05,3.466636968522908e-05,-8.95353746234261e-06,0.009979686190658196,0.009977086176487801,2.6000141703941965e-06,-0.11486526858590272,-0.11486639851769101,1.1299317882879079e-06,0.0018912515435040881,0.001786149914768831,0.00010510162873525724
-0.7,2.0,0.3,0.04,0.04,0.8,0.18,0.01,0.19820990137666117,0.19820737810346956,2.523273191612496e-06,-0.9993280796978735,-0.9995267027131552,0.0001986230152817292,0.0012623874349648742,0.001019540530868203,0.00024284690409667135,0.009643646095554166,0.009757035305861311,-0.00011338921030714516,-0.17958768284327215,-0.17960917324931888,2.149040604673691e-05,0.049137035614704644,0.03632335036612355,0.012813685248581091
-0.7,2.0,0.3,0.04,0.04,0.8,0.245,0.01,0.19760202238741165,0.19759238430134107,9.638086070573593e-06,-0.9969442163016847,-0.9974945959622179,0.0005503796605331734,0.0058626511030056986,0.005187588265389481,0.0006750628376162174,0.008989211243987988,0.009087425196300843,-9.821395231285508e-05,-0.24398381803015623,-0.2439190749624233,-6.474306773293637e-05,0.17142277379377477,0.14650183348555235,0.024920940308222422
-0.7,2.0,0.3,0.04,0.04,0.8,0.31,0.01,0.1970510993570419,0.19703484655679881,1.6252800243088394e-05,-0.9922984092549509,-0.9931461382004587,0.0008477289455077752,0.01454862355638444,0.013607372373038384,0.0009412511833460559,0.007916720037562035,0.00801294239913516,-9.622236157312385e-05,-0.30753775971110736,-0.3073810447063213,-0.0001567150047860344,0.3621606122225291,0.3261334735773538,0.036027138645175316
-0.7,2.0,0.3,0.04,0.04,0.8,0.375,0.01,0.19657950251864076,0.1965560575466393,2.3444972001462894e-05,-0.9852265944117865,-0.9864274041773815,0.0012008097655950012,0.02717259406448963,0.025794767503062088,0.001377826561427542,0.006560765812910322,0.006690019730814022,-0.00012925391790370028,-0.36975203693108744,-0.3696367428332042,-0.00011529409788324507,0.5892333402693105,0.5460077200642601,0.043225620205050386
-0.7,2.0,0.3,0.04,0.04,0.8,0.44,0.01,0.19619995873311236,0.196167630279928,3.232845318434929e-05,-0.9761241245007785,-0.9776447869196929,0.0015206624189144646,0.04231877277109782,0.040627573187445476,0.001691199583652346,0.005115867503085689,0.005250860133374113,-0.00013499263028842433,-0.4304411492246444,-0.4304447223189003,3.5730942559153434e-06,0.8224308221296565,0.7789248573336955,0.043505964795960916
-0.7,2.0,0.3,0.04,0.04,0.8,0.505,0.01,0.1959139701237772,0.19587399678270268,3.9973341074528435e-05,-0.9655165081998811,-0.9672222869505932,0.0017057787507120947,0.05879931445201673,0.056935715197134806,0.0018635992548819216,0.0036908887291261724,0.003785219679245496,-9.43309501193236e-05,-0.48953036390646854,-0.48967417230330446,0.0001438083968359205,1.0433522143436473,1.0056170865992975,0.03773512774434984
-0.7,2.0,0.3,0.04,0.04,0.8,0.5700000000000001,0.01,0.19571890436375794,0.19567485483881786,4.404952494008185e-05,-0.9538564330160068,-0.9555886835634188,0.0017322505474119954,0.07572665238137241,0.07373460656334685,0.001992045818025562,0.0023227531239490935,0.0023510453883048774,-2.8292264355783865e-05,-0.5470186860736534,-0.547283106963045,0.00026442088939160335,1.2431098239256033,1.2142528671987698,0.028856956726833527
-0.7,2.0,0.3,0.04,0.04,0.8,0.635,0.01,0.19561029026852084,0.19556687703869002,4.3413229830813194e-05,-0.9415085318740336,-0.9431304514678907,0.0016219195938570463,0.09245153004805531,0.09028428660141108,0.0021672434466442347,0.001033751879352185,0.0009848763042682746,4.887557508391049e-05,-0.6029640574253453,-0.6032952362652568,0.00033117883991151675,1.4181393877403372,1.3987021449230532,0.019437242817283984
