moneyness,tau,r,iv_market,weight
0.85,0.5,0.03,0.4463441836535294,1.0
0.85,0.75,0.03,0.4430635575926333,1.0
0.85,1.0,0.03,0.44053553730602135,1.0
0.85,1.25,0.03,0.438580078295806,1.0
0.85,1.5,0.03,0.437061815616478,1.0
0.85,1.75,0.03,0.4358791672503427,1.0
0.85,2.0,0.03,0.43495566982009637,1.0
0.925,0.5,0.03,0.4521813324473506,1.0
0.925,0.75,0.03,0.44855127452636884,1.0
0.925,1.0,0.03,0.4456828242767598,1.0
0.925,1.25,0.03,0.44340606339554556,1.0
0.925,1.5,0.03,0.44159012265099074,1.0
0.925,1.75,0.03,0.44013455030744225,1.0
0.925,2.0,0.03,0.43896219502040124,1.0
1.0,0.5,0.03,0.4578540122012227,1.0
1.0,0.75,0.03,0.4538580358592663,1.0
1.0,1.0,0.03,0.4506394264681124,1.0
1.0,1.25,0.03,0.4480363247207765,1.0
1.0,1.5,0.03,0.4459209341288205,1.0
1.0,1.75,0.03,0.4441929394542738,1.0
1.0,2.0,0.03,0.44277379394801003,1.0
1.075,0.5,0.03,0.4633141020186341,1.0
1.075,0.75,0.03,0.4589526970480688,1.0
1.075,1.0,0.03,0.45538726699500254,1.0
1.075,1.25,0.03,0.4524626131460465,1.0
1.075,1.5,0.03,0.4500532887177949,1.0
1.075,1.75,0.03,0.4480587325969111,1.0
1.075,2.0,0.03,0.4463987830952074,1.0
1.15,0.5,0.03,0.4685398549040671,1.0
1.15,0.75,0.03,0.4638231367968787,1.0
1.15,1.0,0.03,0.45992163865674796,1.0
1.15,1.25,0.03,0.45668582715533584,1.0
1.15,1.5,0.03,0.45399225838644064,1.0
1.15,1.75,0.03,0.4517400660262324,1.0
1.15,2.0,0.03,0.4498475200938939,1.0
