check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,25921,0,0.0,0.0,,,,,,,,
nonnegative_price,non_hard,price,25921,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,0,0,,0.0,,,,,,,,
nonnegative_price,atm,price,3864,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,0,0,,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,25921,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,25921,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,0,0,,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,3864,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,0,0,,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,25921,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,25921,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,0,0,,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,3864,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,0,0,,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,25921,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,25921,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,0,0,,0.0,,,,,,,,
convexity_gamma_ge_0,atm,gamma,3864,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,0,0,,0.0,,,,,,,,
finite_values,full,price,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,25921,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,0,0,,0.0,,,,,,,,
finite_values,atm,price,3864,0,0.0,0.0,,,,,,,,
finite_values,hard,price,0,0,,0.0,,,,,,,,
finite_values,full,delta,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,25921,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,0,0,,0.0,,,,,,,,
finite_values,atm,delta,3864,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,0,0,,0.0,,,,,,,,
finite_values,full,gamma,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,25921,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,0,0,,0.0,,,,,,,,
finite_values,atm,gamma,3864,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,0,0,,0.0,,,,,,,,
finite_values,full,vega,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,vega,25921,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,0,0,,0.0,,,,,,,,
finite_values,atm,vega,3864,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,0,0,,0.0,,,,,,,,
finite_values,full,theta,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,theta,25921,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,0,0,,0.0,,,,,,,,
finite_values,atm,theta,3864,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,0,0,,0.0,,,,,,,,
finite_values,full,rho,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,rho,25921,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,0,0,,0.0,,,,,,,,
finite_values,atm,rho,3864,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,0,0,,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,25760,0,,,surface_x,0.000990225369125538,0.0014273055610631333,0.002079267441157809,0.002469360254398867,,,
smoothness_neighbor_jump,full,price,25760,0,,,surface_y,0.001088646214426654,0.001835653758741224,0.0034252754770039058,0.004876543003755784,,,
smoothness_neighbor_jump,full,delta,25760,0,,,surface_x,0.0025089905712826314,0.004063791187527059,0.007054235224211189,0.009756302322252441,,,
smoothness_neighbor_jump,full,delta,25760,0,,,surface_y,0.00170327151943666,0.003911533042442748,0.018025550809452805,0.030034148552397832,,,
smoothness_neighbor_jump,full,gamma,25760,0,,,surface_x,0.005550427613007345,0.009075621973656946,0.039859334503028865,0.07158762693821341,,,
smoothness_neighbor_jump,full,gamma,25760,0,,,surface_y,0.01336629760917202,0.02646593340339008,0.15936971031957395,0.45201768548320365,,,
smoothness_neighbor_jump,full,vega,25760,0,,,surface_x,0.0004533758627986876,0.0010171050298291157,0.0016306501838298506,0.0016839617452390487,,,
smoothness_neighbor_jump,full,vega,25760,0,,,surface_y,0.0012930742972493523,0.0038871518369724425,0.010441299813437678,0.01407261547395218,,,
smoothness_neighbor_jump,full,theta,25760,0,,,surface_x,0.0003614127802913961,0.0008189938287688245,0.003967184844427519,0.006828969297357934,,,
smoothness_neighbor_jump,full,theta,25760,0,,,surface_y,0.0014679052233553304,0.0029626954115078265,0.016662265026374287,0.04786141394334209,,,
smoothness_neighbor_jump,full,rho,25760,0,,,surface_x,0.002130975803275379,0.003074067196219566,0.003466340925463527,0.003598972507377729,,,
smoothness_neighbor_jump,full,rho,25760,0,,,surface_y,0.0072560070881496855,0.008164524351649582,0.011847985753137948,0.014409487060882126,,,
terminal_payoff_boundary,terminal,price,161,153,0.9503105590062112,0.012708388648133506,,,,,,0.0035120613211986475,0.002535770610868198,0.011478903449394007
lower_spot_boundary,lower_spot,price,161,107,0.6645962732919255,0.00029649481025761926,,,,,,0.00013996253335744427,0.00012478769341281326,0.0002923866258804031
