check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,9680,0,0.0,0.0,,,,,,,,
nonnegative_price,non_hard,price,279,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,9559,0,0.0,0.0,,,,,,,,
nonnegative_price,atm,price,9520,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,9401,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,9680,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,279,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,9559,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,9520,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,9401,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,9680,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,279,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,9559,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,9520,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,9401,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,9680,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,279,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,9559,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,atm,gamma,9520,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,9401,0,0.0,0.0,,,,,,,,
finite_values,full,price,9680,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,279,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,9559,0,0.0,0.0,,,,,,,,
finite_values,atm,price,9520,0,0.0,0.0,,,,,,,,
finite_values,hard,price,9401,0,0.0,0.0,,,,,,,,
finite_values,full,delta,9680,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,279,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,9559,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,9520,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,9401,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,9680,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,279,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,9559,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,9520,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,9401,0,0.0,0.0,,,,,,,,
finite_values,full,vega,9680,0,0.0,0.0,,,,,,,,
finite_values,non_hard,vega,279,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,9559,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,9520,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,9401,0,0.0,0.0,,,,,,,,
finite_values,full,theta,9680,0,0.0,0.0,,,,,,,,
finite_values,non_hard,theta,279,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,9559,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,9520,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,9401,0,0.0,0.0,,,,,,,,
finite_values,full,rho,9680,0,0.0,0.0,,,,,,,,
finite_values,non_hard,rho,279,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,9559,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,9520,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,9401,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,9600,0,,,surface_x,0.0002447527976149437,0.00031001148111408917,0.00034869643496935053,0.0003678245490332799,,,
smoothness_neighbor_jump,full,price,9559,0,,,surface_y,0.00029820310290995246,0.00035378058303765504,0.00037341428291543855,0.0003779831200335093,,,
smoothness_neighbor_jump,full,delta,9600,0,,,surface_x,0.0026978653631946964,0.003563238012946568,0.003965059506182512,0.004060874898797917,,,
smoothness_neighbor_jump,full,delta,9559,0,,,surface_y,0.0008439245528238669,0.0016937447986194122,0.002412988061022674,0.002730106852383174,,,
smoothness_neighbor_jump,full,gamma,9600,0,,,surface_x,0.009212718605178602,0.02117138090770299,0.03237174575192743,0.03898148113692024,,,
smoothness_neighbor_jump,full,gamma,9559,0,,,surface_y,0.04923400459172283,0.07295689789346566,0.08284435170032531,0.08517075460966872,,,
smoothness_neighbor_jump,full,vega,9600,0,,,surface_x,7.733520693157255e-05,0.00013598691119326225,0.00015706672057338308,0.00016342102483238308,,,
smoothness_neighbor_jump,full,vega,9559,0,,,surface_y,0.000832668846525321,0.0011042330191394765,0.0011813396131110665,0.0011943584911394134,,,
smoothness_neighbor_jump,full,theta,9600,0,,,surface_x,0.0007364173035525031,0.0014813351815189725,0.002112999206082042,0.0023918472184341066,,,
smoothness_neighbor_jump,full,theta,9559,0,,,surface_y,0.002878361122153556,0.0032287764360377394,0.003303193405935947,0.003311493616007688,,,
smoothness_neighbor_jump,full,rho,9600,0,,,surface_x,0.0001415184431125527,0.000309932514498247,0.00043437029597825086,0.0004749398386270018,,,
