check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,25921,84,0.0032406157169862274,0.004245017211638608,,,,,,,,
nonnegative_price,non_hard,price,25906,84,0.0032424920867752645,0.004245017211638608,,,,,,,,
nonnegative_price,short_maturity,price,483,84,0.17391304347826086,0.004245017211638608,,,,,,,,
nonnegative_price,atm,price,805,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,15,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,25921,329,0.012692411558196058,0.05239996402678165,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,25906,329,0.01269976067320312,0.05239996402678165,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,483,109,0.22567287784679088,0.05239996402678165,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,805,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,15,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,25921,2172,0.08379306353921531,0.034391263892351524,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,25906,2172,0.08384158110090327,0.034391263892351524,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,483,111,0.22981366459627328,0.034391263892351524,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,805,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,15,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,25921,2688,0.10369970294355928,0.6365848053273155,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,25906,2688,0.10375974677680846,0.6365848053273155,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,483,161,0.3333333333333333,0.5116000975136309,,,,,,,,
convexity_gamma_ge_0,atm,gamma,805,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,15,0,0.0,0.0,,,,,,,,
finite_values,full,price,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,25906,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,483,0,0.0,0.0,,,,,,,,
finite_values,atm,price,805,0,0.0,0.0,,,,,,,,
finite_values,hard,price,15,0,0.0,0.0,,,,,,,,
finite_values,full,delta,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,25906,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,483,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,805,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,15,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,25906,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,483,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,805,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,15,0,0.0,0.0,,,,,,,,
finite_values,full,vega,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,vega,25906,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,483,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,805,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,15,0,0.0,0.0,,,,,,,,
finite_values,full,theta,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,theta,25906,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,483,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,805,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,15,0,0.0,0.0,,,,,,,,
finite_values,full,rho,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,rho,25906,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,483,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,805,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,15,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,25760,0,,,surface_x,0.005842015341874631,0.012479578027208282,0.012585833440516196,0.012924806601877115,,,
smoothness_neighbor_jump,full,price,25760,0,,,surface_y,0.0007928769351682144,0.001425904199144112,0.0032987266347699446,0.01193872420716513,,,
smoothness_neighbor_jump,full,delta,25760,0,,,surface_x,0.00621284000411993,0.013671039001946963,0.02272935707272669,0.10964307539277496,,,
smoothness_neighbor_jump,full,delta,25760,0,,,surface_y,0.0014875370104297974,0.0028422590982524645,0.01412587168478822,0.11432310635444332,,,
smoothness_neighbor_jump,full,gamma,25760,0,,,surface_x,0.019643930325885982,0.046175015810318146,0.10168502238162819,1.394047266943212,,,
smoothness_neighbor_jump,full,gamma,25760,0,,,surface_y,0.009465470069202422,0.012068326150082444,0.11792135341915097,2.600637027205236,,,
smoothness_neighbor_jump,full,vega,25760,0,,,surface_x,0.002111332009781056,0.005182727458985014,0.007792147487676723,0.008410272312935646,,,
smoothness_neighbor_jump,full,vega,25760,0,,,surface_y,0.001180075900377704,0.0033695038305225373,0.010615797445807533,0.03676057028588907,,,
smoothness_neighbor_jump,full,theta,25760,0,,,surface_x,0.0010228906983505352,0.001905335065677799,0.009877325447202007,0.08609035844996088,,,
smoothness_neighbor_jump,full,theta,25760,0,,,surface_y,0.0008739953831590852,0.0013189100008317775,0.013569674864583648,0.10520833585651218,,,
smoothness_neighbor_jump,full,rho,25760,0,,,surface_x,0.0076672666404423735,0.016513308322017015,0.020970148349767688,0.022318789732910904,,,
smoothness_neighbor_jump,full,rho,25760,0,,,surface_y,0.011731539547613646,0.018419623687648636,0.019873174654642195,0.02218717124601781,,,
terminal_payoff_boundary,terminal,price,161,131,0.8136645962732919,0.012631303587706255,,,,,,0.0016579503920022846,0.0007506360715926896,0.007100678801428969
lower_spot_boundary,lower_spot,price,161,76,0.4720496894409938,0.00029703519757406927,,,,,,0.00012027756634291405,0.0001038622838042697,0.0002888276399843903
