region,variable,n_points,mse,rmse,mae,r2,mape_pct,p90_abs_error,p99_abs_error,max_abs_error,mean_stabilized_rel_error,p90_stabilized_rel_error,p99_stabilized_rel_error,max_stabilized_rel_error
full,price,25921,5.3332663115708685e-08,0.00023093865660756902,0.00022960699978838352,0.9999876294104068,0.18483651889293395,0.00026559095253811393,0.0002820514598051327,0.00028958564362457917,,,,
full,delta,25921,2.9516669567330872e-08,0.0001718041605064641,0.00014384258152158952,0.9999983946689549,0.04108611225612455,0.00026047733012474206,0.00041274610601895736,0.0009903375182643837,0.00010383304552834586,0.00019127821362530827,0.000316907736050024,0.0006531793484005313
full,gamma,25921,3.6279741983576512e-06,0.0019047241790762386,0.0010431288100385093,0.9999837098101617,0.09215886936315903,0.0022207759507841818,0.007965689298769516,0.02375625287689731,0.0004630818582560955,0.0009570999606702811,0.0025745249805461112,0.009498688384369644
full,vega,25921,3.649036756704506e-08,0.00019102452085280848,0.00013681933486013132,0.9999810527183981,0.09406242055135255,0.0002963821346237405,0.0006293037873000158,0.0018070751889925924,0.00011466320831098223,0.00024549468673357703,0.0005745941848779809,0.0017938454046395693
full,theta,25921,7.47373682677115e-08,0.00027338136049795257,0.00014441373646285045,0.9999689210082374,0.14518754648441573,0.00028981153980853214,0.0010675666428298963,0.003943441906473666,0.00012742585891282134,0.0002577280324150246,0.0008626634253196693,0.0030948625347191803
full,rho,25921,7.357468548354682e-07,0.0008577568739657341,0.00046698427378539896,0.9999937391395887,0.7037070332662834,0.0008977216274758115,0.003937692739600949,0.01007446254650864,0.0003589194980236073,0.0007451572614909055,0.003632053588901786,0.009980594270752152
full,pde_residual,25921,1.619086242003204e-07,0.0004023787074390497,0.00026495358544003094,,,0.0005352392714967374,0.0016613476434074847,0.0030316691104313133,,,,
non_hard,price,25921,5.3332663115708685e-08,0.00023093865660756902,0.00022960699978838352,0.9999876294104068,0.18483651889293395,0.00026559095253811393,0.0002820514598051327,0.00028958564362457917,,,,
non_hard,delta,25921,2.9516669567330872e-08,0.0001718041605064641,0.00014384258152158952,0.9999983946689549,0.04108611225612455,0.00026047733012474206,0.00041274610601895736,0.0009903375182643837,0.00010383304552834586,0.00019127821362530827,0.000316907736050024,0.0006531793484005313
non_hard,gamma,25921,3.6279741983576512e-06,0.0019047241790762386,0.0010431288100385093,0.9999837098101617,0.09215886936315903,0.0022207759507841818,0.007965689298769516,0.02375625287689731,0.0004630818582560955,0.0009570999606702811,0.0025745249805461112,0.009498688384369644
non_hard,vega,25921,3.649036756704506e-08,0.00019102452085280848,0.00013681933486013132,0.9999810527183981,0.09406242055135255,0.0002963821346237405,0.0006293037873000158,0.0018070751889925924,0.00011466320831098223,0.00024549468673357703,0.0005745941848779809,0.0017938454046395693
non_hard,theta,25921,7.47373682677115e-08,0.00027338136049795257,0.00014441373646285045,0.9999689210082374,0.14518754648441573,0.00028981153980853214,0.0010675666428298963,0.003943441906473666,0.00012742585891282134,0.0002577280324150246,0.0008626634253196693,0.0030948625347191803
non_hard,rho,25921,7.357468548354682e-07,0.0008577568739657341,0.00046698427378539896,0.9999937391395887,0.7037070332662834,0.0008977216274758115,0.003937692739600949,0.01007446254650864,0.0003589194980236073,0.0007451572614909055,0.003632053588901786,0.009980594270752152
non_hard,pde_residual,25921,1.619086242003204e-07,0.0004023787074390497,0.00026495358544003094,,,0.0005352392714967374,0.0016613476434074847,0.0030316691104313133,,,,
atm,price,3864,5.2887008772967465e-08,0.00022997175646797906,0.00022903949681116865,0.9999789392961363,0.15768382995114585,0.0002516212450505262,0.00025839876893263167,0.0002610152294708623,,,,
atm,delta,3864,3.27764398748131e-08,0.00018104264656376712,0.00015551612942725867,0.999978285500567,0.04085028715495962,0.00024245878228607576,0.0004169855835303874,0.0009903375182643837,0.00011238502497841447,0.00017257158918209422,0.0002776405352092196,0.0006531793484005313
atm,gamma,3864,6.304503159223637e-06,0.0025108769701488037,0.001444211011557897,0.9999796369831396,0.1106753718369901,0.00313146611858577,0.01046622829020696,0.021751695314943476,0.0005911841677358166,0.0011515863249758806,0.0028536665598154834,0.004892339765568047
atm,vega,3864,2.25897263631997e-08,0.00015029879029187062,0.0001222831608095568,0.9999809631493034,0.05748057340520061,0.000213286894446188,0.00035848678488853246,0.000984230408510478,9.997884014550363e-05,0.0001789274984215951,0.0002984548390824987,0.0009040777962021565
atm,theta,3864,1.054539436205e-07,0.0003247367297065424,0.00017355736669665204,0.9999730542135848,0.14351374338524756,0.0004026586879776571,0.0011625551581623307,0.0028867228272680956,0.00014886726008020475,0.0003361788400363232,0.0009388011477601229,0.0020532121869103995
atm,rho,3864,3.475224423307488e-07,0.0005895103411567509,0.0003286736771630578,0.9999967354607497,0.30052396952204236,0.0005861257235482217,0.0027562917632964834,0.004750441281195988,0.00025610829334289165,0.0005398554038505097,0.002536016013643239,0.004657246063690703
atm,pde_residual,3864,2.4853662065320576e-07,0.0004985344728834765,0.00030019852876847936,,,0.0006246397024417124,0.002165613631054909,0.0030316691104313133,,,,
