check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,25921,0,0.0,0.0,,,,,,,,
nonnegative_price,non_hard,price,25921,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,0,0,,0.0,,,,,,,,
nonnegative_price,atm,price,3864,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,0,0,,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,25921,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,25921,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,0,0,,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,3864,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,0,0,,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,25921,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,25921,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,0,0,,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,3864,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,0,0,,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,25921,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,25921,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,0,0,,0.0,,,,,,,,
convexity_gamma_ge_0,atm,gamma,3864,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,0,0,,0.0,,,,,,,,
finite_values,full,price,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,25921,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,0,0,,0.0,,,,,,,,
finite_values,atm,price,3864,0,0.0,0.0,,,,,,,,
finite_values,hard,price,0,0,,0.0,,,,,,,,
finite_values,full,delta,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,25921,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,0,0,,0.0,,,,,,,,
finite_values,atm,delta,3864,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,0,0,,0.0,,,,,,,,
finite_values,full,gamma,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,25921,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,0,0,,0.0,,,,,,,,
finite_values,atm,gamma,3864,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,0,0,,0.0,,,,,,,,
finite_values,full,vega,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,vega,25921,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,0,0,,0.0,,,,,,,,
finite_values,atm,vega,3864,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,0,0,,0.0,,,,,,,,
finite_values,full,theta,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,theta,25921,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,0,0,,0.0,,,,,,,,
finite_values,atm,theta,3864,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,0,0,,0.0,,,,,,,,
finite_values,full,rho,25921,0,0.0,0.0,,,,,,,,
finite_values,non_hard,rho,25921,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,0,0,,0.0,,,,,,,,
finite_values,atm,rho,3864,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,0,0,,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,25760,0,,,surface_x,0.000991805775499696,0.0014276686316001988,0.0020649546572190872,0.0024595074183707544,,,
smoothness_neighbor_jump,full,price,25760,0,,,surface_y,0.0010827378631774265,0.00183392769821642,0.0033753684092999417,0.00474384958307153,,,
smoothness_neighbor_jump,full,delta,25760,0,,,surface_x,0.002493060865250065,0.004038950105792033,0.006873625868723028,0.009750593878359304,,,
smoothness_neighbor_jump,full,delta,25760,0,,,surface_y,0.0016718739425489494,0.0038668405324804858,0.017199345055547374,0.030137456069717072,,,
smoothness_neighbor_jump,full,gamma,25760,0,,,surface_x,0.005435712252849533,0.008871104689656477,0.03778111039717832,0.06620999281982698,,,
smoothness_neighbor_jump,full,gamma,25760,0,,,surface_y,0.012968218161987094,0.025381503703646384,0.15645386876505465,0.41059273301968036,,,
smoothness_neighbor_jump,full,vega,25760,0,,,surface_x,0.00044101097597987323,0.0009887825541584222,0.001554469413320101,0.0016256004651275524,,,
smoothness_neighbor_jump,full,vega,25760,0,,,surface_y,0.0013062744507229545,0.003944141903071777,0.010200996798861977,0.01293755388580898,,,
smoothness_neighbor_jump,full,theta,25760,0,,,surface_x,0.0003542537486316581,0.0008068064341090783,0.003800052063896977,0.006805525936460721,,,
smoothness_neighbor_jump,full,theta,25760,0,,,surface_y,0.0014255691321940446,0.0029236636423866915,0.01614591095908196,0.044571633459380255,,,
smoothness_neighbor_jump,full,rho,25760,0,,,surface_x,0.0020126873953725303,0.002948360400901473,0.003316239183738037,0.0034323575034043152,,,
smoothness_neighbor_jump,full,rho,25760,0,,,surface_y,0.007026655575214057,0.008058739806361903,0.00942336818396445,0.01120243551827671,,,
terminal_payoff_boundary,terminal,price,161,155,0.9627329192546584,0.014103654632349277,,,,,,0.003807316111683599,0.0026943639843012984,0.012877291365063815
lower_spot_boundary,lower_spot,price,161,93,0.577639751552795,0.00028297713380742717,,,,,,0.00014654397591011095,0.00012303304451592422,0.00027809198062223045
