check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,9680,0,0.0,0.0,,,,,,,,
nonnegative_price,non_hard,price,279,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,9559,0,0.0,0.0,,,,,,,,
nonnegative_price,atm,price,9520,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,9401,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,9680,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,279,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,9559,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,9520,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,9401,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,9680,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,279,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,9559,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,9520,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,9401,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,9680,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,279,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,9559,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,atm,gamma,9520,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,9401,0,0.0,0.0,,,,,,,,
finite_values,full,price,9680,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,279,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,9559,0,0.0,0.0,,,,,,,,
finite_values,atm,price,9520,0,0.0,0.0,,,,,,,,
finite_values,hard,price,9401,0,0.0,0.0,,,,,,,,
finite_values,full,delta,9680,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,279,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,9559,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,9520,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,9401,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,9680,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,279,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,9559,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,9520,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,9401,0,0.0,0.0,,,,,,,,
finite_values,full,vega,9680,0,0.0,0.0,,,,,,,,
finite_values,non_hard,vega,279,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,9559,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,9520,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,9401,0,0.0,0.0,,,,,,,,
finite_values,full,theta,9680,0,0.0,0.0,,,,,,,,
finite_values,non_hard,theta,279,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,9559,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,9520,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,9401,0,0.0,0.0,,,,,,,,
finite_values,full,rho,9680,0,0.0,0.0,,,,,,,,
finite_values,non_hard,rho,279,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,9559,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,9520,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,9401,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,9600,0,,,surface_x,0.00023989383592455153,0.0003021673576456413,0.00033713414787951484,0.0003552631914750526,,,
smoothness_neighbor_jump,full,price,9559,0,,,surface_y,0.00029306187281225,0.000349529683025579,0.0003700805723701023,0.00037479896431608095,,,
smoothness_neighbor_jump,full,delta,9600,0,,,surface_x,0.0025976960339390257,0.0033868196532632843,0.003749902798426235,0.0038359329291312028,,,
smoothness_neighbor_jump,full,delta,9559,0,,,surface_y,0.0007257870920829121,0.0014673795380348636,0.0021339746134089376,0.002468350099619432,,,
smoothness_neighbor_jump,full,gamma,9600,0,,,surface_x,0.008462613418592068,0.01848593811889616,0.02828729617848807,0.03362181377182516,,,
smoothness_neighbor_jump,full,gamma,9559,0,,,surface_y,0.044558919005181795,0.06704110323302005,0.07697068487043167,0.07947349712921703,,,
smoothness_neighbor_jump,full,vega,9600,0,,,surface_x,6.872061156472836e-05,0.00012118242521438477,0.00014856379461281377,0.00015393021767932946,,,
smoothness_neighbor_jump,full,vega,9559,0,,,surface_y,0.0008194192162082191,0.0010851285619250183,0.001162564278262053,0.0011753621687300118,,,
smoothness_neighbor_jump,full,theta,9600,0,,,surface_x,0.0006331052405566243,0.0012820697854056986,0.0018672813315891966,0.0021635124749396217,,,
smoothness_neighbor_jump,full,theta,9559,0,,,surface_y,0.0029530460695031636,0.00341732446835914,0.0034962450015780045,0.003504964007599809,,,
smoothness_neighbor_jump,full,rho,9600,0,,,surface_x,6.384509137383647e-05,0.00014014763903874434,0.00019680618233367298,0.00020915799072282124,,,
