region,variable,n_points,mse,rmse,mae,r2,mape_pct,p90_abs_error,p99_abs_error,max_abs_error,mean_stabilized_rel_error,p90_stabilized_rel_error,p99_stabilized_rel_error,max_stabilized_rel_error
full,price,25921,1.0673155301894549e-07,0.00032669795380281384,0.0002374439595158685,0.9999986540145834,4.510139075146076,0.0005356123531489176,0.0008382391717227653,0.011410484483413696,,,,
full,delta,25921,0.03101837761299034,0.17612034979805807,0.0030141355683440253,0.8140172356778801,11.422424693465548,0.0038278531307633923,0.017131448939268348,28.270588037168856,0.0011676274618125288,0.0019381359459612068,0.008761254884510922,0.993036067479182
full,gamma,25921,1248445056.9121602,35333.342000328244,220.15520183468718,-3.8908207182997145e-05,4816.195981685703,0.05294862123204813,2.2940726863920897,5688663.4034663355,0.025067094737971703,0.04613149517059925,0.6176529788742524,1.9127112050065003
full,vega,25921,1.4714126513694324e-06,0.0012130179930114114,0.0008415437604870676,0.9998284363967206,190.54242880633277,0.002064879536727862,0.0034276077595795686,0.01576114112470319,0.0007757376289081301,0.001945617822391881,0.0031023762047834623,0.015748235493911033
full,theta,25921,0.012064637801698714,0.10983914512458076,0.007378255952626303,0.13821731878733146,16.65489230083409,0.0008107318066911916,0.004098460482042577,6.013919922725102,0.0032244905637665465,0.0007947302989799351,0.003965804059718821,0.8389725410431614
full,rho,25921,0.00010335530851545281,0.010166381289104439,0.00628080049702064,0.9998008080622666,360.2377875043371,0.020161399829448756,0.03077133154925153,0.043377051518773885,0.003150349108153619,0.008189026769794782,0.02008598074638672,0.04337614843313265
full,pde_residual,25921,1.4382585620832406e-05,0.003792437952140075,0.000601266283369723,,,0.001099332498641815,0.0029774600683292003,0.22345645050275303,,,,
non_hard,price,25906,9.497711465888163e-08,0.0003081835729867535,0.0002360418035386636,0.9999988021956621,4.255218342297109,0.0005353497146751984,0.0008371220095918841,0.003519596005838399,,,,
non_hard,delta,25906,0.031021168953634836,0.1761282741459611,0.0029678156842829245,0.8140684619729056,11.300375454336901,0.0038130410114431412,0.01680343474211588,28.270588037168856,0.0011330518685283013,0.001930688794522698,0.008596004848630066,0.993036067479182
non_hard,gamma,25906,1249167927.0199683,35343.56981149426,220.28001148600535,-3.8928965827800255e-05,4818.958749988794,0.052751873210927336,2.2753673198860613,5688663.4034663355,0.024888795655768355,0.04599897477760228,0.6147439044653092,1.3698706783165928
