tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.9355401766741878,-0.9355402025779505,-2.590376269040462e-08,1.5341826808956682,1.5341826978581963,1.6962528048836134e-08,0.13400775414285082,0.1340077566155219,2.472671067899057e-09,0.002439380166474603,0.0024393797380375176,-4.284370852883357e-10,-0.34239152826937014,-0.34239162601158163,-9.774221149116968e-08
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.9024615583763662,-0.9024615790370554,-2.0660689159512913e-08,1.7499478977001104,1.749947984323712,8.662360162503546e-08,0.15995888471898034,0.1599588871819026,2.462922255030975e-09,-0.002814702153575155,-0.0028147025214868603,-3.6791170544142604e-10,-0.4305275547480947,-0.4305276804058673,-1.2565777263162659e-07
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.8927119045964993,-0.8927119238410405,-1.9244541182850128e-08,1.7902471727282432,1.7902471344718456,-3.825639760535182e-08,0.16609154314922714,0.16609154559446046,2.4452333213798028e-09,-0.00379980461207019,-0.003799804903386088,-2.9131589805372893e-10,-0.45637241918361493,-0.45637255137866095,-1.3219504602091092e-07
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.8342127396254728,-0.8342127511213505,-1.1495877694223111e-08,1.9153561070517355,1.915356078453011,-2.8598724499673267e-08,0.19321372374231371,0.1932137259004698,2.158156098275299e-09,-0.0072449803173446625,-0.007244980352646424,-3.53017615140061e-11,-0.621224531313358,-0.6212246964883312,-1.6517497325452268e-07
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.7822789564240762,-0.7822789615376685,-5.1135923273548656e-09,1.9005469253929874,1.9005470307824937,1.0538950623306675e-07,0.20545398699695072,0.2054539887422083,1.7452575773457824e-09,-0.009345355734269312,-0.009345355751983744,-1.771443235154546e-11,-0.7985620077063937,-0.7985622040282809,-1.9632188719143073e-07
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.7710597363372318,-0.7710597402638795,-3.926647673679895e-09,1.8818555769239964,1.881855618369672,4.1445675558193784e-08,0.20659945804274438,0.2065994597074919,1.6647475342690399e-09,-0.009768956646671878,-0.009768956661523618,-1.4851739629784255e-11,-0.8434304216189958,-0.8434306263357646,-2.047167687591056e-07
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.7334340285042318,-0.7334340296917042,-1.1874724537008774e-09,1.7773888694172513,1.7773888602728571,-9.144394130800038e-09,0.2060644203483175,0.2060644218162359,1.467918397946022e-09,-0.01109434190266212,-0.011094341911946727,-9.284607804804779e-12,-1.0188612233871797,-1.0188614651359247,-2.417487450223632e-07
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.7145147595041812,-0.7145147605624538,-1.0582725806784765e-09,1.7068801760888874,1.706880102710682,-7.337820551178709e-08,0.20307014168691184,0.20307014311128696,1.424375117853316e-09,-0.011687389031012074,-0.01168738903690477,-5.892696053333424e-12,-1.125728767596701,-1.1257290358412204,-2.6824451948570527e-07
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.7122010314780658,-0.7122010325946558,-1.1165900426490794e-09,1.6981871797661086,1.69818715987356,-1.989254849732447e-08,0.2025744678435526,0.20257446926807635,1.4245237489607376e-09,-0.011754396483376617,-0.011754396493332915,-9.956297938873426e-12,-1.1398355089620171,-1.1398357809362822,-2.71974265109165e-07
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.7055108521983322,-0.705510853579284,-1.3809517973584207e-09,1.673795541057288,1.6737954753692401,-6.568804788997795e-08,0.2009835098804036,0.20098351129746864,1.417065048636701e-09,-0.011939164876739738,-0.01193916488258403,-5.844292064183243e-12,-1.1819682542471566,-1.1819685376768856,-2.834297290199572e-07
