check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump
nonnegative_price,full,price,32761,127,0.0038765605445499223,0.0008644034707864736,,,,,
nonnegative_price,short_maturity,price,905,67,0.07403314917127071,0.0008644034707864736,,,,,
nonnegative_price,atm,price,4887,0,0.0,0.0,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,155,0.004731235310277464,0.03989611824783295,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,155,0.1712707182320442,0.03989611824783295,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,0,0.0,0.0,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,0,0.0,0.0,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,349,0.01065291047281829,0.02614109765593036,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,288,0.318232044198895,0.02614109765593036,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,
convexity_gamma_ge_0,full,gamma,32761,444,0.013552699856536735,0.6713474153368861,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,361,0.3988950276243094,0.6713474153368861,,,,,
convexity_gamma_ge_0,atm,gamma,4887,0,0.0,0.0,,,,,
convexity_gamma_ge_0,hard,gamma,135,0,0.0,0.0,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0009702144309950482,0.0018407736734153478,0.0022223021284577837,0.002280280191343076
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.0003221597834925728,0.0005252823208781233,0.0012109359850111673,0.002205989895146254
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.004230412640808246,0.006877133386013535,0.013669927354608232,0.03248363869505433
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.0018037049188841866,0.0037748261447102067,0.017506483469495036,0.04483699899228222
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,0.025010535126873807,0.05240454207836969,0.20411165672371245,0.7428274266737214
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,0.02708828809737938,0.050333779462119976,0.4100853957147306,1.8975540053606554
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.002234432871381893,0.004892847190601883,0.0067016032403471445,0.006962122577050145
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.002386021871644519,0.006575077577478782,0.020172617721479633,0.04926740675957476
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.00036890140526669193,0.0007664082391731549,0.0036666546317486487,0.00964922547630924
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.0006488567127075825,0.0008732023309190992,0.012776800398752106,0.051930128971130154
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.00368076263620398,0.006350404473428185,0.007306869339054354,0.007530943779061605
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.005272366964448811,0.007604980340278627,0.0107334502159417,0.01163061009222438
