x_center,tau_center,delta_x,delta_tau,accepted,score,full_price_rmse,full_gamma_rmse,full_gamma_p99,hard_price_rmse,hard_delta_rmse,hard_gamma_rmse,hard_gamma_p99,near_zero_gamma_rmse,near_zero_gamma_p99,hard_pde_rmse,full_pde_rmse,combo_index
0.08,0.1,0.01,0.015,False,90.29755941308522,0.00022807800161942258,0.9074333263659616,3.9921258461887397,0.00013738368772026185,0.007306381901751231,0.8072308430569543,3.5855079456796695,1.0010207532653073,4.26920784019499,0.017222613077515284,0.019123012904783084,12
0.08,0.08,0.01,0.015,False,92.96012137329137,0.0002596539680171481,0.9043743814738315,3.9690601623812825,0.0001811398156254866,0.007306874847435987,0.8125415935580083,3.6820839794863867,1.0076740875574357,4.224457878059523,0.01879896629756856,0.019961321635153517,11
0.08,0.05,0.01,0.015,False,111.74438358963731,0.0005781082530891473,0.957438474791278,4.0950336556661036,0.0006220228058305934,0.010790522430770893,1.0175979828834512,3.9410797354241116,1.2517342196316859,4.664009965850688,0.03828334995159767,0.03210302830215075,10
0.06,0.05,0.01,0.015,False,178.35924907876395,0.0007323072868574801,1.3433035376783335,4.319362620793779,0.0006505264723787148,0.009185301965762444,0.9887338141159352,3.777131016861248,1.2265812703285273,4.661530959977443,0.036946708459331144,0.04434992862208367,7
0.06,0.08,0.01,0.015,False,188.65448074030695,0.0004958234999417845,1.4162375071902633,4.239191640312849,0.0002084538931679913,0.007706432220678132,0.8418350525935676,3.6817410420721766,1.0087745614680723,4.232996605989148,0.019775408151732767,0.039050210364058646,8
0.06,0.1,0.01,0.015,False,191.1362146048863,0.00047208009852590086,1.4377939183614898,4.284655917036645,0.00015825728576026124,0.008084220931078514,0.8471460985073543,3.63529954065841,1.006133161458451,4.316651333470313,0.01915551196276656,0.03900817369631781,9
0.05,0.05,0.01,0.015,False,238.54002104737,0.0008612473072349213,1.6276220944135014,4.588402229164113,0.0007109736793511261,0.008416180109327905,1.0344864848714843,3.986225307984815,1.2590373182381953,4.647530685412204,0.03758676610818498,0.05592196561336903,4
0.05,0.08,0.01,0.015,False,251.8480547805539,0.0006588200002543328,1.7631977078900667,4.5308570934052925,0.00028229787255242846,0.011116422654099258,1.0182225947294097,3.626825714645339,1.1140486310151123,4.294861176417583,0.025712426920202317,0.053517683935144805,5
0.05,0.1,0.01,0.015,False,256.1454391672736,0.0006368618598646678,1.792882608401264,4.672420961953612,0.00023073284756194295,0.011915760089179519,1.0414694033315985,3.588710096520203,1.1196135764374193,4.289106879281339,0.026223106482056672,0.053738960403438396,6
0.04,0.05,0.01,0.015,False,345.56623664109435,0.0010358467356034458,2.102685532759677,5.159781848696516,0.0008814365269479724,0.01470684160258205,1.4958253621037674,4.418744083564499,1.7758279736043503,4.9439093333050526,0.05165327747934914,0.07252793637603716,1
0.04,0.08,0.01,0.015,False,375.6114620504356,0.0008606713781958672,2.2946446919152135,5.280772804213288,0.0005012416170607403,0.02157804994498999,1.6620915394053093,4.014957566393558,1.8019628918854114,4.917248600407671,0.04765521299750587,0.07249212426859519,2
0.04,0.1,0.01,0.015,False,385.6456089116503,0.0008398214369759018,2.3305919721511343,5.504191704349936,0.0004552575986233219,0.022721828772325335,1.7023611326978052,4.032611330013356,1.8203510309296138,4.8575913379682305,0.0486760036852622,0.07289640925877108,3
