global_step,stage,local_step,total,lr,pde,pde_residual_rmse_unweighted,terminal,interface,global_replay,price,stencil
1,stage4_price_stencil,1,0.09876492330570413,5e-05,1.2723844972490313e-05,0.5381383948114878,9.276034044658798e-06,0.012711250960012722,2.8777310106595875e-13,1.1659035741858015e-05,0.08602001343064464
2,stage4_price_stencil,2,0.07387769168646706,5e-05,1.8205060804535942e-05,0.5330693326126937,1.3361462318500733e-05,0.009710808997040419,7.096152557923221e-18,1.048682342032472e-05,0.06412482934288327
3,stage4_price_stencil,3,0.578388677160769,5e-05,1.7911014618297463e-05,0.5313019164632881,1.3242543198196252e-05,0.012702574377496167,1.0422030517028492e-14,9.110449902413741e-06,0.5656458387755435
4,stage4_price_stencil,4,0.1660976905422487,5e-05,2.5431894422346294e-05,0.5263394047064529,1.0144175919697637e-05,0.009999537588125997,5.599119258637543e-11,1.2475316053801532e-05,0.15605010151173568
5,stage4_price_stencil,5,0.1651344447221826,5e-05,2.056586902477592e-05,0.612029019414723,1.2353280441695658e-05,0.013236157166699673,4.444309557238332e-09,1.4887447763640766e-05,0.15185047651394326
6,stage4_price_stencil,6,0.12706935539348066,5e-05,3.0377827707661583e-05,0.5730983299750152,9.492009115633897e-06,0.014210525296670917,1.740460806891922e-08,1.4251731244621685e-05,0.11280469112413374
7,stage4_price_stencil,7,0.22956307830402173,5e-05,1.7530281923534132e-05,0.4742271848272286,1.6975382295749405e-05,0.011832242247625543,1.8910609097487653e-19,1.3979985175931281e-05,0.21768235040700096
8,stage4_price_stencil,8,0.07481935330262951,5e-05,2.2098043897967314e-05,0.5590098318993926,1.0232435453223921e-05,0.006753703585846189,4.966880600864881e-13,1.367586136714909e-05,0.06801964337556829
9,stage4_price_stencil,9,0.09900066386599125,5e-05,2.3618088123860395e-05,0.5727110053898504,7.584762058409495e-06,0.012922237844933212,3.532338629386316e-14,1.2648436769395172e-05,0.08603457473407106
10,stage4_price_stencil,10,0.0586885050169412,5e-05,1.5032471743994651e-05,0.4182936675413995,6.981775554949564e-06,0.00942808151393797,6.962055390828876e-12,1.1494567476193503e-05,0.04922691468126604
11,stage4_price_stencil,11,0.04010869078062466,5e-05,2.09088246969035e-05,0.5205427207096776,1.1323471526131783e-05,0.013827645083450453,7.745651080555865e-12,1.4306755020863909e-05,0.026234506638184656
12,stage4_price_stencil,12,0.0719102843919642,5e-05,1.1855573924579417e-05,0.49155433509056834,9.061373163061575e-06,0.01016920824989068,4.433638511908475e-08,1.6670961971406386e-05,0.06170344389662935
13,stage4_price_stencil,13,0.11919775735815918,5e-05,1.574579749780523e-05,0.5059936281921207,7.590805189398429e-06,0.01062380317676702,4.039964467747641e-16,1.150256784778681e-05,0.10853911501085677
14,stage4_price_stencil,14,0.14331352850778203,5e-05,2.3374180662061578e-05,0.5367220783882704,7.76227834310741e-06,0.008212958153480764,8.195139580497078e-12,1.4320879842171171e-05,0.13505511300725878
15,stage4_price_stencil,15,0.06423405147462623,5e-05,2.4235865564059254e-05,0.5460196802611201,9.53369877577362e-06,0.012426367935862766,1.8541454689803655e-12,1.3513815170736853e-05,0.051760400157398745
16,stage4_price_stencil,16,0.06968993525021126,5e-05,2.3785120988651528e-05,0.5154153575186524,1.0184133925766818e-05,0.015293074250920153,6.424593566524104e-23,1.139667684314111e-05,0.05435149506753355
17,stage4_price_stencil,17,0.08355640225463082,5e-05,2.4562988022719743e-05,0.474990989673873,9.724646277584234e-06,0.013549812109511311,2.872967972903706e-16,1.028813083982981e-05,0.06996201437997909
18,stage4_price_stencil,18,0.21292408678396588,5e-05,1.7699218045612542e-05,0.4892289813061149,1.0229783463617316e-05,0.009726688011023695,2.1728821506420643e-17,1.2673603415033352e-05,0.2031567961680179
19,stage4_price_stencil,19,0.07760208736548777,5e-05,2.236762733194644e-05,0.5568746067109044,8.454251657339584e-06,0.008974177475923951,8.93932069321216e-18,1.233993106677765e-05,0.06858474807950773
20,stage4_price_stencil,20,0.053416100649222156,5e-05,1.8439562558723232e-05,0.5124776539608094,1.0481495647338273e-05,0.011459203145659923,2.9061777085103812e-21,1.0140279596831472e-05,0.04191783616575934
21,stage4_price_stencil,21,0.19221160945264976,5e-05,1.943828424387395e-05,0.4688441394227296,1.4323356645394303e-05,0.009349007379366359,1.5664123724318423e-09,1.1605129104846508e-05,0.18281723373687692
22,stage4_price_stencil,22,0.06302070064553938,5e-05,1.7199574206829026e-05,0.48440913134984076,1.1142015422220692e-05,0.009600612343380294,1.0808848425119247e-09,1.2579651512899188e-05,0.053379165980132294
23,stage4_price_stencil,23,0.09093322549016986,5e-05,1.99029735964929e-05,0.504894747189195,9.539694389861229e-06,0.01327970470035173,7.326714432404108e-19,1.2408697047455316e-05,0.07761166942478431
24,stage4_price_stencil,24,0.04827789319525416,5e-05,1.9873941278659174e-05,0.48815486852896883,1.20237746119808e-05,0.010335404018353686,9.206762458740565e-17,1.0958222443602554e-05,0.03789963323856614
25,stage4_price_stencil,25,0.06281725202347531,5e-05,1.4945433586926693e-05,0.4796471444537438,1.0737241141790213e-05,0.009128493146616798,3.342310859006895e-08,1.3301307615188883e-05,0.05364974147140602
26,stage4_price_stencil,26,0.09695816264425834,5e-05,1.731407205517628e-05,0.5021508807375252,9.766753587986376e-06,0.009566100254621016,4.364424880396058e-13,1.0711090959318746e-05,0.0873542704725984
27,stage4_price_stencil,27,0.14202795505243668,5e-05,2.6143912536551426e-05,0.4672663345528195,1.1655414907874699e-05,0.011652640512261631,1.7266419717810535e-09,1.3511049114199215e-05,0.13032400243697445
28,stage4_price_stencil,28,0.07135973801212411,5e-05,1.970808967820082e-05,0.5193174758609581,4.6003259346924326e-06,0.009686273909657286,5.896295324193299e-14,1.3303491426049869e-05,0.06163585219536891
29,stage4_price_stencil,29,0.1407211720803789,5e-05,1.5441556820448643e-05,0.45484581592739076,1.1527075820309619e-05,0.012262381783744166,2.0101644623311588e-12,1.0303842392192138e-05,0.12842151781959163
30,stage4_price_stencil,30,0.044893718874612916,5e-05,1.743252120034968e-05,0.5231673485282631,8.950109512920797e-06,0.010116522260881361,1.4669637201448257e-13,1.3072832713271e-05,0.03473774115015832
31,stage4_price_stencil,31,0.2390964025980775,5e-05,1.9453161818960763e-05,0.47504405324054033,8.98076111296265e-06,0.010091481942823756,3.5506684266610377e-19,1.1091870254320937e-05,0.2289653948620675
32,stage4_price_stencil,32,0.11600994559981129,5e-05,1.9175009429191794e-05,0.5514086567475363,1.0880878444767039e-05,0.01239724129249239,5.2076615276079176e-18,1.3026008466182854e-05,0.10356962241097875
33,stage4_price_stencil,33,0.2646346609763952,5e-05,1.1126282270322032e-05,0.45355665956588503,1.0644266951357644e-05,0.010132014705121446,1.436292290752159e-17,1.4153817028213842e-05,0.25446672190502384
34,stage4_price_stencil,34,0.06304048174285212,5e-05,2.3999744947094603e-05,0.5466157304091972,9.606731957680813e-06,0.013247296372996724,5.029261113135994e-10,1.0187049314234702e-05,0.04974939134071028
35,stage4_price_stencil,35,0.0760695367300358,5e-05,1.855589314183113e-05,0.5112423934829922,9.443218311904405e-06,0.011140230171488946,5.50351458789984e-18,1.3988832653560624e-05,0.06488731861443955
36,stage4_price_stencil,36,0.09835629699775342,5e-05,1.0991331063089637e-05,0.426549584463677,9.927292868104009e-06,0.009291205022954928,9.3354660025411e-16,1.3245467243608209e-05,0.08903092788362275
37,stage4_price_stencil,37,0.1392442625370785,5e-05,1.3776604951500042e-05,0.47468353617401565,7.113827603951872e-06,0.01831676590782238,9.692696225619226e-16,1.0719633131431373e-05,0.12089588656356826
38,stage4_price_stencil,38,0.0730541464507508,5e-05,1.126963561760591e-05,0.5281674043611179,9.256904985738006e-06,0.015338030738724017,4.27834188979119e-08,1.3128134715620302e-05,0.05768241825328892
39,stage4_price_stencil,39,0.1281711931743071,5e-05,2.2000538116906967e-05,0.5044519867625179,9.753850909684608e-06,0.014729205545035559,5.047681893582876e-10,1.673490589165706e-05,0.1133934978295851
40,stage4_price_stencil,40,0.09129855764543811,5e-05,1.3625098053688049e-05,0.48920155687769284,1.1286518812506074e-05,0.011047925333385937,3.6805986239580095e-15,1.046575318005203e-05,0.08021525494200224
41,stage4_price_stencil,41,0.1382101809451207,5e-05,2.477783420394836e-05,0.5481729308609634,8.11620257430864e-06,0.012347866542631028,4.633772431785498e-16,1.064559484322286e-05,0.12581877477086773
42,stage4_price_stencil,42,0.10343172372281888,5e-05,2.1528701743743038e-05,0.46122192873330947,7.804069261427662e-06,0.013774131133490942,5.009704758471587e-26,1.0072714530652542e-05,0.08961818710379212
43,stage4_price_stencil,43,0.1408344791406019,5e-05,2.6368686092278313e-05,0.4536096573679973,8.36991944579036e-06,0.014677512947392569,1.2713741641859357e-17,1.0532423988969046e-05,0.12611169516368229
44,stage4_price_stencil,44,0.1390130687906719,5e-05,1.390843459274165e-05,0.5173699509325429,1.1456415180966162e-05,0.013311135562715355,1.37593500858263e-10,1.3308605342622923e-05,0.12566325963524672
45,stage4_price_stencil,45,0.052037537717360104,5e-05,1.5580957394601484e-05,0.4581320528683966,9.657085509634227e-06,0.009320487487260228,8.169943042696983e-10,1.4792552638446246e-05,0.04267701881756289
46,stage4_price_stencil,46,0.22031993524348548,5e-05,1.9150334443014286e-05,0.5065208188545144,1.2284838427685052e-05,0.012830458384325718,7.023204349105408e-20,1.2265258496655788e-05,0.2074457764277924
47,stage4_price_stencil,47,0.12586206619521517,5e-05,1.3661970883078802e-05,0.5089749500119396,7.272262492312474e-06,0.014044272515174427,2.4580733504402774e-10,9.962002275273483e-06,0.11178689719858276
48,stage4_price_stencil,48,0.14872916404428485,5e-05,1.6495018592036934e-05,0.4819861572740705,1.085800615483189e-05,0.007981456083280965,1.5354570965171175e-10,1.3236382783799866e-05,0.1407071183999275
49,stage4_price_stencil,49,0.05303043045681167,5e-05,2.1617956267277738e-05,0.4252733327451928,1.0205815935084608e-05,0.015274265764453917,7.244047309657469e-27,1.4754230306899726e-05,0.03770958668984849
50,stage4_price_stencil,50,0.13367678377079123,5e-05,2.2285160595089904e-05,0.4544370109872106,1.340685929051122e-05,0.01085199528669352,6.051087361511879e-10,1.4525173647534845e-05,0.12277457068545584
51,stage4_price_stencil,51,0.15332774405467006,5e-05,1.8291080099504664e-05,0.4479826721487331,8.150868722575599e-06,0.011401670685045098,6.853122444631355e-10,1.3605160592083129e-05,0.14188602557489854
52,stage4_price_stencil,52,0.09741542178088476,5e-05,1.3414068985514633e-05,0.49200365311016264,1.1183330743911643e-05,0.008565327968501582,3.100485142592917e-11,1.0731377650448158e-05,0.08881476500399846
53,stage4_price_stencil,53,0.07343531801770373,5e-05,1.4779333619918585e-05,0.4698817271611125,1.1210009583625048e-05,0.01234396878183127,1.7978803190115737e-09,1.4941410003334673e-05,0.061050416684785266
54,stage4_price_stencil,54,0.06670424475435255,5e-05,2.829136519294011e-05,0.514100190753261,9.830821701152933e-06,0.009140210565153102,1.8373921252442004e-07,1.6062383821696238e-05,0.05750966587927113
55,stage4_price_stencil,55,0.06723929914316923,5e-05,2.1786173923338582e-05,0.5174253369493367,6.805556749906379e-06,0.010828105681999874,8.259024506839234e-10,9.638606261285872e-06,0.05637296229833238
56,stage4_price_stencil,56,0.10448122405382718,5e-05,1.5067531817033204e-05,0.44237366493341496,8.190005286370841e-06,0.009375466703366244,6.550525947037222e-13,1.4638200404726513e-05,0.09506786161229774
57,stage4_price_stencil,57,0.16056549666790657,5e-05,1.5786242988256158e-05,0.46301835289639526,8.98505549936533e-06,0.012708297177653451,5.064093199338876e-12,1.3577220702567989e-05,0.14781885096599884
58,stage4_price_stencil,58,0.17888857222592067,5e-05,1.9107073052339272e-05,0.49645123124740825,9.75900042984124e-06,0.017485552228175202,2.6545727926247236e-09,1.1333747066402819e-05,0.16136281752262407
59,stage4_price_stencil,59,0.11277999558718618,5e-05,1.4650053416335652e-05,0.5405017952647374,1.0789816954704823e-05,0.014272856461191398,5.6254297717298604e-11,1.2840606104026944e-05,0.09846885859326542
60,stage4_price_stencil,60,0.09500404984948012,5e-05,1.1667145419588298e-05,0.46337002781963976,1.0845343045989539e-05,0.013547651477620017,6.742044783574009e-16,1.80332835754168e-05,0.08141585259981843
61,stage4_price_stencil,61,0.2553356870745738,5e-05,2.6878903289818658e-05,0.5543847069707171,1.4158836787693274e-05,0.014247582890062307,1.0395804218412612e-07,1.1324871757199872e-05,0.24103563761463465
62,stage4_price_stencil,62,0.15126977755757504,5e-05,1.2876263297350589e-05,0.3879202566810201,1.0555229541182335e-05,0.010310536467793691,1.9557196729854536e-09,1.3691271654804376e-05,0.14092211636956833
63,stage4_price_stencil,63,0.08500431268369131,5e-05,2.6441469441566542e-05,0.5415775226074353,9.444575181409821e-06,0.017918420746240983,1.293792368166891e-11,1.619806845278597e-05,0.06703380781143664
