tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.47032791530426943,-0.47032791663029655,-1.326027121439921e-09,1.0814270590131514,1.0814270186967376,-4.031641376300854e-08,0.061558314244092305,0.061558314387715155,1.4362284972424533e-10,-0.01725269153735054,-0.01725269167971627,-1.4236573031567445e-10,-0.20741608358521013,-0.20741608006668844,3.51852169622191e-09
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.45946053805145937,-0.45946053747460824,5.768511224246708e-10,1.0706486031075713,1.0706486246402709,2.1532699623350027e-08,0.07355025687161287,0.07355025701111752,1.39504643947852e-10,-0.01804780758923874,-0.01804780769739585,-1.0815710826950209e-10,-0.2567127222136145,-0.25671271737009127,4.843523249142834e-09
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.45633872099520856,-0.456338719968171,1.0270375661036724e-09,1.06016472822823,1.0601648293663541,1.0113812409784373e-07,0.07651112590739695,0.07651112603991887,1.325219239900477e-10,-0.018116103508158954,-0.018116103604504996,-9.634604225539078e-11,-0.27188245395631805,-0.2718824486983582,5.2579598452950904e-09
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.4384235464910402,-0.4384235449431032,1.5479370008009141e-09,0.9829124847371418,0.9829125002075124,1.5470370651193832e-08,0.09056026855858157,0.09056026864628769,8.770612014430412e-11,-0.017447588340491205,-0.017447588353162624,-1.2671419469256762e-11,-0.37660150146778815,-0.37660149325503056,8.212757585113195e-09
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.421520476489301,-0.4215204750982937,1.3910073093370556e-09,0.9327285555027487,0.9327284580766045,-9.742614415220174e-08,0.09847535596269053,0.09847535600102263,3.833210138193266e-11,-0.01605180432129316,-0.016051804318115925,3.177236251872273e-12,-0.5022289657788392,-0.5022289541516446,1.162719465153117e-08
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.4174209867732759,-0.4174209853236246,1.4496512878992007e-09,0.923019399801106,0.9230194722035808,7.240247479334272e-08,0.09958699333095788,0.09958699336423121,3.327332853686471e-11,-0.01569107547533255,-0.015691075470201224,5.131325919727203e-12,-0.5354432302509538,-0.5354432177967727,1.2454181019805333e-08
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.4020264914122995,-0.4020264896008328,1.8114666988644501e-09,0.8860982503300363,0.8860982228671175,-2.7462918827936278e-08,0.1013673721228514,0.101367372116932,-5.919403855969563e-12,-0.014281386468972812,-0.014281386466831691,2.1411206141408456e-12,-0.6681354897072889,-0.6681354743841805,1.53231083377392e-08
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.39321742598685816,-0.3932174239692361,2.0176220694168023e-09,0.8629113201763516,0.8629112718251467,-4.8351204928742675e-08,0.10090691778208427,0.10090691775693211,-2.5152158134034153e-11,-0.013438151482692007,-0.013438151482318875,3.731320807887073e-13,-0.7498097688815597,-0.7498097522047161,1.6676843572760447e-08
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.3920898183010224,-0.39208981626013284,2.040889568455384e-09,0.8598091294498289,0.8598091263643682,-3.0854606647423566e-09,0.10077901982263882,0.10077901979664533,-2.5993485142095096e-11,-0.01332927075742285,-0.013329270755002273,2.4205776272268054e-12,-0.7605773741087285,-0.7605773572764736,1.6832254923215828e-08
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.388772187192854,-0.3887721850839818,2.1088721879891636e-09,0.8505045390183597,0.8505045736952123,3.467685261160369e-08,0.10031724625991778,0.10031724622458332,-3.5334457582081313e-11,-0.013008897402355668,-0.01300889740023764,2.1180279752286424e-12,-0.792676178048568,-0.7926761607967087,1.725185938550311e-08
