tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.9367835860094043,-0.9367836123870373,-2.637763307777874e-08,1.5726297541984735,1.5726297294949492,-2.470352433725509e-08,0.13979511723938298,0.13979511968938266,2.4499996753579723e-09,0.00384864334651569,0.003848642896203054,-4.5031263613826145e-10,-0.348140485615378,-0.3481406386283805,-1.5301300249070948e-07
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.9039143990169363,-0.9039144201977621,-2.1180825870992237e-08,1.7864732138050954,1.7864733146654939,1.0086039847756467e-07,0.16602692135436747,0.16602692383709347,2.482725997010604e-09,-0.0013620437380734707,-0.001362044056309405,-3.1823593434933406e-10,-0.4312532056521823,-0.4312533839488188,-1.7829663651047767e-07
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.8941328710287966,-0.8941328907896633,-1.976086672073052e-08,1.8280164271189392,1.8280165054036572,7.828471804138815e-08,0.1722500267697935,0.17225002924991142,2.480117916592306e-09,-0.0023932043916041756,-0.0023932046334371486,-2.4183297291785477e-10,-0.4556497559854433,-0.45564994060790337,-1.8462246004213867e-07
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.8349247098682344,-0.8349247214886856,-1.1620451156879597e-08,1.9574276421963077,1.9574277591601474,1.1696383972470414e-07,0.19989758834687565,0.19989759053603404,2.189158382348566e-09,-0.006610863608202955,-0.00661086365923295,-5.102999533351804e-11,-0.6131077890025871,-0.61310800818809,-2.1918550285882077e-07
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.7826155268783608,-0.7826155320338101,-5.1554492896954685e-09,1.9360476832819273,1.9360477329625794,4.96806520366988e-08,0.21217073006341014,0.21217073178941126,1.726001119806142e-09,-0.009246813722774139,-0.009246813754230252,-3.145611375543478e-11,-0.7862422381924028,-0.7862424917549762,-2.535625733823821e-07
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.771419135910667,-0.7714191398990955,-3.988428476375816e-09,1.9158892416992757,1.9158892910712413,4.9371965626932024e-08,0.21324762415009246,0.21324762578726925,1.6371767830314354e-09,-0.009707536203218403,-0.009707536229590768,-2.6372364361759715e-11,-0.8304327594368943,-0.8304330220359428,-2.6259904850611804e-07
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.7341423802190161,-0.734142381486826,-1.2678098570972907e-09,1.8083756547770946,1.8083757443937538,8.961665920459438e-08,0.21236585275530295,0.21236585421658866,1.4612857035523064e-09,-0.010966090572550602,-0.010966090588127123,-1.5576520975835173e-11,-1.0037093745013381,-1.003709675097105,-3.005957669444115e-07
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.7155338704942227,-0.7155338715267205,-1.0324978649833838e-09,1.7374852057105983,1.737485219277524,1.3566925805008623e-08,0.2091747488411344,0.2091747502899165,1.4487820942932217e-09,-0.011432417962309316,-0.011432417970979629,-8.6703127316623e-12,-1.1092572398696543,-1.109257565956956,-3.2608730160532673e-07
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.7132619606747825,-0.7132619617479821,-1.0731995292445617e-09,1.728761489516728,1.7287614842791452,-5.23758281190112e-09,0.20865540959313922,0.20865541104299343,1.4498542089125266e-09,-0.01148066250511448,-0.011480662516336233,-1.1221752693746367e-11,-1.12317822887259,-1.1231785584481437,-3.2957555373691605e-07
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.7066945336539621,-0.7066945349014963,-1.2475341870654688e-09,1.7042158073632407,1.7042157827013638,-2.4661876985021536e-08,0.2069972812349108,0.2069972826914756,1.4565648132069953e-09,-0.011608239460225711,-0.011608239468938426,-8.7127145775856e-12,-1.1647382069082668,-1.1647385470578746,-3.4014960781370007e-07
