check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,244,0.007447880101340008,0.0008732359724418162,,,,,,,,
nonnegative_price,short_maturity,price,905,106,0.11712707182320442,0.0008003769431731924,,,,,,,,
nonnegative_price,atm,price,4887,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,25,0.000763102469399591,0.005692021017141188,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,25,0.027624309392265192,0.005692021017141188,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,43,0.0013125362473672966,0.020688924219484033,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,43,0.04751381215469613,0.020688924219484033,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,221,0.006745825829492384,0.6808335611547803,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,221,0.24419889502762432,0.6808335611547803,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0009648889649790638,0.0016833796736350772,0.0021833920791650267,0.0022682342275091028,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.0003409930518006242,0.0005674466589814856,0.001205641586236555,0.0032845199013515902,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.0037903912503457465,0.0058512457727233685,0.010965673874865174,0.023388777226567625,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.0017504252429237576,0.003940856918437208,0.01652032920294881,0.04926436826918479,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,0.01553676010455761,0.03419793170577292,0.12228311742487316,0.3946308561796501,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,0.022000031641543592,0.043821967767789426,0.310621507996064,1.566830774168352,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.001036464132441682,0.0021916666964113545,0.0029001144672940495,0.0029732696897700195,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.002086233220478373,0.006962054862171222,0.015640397193014924,0.031157878539587257,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.00036147516494100746,0.0007969281288315943,0.0036050865457300713,0.011286212294928877,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.0008583394326391984,0.0007784888470986635,0.020053852357332303,0.06399927708938288,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.002977703249819944,0.004798643373799394,0.0055742368794930285,0.005751625575423747,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.005371977573429558,0.00716394571124332,0.009412064349782779,0.015272829266191373,,,
terminal_payoff_boundary,terminal,price,181,158,0.8729281767955801,0.012737648412628255,,,,,,0.0029591450891516017,0.001454243676109823,0.011626906181343597
lower_spot_boundary,lower_spot,price,181,160,0.8839779005524862,0.00038971329189130266,,,,,,0.00025314430881496515,0.0002351579291923547,0.00033644774085133094
