epoch,optimizer,lr,train_total,train_pde,train_dpde,train_term,train_low,train_no_arbitrage,val_total,val_pde,val_dpde,val_term,val_low,val_no_arbitrage
1,adam,5e-05,4.984849565805653e-05,1.5882624471227507e-05,7.053226093534798e-06,1.0501694011133897e-05,1.6410951434950438e-05,0.0,2.23527240450494e-05,1.1617709787969943e-05,4.995772997062886e-06,5.370491635403596e-06,3.687486866965628e-07,0.0
2,adam,5e-05,1.4763943245126275e-05,5.579276173901033e-06,5.738554290156384e-06,3.138437692642684e-06,3.076749469943342e-07,0.0,2.010040043387562e-05,1.0013671271735802e-05,3.328010734549025e-06,6.4408941398141906e-06,3.178248277890816e-07,0.0
3,adam,5e-05,1.7786721761536133e-05,7.546781085289291e-06,4.5748903926684605e-06,5.241753219779061e-06,4.2329724696144926e-07,0.0,2.128920823452063e-05,1.0232790373265743e-05,5.271058853395516e-06,5.525520464289002e-06,2.5983837304011104e-07,0.0
4,adam,5e-05,1.4892830626599283e-05,5.988050642848802e-06,4.5847034362807225e-06,3.979681945031824e-06,3.403946577023701e-07,0.0,2.1996913346811198e-05,1.061367856891593e-05,4.104919753444847e-06,6.95893686497584e-06,3.193789268607361e-07,0.0
5,adam,5e-05,1.5575819859458578e-05,6.8504966495513345e-06,4.386083408765747e-06,3.9316456415748224e-06,4.0759407791065024e-07,0.0,2.060783481283579e-05,9.926755410560872e-06,5.704966952180257e-06,4.67526388092665e-06,3.008485407463013e-07,0.0
6,adam,5e-05,1.5470226889380093e-05,6.532946621345695e-06,4.4728148771081045e-06,4.072376616441322e-06,3.920888908786375e-07,0.0,2.0789824702660553e-05,9.882260201266035e-06,4.450685082701966e-06,5.887550742045278e-06,5.693294724551379e-07,0.0
7,adam,5e-05,1.6522244925634745e-05,7.1187509857982005e-06,4.556119397384752e-06,4.269638569865723e-06,5.777360777012782e-07,0.0,2.192937427025754e-05,1.1232768883928657e-05,4.968449047737522e-06,5.146602234162856e-06,5.815538770548301e-07,0.0
8,adam,5e-05,1.4076777944634188e-05,6.104220361406093e-06,4.139191882283437e-06,3.3845358338733187e-06,4.4882980977678334e-07,0.0,2.1398020180640742e-05,1.1975396773777902e-05,4.125265604670858e-06,4.76459581477684e-06,5.327611347638594e-07,0.0
9,adam,5e-05,1.5060629973757184e-05,7.030531497505199e-06,3.290784235783605e-06,4.151448701166027e-06,5.878657136672845e-07,0.0,2.024205241468735e-05,1.0180905519519001e-05,4.690901278081583e-06,5.1192796490795445e-06,2.509657406335464e-07,0.0
10,adam,5e-05,1.547648650831968e-05,6.4662757044032565e-06,4.636220208137982e-06,3.8020089194769897e-06,5.719816744968984e-07,0.0,1.8875432942877524e-05,9.556671102473047e-06,3.3049248031602474e-06,5.539526682696305e-06,4.743105534998904e-07,0.0
11,adam,5e-05,1.812984115415944e-05,8.296739877781846e-06,3.946609550684881e-06,5.116942056413373e-06,7.695498479300849e-07,0.0,2.293155739607755e-05,1.1471402103779837e-05,3.0228457035264e-06,8.046641596592963e-06,3.9066750900929037e-07,0.0
12,adam,5e-05,1.6014639850399118e-05,7.0805022185970934e-06,3.5964281356167964e-06,4.614347199816303e-06,7.233622850904679e-07,0.0,2.0576524548232555e-05,1.0274706255586352e-05,4.571897989080753e-06,5.094887455925345e-06,6.350337002913875e-07,0.0
13,adam,5e-05,1.4972082594578664e-05,6.965705627711334e-06,3.745977384340453e-06,3.701750651926554e-06,5.586489039831663e-07,0.0,2.4418544853688218e-05,1.2419067388691474e-05,2.767496198430308e-06,8.281870577775408e-06,9.501101772002585e-07,0.0
14,adam,5e-05,1.5470159225861563e-05,6.796680555987497e-06,3.5297176971595497e-06,4.375831223576767e-06,7.679297522957183e-07,0.0,1.8737546270131133e-05,1.029486065817764e-05,2.9398179322015494e-06,5.011234861740377e-06,4.916326474813104e-07,0.0
15,adam,5e-05,1.8476355098611083e-05,8.913368822230416e-06,3.758670176907005e-06,4.483395333943282e-06,1.3209208435772968e-06,0.0,2.062870771624148e-05,9.4370689112111e-06,2.9264947443152778e-06,6.392768682417227e-06,1.872374809863686e-06,0.0
