check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,20,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,5,0,0.0,0.0,,,,,,,,
nonnegative_price,atm,price,4,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,1,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,20,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,5,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,1,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,20,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,5,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,1,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,20,1,0.05,0.023429697708971697,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,5,1,0.2,0.023429697708971697,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,1,0,0.0,0.0,,,,,,,,
finite_values,full,price,20,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,5,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4,0,0.0,0.0,,,,,,,,
finite_values,hard,price,1,0,0.0,0.0,,,,,,,,
finite_values,full,delta,20,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,5,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,1,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,20,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,5,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,1,0,0.0,0.0,,,,,,,,
finite_values,full,vega,20,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,5,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,1,0,0.0,0.0,,,,,,,,
finite_values,full,theta,20,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,5,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,1,0,0.0,0.0,,,,,,,,
finite_values,full,rho,20,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,5,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,1,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,16,0,,,surface_x,0.03697302201502389,0.06999887450147688,0.07451937288051086,0.07496802566858088,,,
smoothness_neighbor_jump,full,price,15,0,,,surface_y,0.0037514338227219958,0.007289372080395092,0.012403235869175975,0.013121605003768586,,,
smoothness_neighbor_jump,full,delta,16,0,,,surface_x,0.23650445171078727,0.4460130924636053,0.5022848471610329,0.5050985911000099,,,
smoothness_neighbor_jump,full,delta,15,0,,,surface_y,0.03939290981920988,0.09485636255603722,0.1091548570950863,0.1095576034243384,,,
smoothness_neighbor_jump,full,gamma,16,0,,,surface_x,3.353613127034534,8.614173029737655,13.731133208312794,13.744561615778577,,,
smoothness_neighbor_jump,full,gamma,15,0,,,surface_y,1.2400127378795416,2.73633878224851,7.030040925837941,7.691458222698321,,,
smoothness_neighbor_jump,full,vega,16,0,,,surface_x,0.13789067018521767,0.1990694158788342,0.2274663597350149,0.23208957663637722,,,
smoothness_neighbor_jump,full,vega,15,0,,,surface_y,0.09395775609667825,0.1457411148542121,0.16651900003598852,0.16867152117687478,,,
smoothness_neighbor_jump,full,theta,16,0,,,surface_x,0.06629189310636976,0.16969719477482703,0.2778472888052621,0.28017844670029113,,,
smoothness_neighbor_jump,full,theta,15,0,,,surface_y,0.0245893747497203,0.0522426130764859,0.13989188910483855,0.15406428129435246,,,
smoothness_neighbor_jump,full,rho,16,0,,,surface_x,0.030694543872791982,0.0612312491636963,0.06924407957159213,0.06969820607760863,,,
smoothness_neighbor_jump,full,rho,15,0,,,surface_y,0.039514885007631416,0.07088954174806854,0.07567897024356991,0.07616791309671639,,,
terminal_payoff_boundary,terminal,price,8,0,0.0,0.0,,,,,,0.0,0.0,0.0
lower_spot_boundary,lower_spot,price,8,0,0.0,2.141122674992335e-05,,,,,,1.3744490231973194e-05,1.2192807287300655e-05,2.1152100186276887e-05
