check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,170,0.005189096791917218,0.0014931884069234822,,,,,,,,
nonnegative_price,short_maturity,price,905,112,0.12375690607734807,0.0014931884069234822,,,,,,,,
nonnegative_price,atm,price,4887,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,50,0.001526204938799182,0.28869298300152846,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,50,0.055248618784530384,0.28869298300152846,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0009642698617923877,0.0015932945790519144,0.0020743935933025307,0.0021683606463059057,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.0003798309590172089,0.0006092322067555266,0.0014315572762239879,0.004467031912407701,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.003407879231602179,0.005246862816378867,0.00865457426063102,0.018131242330543418,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.0016081386553796681,0.003537806087221328,0.01573416706130875,0.049655367619783175,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,0.0113193161261603,0.025391739649028057,0.07780845726670198,0.2808461050239073,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,0.018832233333156218,0.03670741908852235,0.2563483783062257,1.5503517134693912,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.0006059415548989268,0.001270701982675246,0.0018710127863007812,0.001944228012437904,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.001754195617148118,0.00598696897338075,0.012731378401596783,0.0205602624929457,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.00033467625066680286,0.0007186447773511146,0.0035552063811096347,0.01158505809432342,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.0010882360629457714,0.0007879688751383482,0.02489888383280845,0.0788565056273427,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.002444418744475286,0.0038087418321903106,0.004385415849344436,0.0045283885267408674,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.005638228191974086,0.0069044014843470895,0.014246899647484648,0.024042412683929086,,,
terminal_payoff_boundary,terminal,price,181,173,0.9558011049723757,0.019421320507882804,,,,,,0.005789077258539983,0.0034870606285434757,0.018287045872249278
lower_spot_boundary,lower_spot,price,181,164,0.9060773480662984,0.0007361123925955226,,,,,,0.0003721066338174859,0.00034546235302351943,0.0007316567365130755
