epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_no_arbitrage,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_no_arbitrage
1,adam,5e-05,0.006324377901379078,0.00045471603580009534,0.0,0.003129323789228996,0.0007948194933493459,0.001710645906213257,0.00015257412200847442,8.229850200746475e-05,0.0,0.0017665784107521176,0.00018309016013517976,0.0,0.0007234878139570355,0.00042399484664201736,0.0003265139239374548,8.94231561687775e-05,2.0068613594048657e-05,0.0
2,adam,5e-05,0.0014179349961941914,0.00016608841173047762,0.0,0.0005765343020256194,0.00033794790654191896,0.00024751152858019823,7.301669433622414e-05,1.6836142455600016e-05,0.0,0.0011996175162494183,0.00015865171735640615,0.0,0.0005006014835089445,0.0002573834208305925,0.00019658372912090272,7.414748688461259e-05,1.2249725841684267e-05,0.0
3,adam,5e-05,0.0010331530587762475,0.00013837341456175118,0.0,0.0004317615174740139,0.0002213029968385984,0.00016143350258639584,6.468468748766648e-05,1.5596939986622486e-05,0.0,0.0009293868788518012,0.00013701085117645562,0.0,0.000391499197576195,0.00018123503832612187,0.0001357243600068614,6.890971417305991e-05,1.500771668361267e-05,0.0
4,adam,5e-05,0.0008158449024435073,0.00011951481983054517,0.0,0.0003428117282936231,0.000164271023961538,0.00011589379804689319,6.0285321062168343e-05,1.306821900109912e-05,0.0,0.0007614245405420661,0.0001239429257111624,0.0,0.0003157737373840064,0.00013961136573925614,0.00010065217793453485,7.065726822474971e-05,1.0787083738250658e-05,0.0
5,adam,5e-05,0.0006782033920495047,0.00010623365648955639,0.0,0.000281109122119637,0.00012972485643648912,9.028246039099666e-05,5.907705844803122e-05,1.1776240618986315e-05,0.0,0.0006555148283950984,0.00012510817032307386,0.0,0.0002717999159358442,0.00010918458428932354,8.184895705198869e-05,6.011245204717852e-05,7.4607964961614925e-06,0.0
6,adam,5e-05,0.0005854339082910133,9.97219890234105e-05,0.0,0.0002415736507539386,0.00010517190521424045,7.441610755955076e-05,5.45309272956007e-05,1.0019320915677189e-05,0.0,0.0005736727616749704,0.00011053802882088348,0.0,0.00023045386478770524,9.303079423261806e-05,6.815876258770004e-05,6.141749327071011e-05,1.0073774319607764e-05,0.0
7,adam,5e-05,0.0005177140974121848,9.163240437850444e-05,0.0,0.00021289835410517833,8.854587051448309e-05,6.39340563331701e-05,5.170009951273512e-05,9.003315549235262e-06,0.0,0.0005198951112106442,0.00010208239109488204,0.0,0.000204501164262183,7.990565791260451e-05,5.934029468335211e-05,6.851786747574806e-05,5.547738510358613e-06,0.0
8,adam,5e-05,0.0004663766927218863,8.356021787640491e-05,0.0,0.0001899932184541184,7.604650085023235e-05,5.742048152670678e-05,5.1491568950633146e-05,7.864702118760241e-06,0.0,0.0004719552816823125,9.975894499802962e-05,0.0,0.00018793791241478175,6.999855395406485e-05,5.368945494410582e-05,5.3587587899528444e-05,6.982815648370888e-06,0.0
9,adam,5e-05,0.00042635101514558,7.961156335936504e-05,0.0,0.00017372560793615227,6.725146378148422e-05,5.177241334985454e-05,4.664217195813618e-05,7.3477941759125636e-06,0.0,0.00043587564141489565,8.37111656437628e-05,0.0,0.0001772296818671748,6.203042721608654e-05,4.937824633088894e-05,5.543782390304841e-05,8.088278264040127e-06,0.0
10,adam,5e-05,0.00039622853214423806,7.385291847019707e-05,0.0,0.0001621727545474035,5.958769427721448e-05,4.8150704334682176e-05,4.590090426814092e-05,6.563557181358365e-06,0.0,0.0004030156705994159,8.441218960797414e-05,0.0,0.0001602562697371468,5.695723302778788e-05,4.5528558985097334e-05,4.9414094974054024e-05,6.44733700028155e-06,0.0
11,adam,5e-05,0.00037012272006240745,6.993656828103306e-05,0.0,0.00015126579380612672,5.426693372548528e-05,4.497087773791189e-05,4.348446404153023e-05,6.198083379814985e-06,0.0,0.00037711297045461833,8.144709863699973e-05,0.0,0.0001506210392108187,5.128944030730054e-05,4.246861135470681e-05,4.6124750952003524e-05,5.162031811778434e-06,0.0
12,adam,5e-05,0.00034821406237795833,6.612030576058989e-05,0.0,0.00014153450527893647,5.058436640649147e-05,4.211332871197974e-05,4.210735965494273e-05,5.754197322930272e-06,0.0,0.0003628360282164067,8.058378443820402e-05,0.0,0.00014005838602315634,4.8445806896779686e-05,4.035938036395237e-05,4.533406172413379e-05,8.054607860685792e-06,0.0
13,adam,5e-05,0.00032888061463064145,6.379451455330358e-05,0.0,0.00013371600064038787,4.710781545976975e-05,3.9782772503150186e-05,3.9118230796746156e-05,5.361284600382085e-06,0.0,0.0003422967274673283,7.001285848673433e-05,0.0,0.00013526550901588053,4.56378584203776e-05,3.839886267087422e-05,4.50116531283129e-05,7.969998478074558e-06,0.0
14,adam,5e-05,0.00031501435931579816,6.017045759815826e-05,0.0,0.00012783333243403052,4.439772203026916e-05,3.7316392153447925e-05,3.923349074270051e-05,6.062964840811984e-06,0.0,0.0003297227085568011,7.30791871319525e-05,0.0,0.0001293183449888602,4.465315942070447e-05,3.599288538680412e-05,4.3050684325862676e-05,3.628441390901571e-06,0.0
15,adam,5e-05,0.00029995248261247833,5.8683915128875965e-05,0.0,0.00012249253816821331,4.2752648802152614e-05,3.518564759967072e-05,3.6190121266242515e-05,4.647612513508648e-06,0.0,0.0003115945728495717,6.155067967483774e-05,0.0,0.00012171471462352201,4.1387676901649684e-05,3.4369557397440076e-05,4.7042773076100275e-05,5.52918208995834e-06,0.0
16,adam,5e-05,0.000287265776442216,5.5398156132829925e-05,0.0,0.00011631861002930987,4.0646807021749696e-05,3.3423233790450644e-05,3.696487340401666e-05,4.5140975327653684e-06,0.0,0.00030329517903737724,6.493580440292135e-05,0.0,0.00011962597636738792,4.021494896733202e-05,3.2739248126745224e-05,4.054073360748589e-05,5.238464382273378e-06,0.0
17,adam,5e-05,0.0002766719643702908,5.413833746893538e-05,0.0,0.00011254767406850107,3.962065645845585e-05,3.19960741069822e-05,3.385858730729928e-05,4.51063484462562e-06,0.0,0.0002901580883190036,6.296284846030176e-05,0.0,0.00011370897846063599,3.93111004086677e-05,3.121667759842239e-05,4.05789032811299e-05,2.379563738941215e-06,0.0
18,adam,5e-05,0.00026782004149734147,5.132541391215036e-05,0.0,0.0001081215586820026,3.839580376590011e-05,3.085949659483352e-05,3.4738924013153235e-05,4.37884506344932e-06,0.0,0.00027405627770349383,5.538054756470956e-05,0.0,0.00010665238369256258,3.7928144593024626e-05,2.944956941064447e-05,3.896786438417621e-05,5.677795797964791e-06,0.0
19,adam,5e-05,0.0002567280914970777,4.963952025199043e-05,0.0,0.00010386920632934938,3.732548516598486e-05,2.9143576587860782e-05,3.296075224098454e-05,3.7895518881481305e-06,0.0,0.00026617193361744285,5.881926335860044e-05,0.0,0.0001035989771480672,3.721490065800026e-05,2.808973476930987e-05,3.51064300048165e-05,3.342639729453367e-06,0.0
20,adam,5e-05,0.0002468405279888964,4.85156890049222e-05,0.0,9.961929038307438e-05,3.64294307748048e-05,2.7869375694463665e-05,3.088631996116231e-05,3.5204220982869008e-06,0.0,0.00025654371711425483,5.379740468924865e-05,0.0,9.849164780462161e-05,3.599522096919827e-05,2.723295801843051e-05,3.6499379348242655e-05,4.527096280071419e-06,0.0
21,adam,5e-05,0.00023784482780481793,4.683745173101742e-05,0.0,9.556791372320039e-05,3.54497013408007e-05,2.6646582473259758e-05,2.9866374201706742e-05,3.4768040406907814e-06,0.0,0.0002544900344219059,5.481843982124701e-05,0.0,9.67986707109958e-05,3.531518450472504e-05,2.6435682229930535e-05,3.822767757810652e-05,2.8943602501385612e-06,0.0
22,adam,5e-05,0.00023315898660156463,4.552479448547173e-05,0.0,9.275049564570913e-05,3.467455627244254e-05,2.575842942557453e-05,3.069330205829511e-05,3.757408649107674e-06,0.0,0.00024471268989145756,5.053426866652444e-05,0.0,9.50354733504355e-05,3.4462649637134746e-05,2.5246377845178358e-05,3.2665018807165325e-05,6.768907951482106e-06,0.0
23,adam,5e-05,0.00022546477368219742,4.462213288957534e-05,0.0,9.033941104361374e-05,3.422812744882697e-05,2.471057520042883e-05,2.8147212004922847e-05,3.4173152049074166e-06,0.0,0.00023215821420308203,4.8912093916442245e-05,0.0,8.936279482441023e-05,3.376149834366515e-05,2.4201513951993547e-05,3.402732181712054e-05,1.8930140868178569e-06,0.0
24,adam,5e-05,0.00021744006805838868,4.2024677838078726e-05,0.0,8.690233193596618e-05,3.343823297496235e-05,2.3740995525186585e-05,2.831970752075514e-05,3.0141240986700895e-06,0.0,0.00022676172375213355,4.76696077384986e-05,0.0,8.695969154359773e-05,3.322712655062787e-05,2.3546666852780618e-05,3.380956331966445e-05,1.5490586520172656e-06,0.0
25,adam,5e-05,0.00021230828364394487,4.190440827981561e-05,0.0,8.377463988532934e-05,3.305670904251562e-05,2.3088086833475187e-05,2.715600243795456e-05,3.328436343782948e-06,0.0,0.00022218863887246698,4.872517456533387e-05,0.0,8.308083488373086e-05,3.2830826967256144e-05,2.222775037807878e-05,3.282634497736581e-05,2.49771051130665e-06,0.0
26,adam,5e-05,0.00020570586465986534,4.0455687046651584e-05,0.0,8.152913280701752e-05,3.195476425129787e-05,2.2284737583721014e-05,2.6423983009798186e-05,3.0575617623230395e-06,0.0,0.00021572485275100917,4.392831397126429e-05,0.0,8.084265573415905e-05,3.39850339514669e-05,2.158682582376059e-05,3.2376708986703306e-05,3.0053267892071744e-06,0.0
27,adam,5e-05,0.00020107545170171688,4.034312379579725e-05,0.0,7.869561430573138e-05,3.186664434906561e-05,2.158161629585453e-05,2.5743632033395226e-05,2.8448211763148604e-06,0.0,0.0002076328673865646,4.3053787521785125e-05,0.0,8.004173287190497e-05,3.191164796589874e-05,2.0730201867991127e-05,2.8975413442822173e-05,2.9200718927313574e-06,0.0
28,adam,5e-05,0.00019546128608035072,3.9206094972166555e-05,0.0,7.624947673840714e-05,3.1583304152018315e-05,2.047746582118432e-05,2.4785567138534378e-05,3.1593781422709564e-06,0.0,0.00020487191795837134,4.5541415602201596e-05,0.0,7.715311221545562e-05,3.0666855309391394e-05,2.0163946828688495e-05,2.8283471692702733e-05,3.0631213121523615e-06,0.0
29,adam,5e-05,0.00019210020989357006,3.789953549881281e-05,0.0,7.440199098911964e-05,3.0592996977031274e-05,2.011177806823056e-05,2.5616518166590673e-05,3.47738980761076e-06,0.0,0.00020185724133625627,4.3534371798159555e-05,0.0,7.662336429348215e-05,3.1291565392166376e-05,1.9689729015226476e-05,2.8212878532940522e-05,2.505321162971086e-06,0.0
30,adam,5e-05,0.00018648747936822474,3.7271116814245325e-05,0.0,7.244878037858548e-05,3.0055680730988064e-05,1.9683115314119423e-05,2.4066331539033277e-05,2.9624552805924195e-06,0.0,0.00019192398758605123,3.952611950808205e-05,0.0,7.355355774052441e-05,2.956898788397666e-05,1.9143086319672875e-05,2.8025371648254804e-05,2.1068779005872784e-06,0.0
31,adam,5e-05,0.00018024199438052222,3.634855019054302e-05,0.0,6.98391736405606e-05,2.954817659522791e-05,1.9048946500882426e-05,2.3030647320237697e-05,2.4264985973959916e-06,0.0,0.000187651690794155,4.051971700391732e-05,0.0,7.09080122760497e-05,2.9108196031302214e-05,1.8583912606118247e-05,2.652365219546482e-05,2.0082015907973982e-06,0.0
32,adam,5e-05,0.0001770260890239909,3.6092196606905275e-05,0.0,6.801615895782894e-05,2.9173456664827267e-05,1.829284372520522e-05,2.2842849368374566e-05,2.6085829375237126e-06,0.0,0.00018551378161646426,4.059781349496916e-05,0.0,6.706240674247965e-05,2.9019814974162728e-05,1.7768124962458387e-05,2.8565709726535715e-05,2.4999208108056337e-06,0.0
33,adam,5e-05,0.0001735129949843718,3.596598198494157e-05,0.0,6.629126616485698e-05,2.841339182706424e-05,1.7625041249312558e-05,2.263020368922125e-05,2.5871099390473868e-06,0.0,0.0001824481296353042,3.914994886144996e-05,0.0,6.87451392877847e-05,2.8776697945431806e-05,1.73018743225839e-05,2.607952046673745e-05,2.394932380411774e-06,0.0
34,adam,5e-05,0.00017000138362322653,3.470804331877772e-05,0.0,6.444401382367008e-05,2.797829343069766e-05,1.7378883462192283e-05,2.2064060893113954e-05,3.4280891801995855e-06,0.0,0.0001773350959410891,3.765945075429045e-05,0.0,6.237843626877293e-05,2.804343239404261e-05,1.710029573587235e-05,2.6760419132187963e-05,5.393059382186038e-06,0.0
35,adam,5e-05,0.0001636598024070115,3.353019019414205e-05,0.0,6.218719609600995e-05,2.7250705233965408e-05,1.662642344377846e-05,2.1518012270837696e-05,2.547275514752116e-06,0.0,0.00017549330368638039,3.859428397845477e-05,0.0,6.64246836095117e-05,2.7372043405193835e-05,1.6264217265415937e-05,2.455904905218631e-05,2.279034561070148e-06,0.0
36,adam,5e-05,0.0001615584714316009,3.4183792527146e-05,0.0,6.089639103424454e-05,2.707236039679542e-05,1.6255633829767625e-05,2.0799817999460853e-05,2.350477890854924e-06,0.0,0.00017329584807157516,3.792048300965689e-05,0.0,6.172584107844159e-05,2.608239810797386e-05,1.6249899999820627e-05,2.9113671189406887e-05,2.2035544589016354e-06,0.0
37,adam,5e-05,0.00015861638218796412,3.261947145686477e-05,0.0,6.0136343173715954e-05,2.6247537832768147e-05,1.6026965697944562e-05,2.1179523404469595e-05,2.406540071812439e-06,0.0,0.00016581107047386467,3.6185501812724397e-05,0.0,6.216418114490807e-05,2.5640994863351807e-05,1.6066709576989524e-05,2.3964490537764505e-05,1.789181396816275e-06,0.0
38,adam,5e-05,0.0001553265069055164,3.3771839991372655e-05,0.0,5.7657590837657656e-05,2.589049201185209e-05,1.5342655950960415e-05,2.015254781398985e-05,2.511380164342261e-06,0.0,0.0001665127492742613,3.7964397051837295e-05,0.0,5.947296813246794e-05,2.572105404397007e-05,1.5151611478358973e-05,2.3135240553529002e-05,5.0674784688453656e-06,0.0
39,adam,5e-05,0.00015222165425906757,3.185308825835356e-05,0.0,5.7541958807315305e-05,2.4989725052220154e-05,1.5061361857136483e-05,2.041773188379704e-05,2.3577882685126425e-06,0.0,0.00016374458209611475,3.566678788047284e-05,0.0,5.766939284512773e-05,2.5409804948139936e-05,1.5041012375149876e-05,2.5429029847146012e-05,4.528576937445905e-06,0.0
40,adam,5e-05,0.0001527646336831995,3.2575295797811584e-05,0.0,5.627898743056456e-05,2.4702461641503587e-05,1.5131332778158443e-05,2.04968180205758e-05,3.579737390210207e-06,0.0,0.00017481805116403848,4.059077400597744e-05,0.0,6.187775579746813e-05,2.4626169761177152e-05,1.436118964193156e-05,2.6461326342541724e-05,6.9008533500891645e-06,0.0
41,adam,5e-05,0.0001484249298791549,3.070460084090305e-05,0.0,5.491798268820506e-05,2.4199506249657595e-05,1.4304406177538949e-05,2.0632359279723402e-05,3.6660741847703725e-06,0.0,0.00016003992641344666,3.865624239551835e-05,0.0,5.5981796322157606e-05,2.4021233912208118e-05,1.3995379958942067e-05,2.1676103642676026e-05,5.709164270228939e-06,0.0
42,adam,5e-05,0.0001458531353689198,3.178471091641335e-05,0.0,5.404576280390814e-05,2.3476065493129668e-05,1.4165260735252457e-05,1.96379318338817e-05,2.7434033138469825e-06,0.0,0.0001532021415187046,3.587948958738707e-05,0.0,5.302940189721994e-05,2.3048845832818188e-05,1.4577813089999836e-05,2.4988761651911773e-05,1.6778179769971757e-06,0.0
43,adam,5e-05,0.00014164137004020935,3.08812744599039e-05,0.0,5.188913651398339e-05,2.296505752181272e-05,1.3701958937056748e-05,1.9626922270588924e-05,2.577019885725421e-06,0.0,0.00015111250104382634,3.6641544284066185e-05,0.0,5.525918095372617e-05,2.2941603674553335e-05,1.3518585546989925e-05,2.1100753656355664e-05,1.6508323597008712e-06,0.0
44,adam,5e-05,0.00013859320899918824,3.0036000247318518e-05,0.0,5.198713866804379e-05,2.276667146361433e-05,1.3322292409337399e-05,1.7930416943850034e-05,2.550691160000237e-06,0.0,0.00014451461902353913,3.334916618769057e-05,0.0,5.1535196689656004e-05,2.19655194086954e-05,1.3288678019307554e-05,2.312522155989427e-05,1.250835111932247e-06,0.0
45,adam,5e-05,0.00013552259458395253,2.9610193595299425e-05,0.0,5.052550076225233e-05,2.1922312722410194e-05,1.319483727990975e-05,1.8426838439139944e-05,1.8429119906599342e-06,0.0,0.00014217180432751775,3.402999573154375e-05,0.0,5.1285165682202205e-05,2.148916246369481e-05,1.4703393389936537e-05,1.9346281987964176e-05,1.3177913160689059e-06,0.0
46,adam,5e-05,0.00013400281946699592,2.9840050941972536e-05,0.0,4.993486531713556e-05,2.168341429101669e-05,1.2638419941631294e-05,1.74440709752306e-05,2.4619986117527116e-06,0.0,0.0001399933098582551,3.2234369427897036e-05,0.0,4.999211159883998e-05,2.0734136342070997e-05,1.2417728612490464e-05,2.3131948182708584e-05,1.4830062582404935e-06,0.0
47,adam,5e-05,0.00013144391460440284,2.895853977529369e-05,0.0,4.911373602341868e-05,2.1065525750542754e-05,1.239334892849752e-05,1.7651995323022777e-05,2.2607692385246904e-06,0.0,0.00014252294204197824,3.227971319574863e-05,0.0,4.847113086725585e-05,2.0627505364245735e-05,1.2179652003396768e-05,2.734606277954299e-05,1.6188889730983647e-06,0.0
48,adam,5e-05,0.0001286070266995387,2.84945204579604e-05,0.0,4.789375227465782e-05,2.0581690405956507e-05,1.2126918749893935e-05,1.736186849094728e-05,2.1482751038540356e-06,0.0,0.0001367501390632242,3.2089079468278214e-05,0.0,4.93547813675832e-05,1.9769435311900452e-05,1.191452975035645e-05,2.0254243281669915e-05,3.3680735214147717e-06,0.0
