check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,905,0,0.0,0.0,,,,,,,,
nonnegative_price,atm,price,4887,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,442,0.013491651658984768,32.39712733368971,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,61,0.06740331491712707,30.89808643003487,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,437,0.08942091262533251,32.39712733368971,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,56,0.4148148148148148,30.89808643003487,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0009894017048406476,0.0016468210030356034,0.0021200112643321167,0.002216989312455314,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.0004182140891023517,0.0006093909009072969,0.001971398686290817,0.00803372289288679,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.0038299467894163984,0.005916595389505536,0.014166987573740079,0.4500976047493942,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.0022551209480487964,0.0042230813639018904,0.03446530845972743,0.13790162676541384,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,0.1692093169226969,0.1584570084163909,2.159356180991164,297.66437619591466,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,0.06174266368180745,0.07446064482342246,0.8060175304430957,166.2134556633465,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.001018245309394894,0.002096192914418255,0.003311397518023529,0.009129167255710433,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.001959611926775195,0.005317300861680741,0.020688330302884327,0.03219887116418198,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.0004717062197667988,0.0008577217703548239,0.007914073076181624,0.038907458321123745,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.0014458754497433239,0.001624339385772052,0.03430312353574167,0.15389535402032034,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.0034105188860744213,0.005121938823681116,0.008085440440378722,0.0172725275278911,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.007062394109496223,0.009063968811838114,0.018523265286382727,0.042845200960321565,,,
terminal_payoff_boundary,terminal,price,181,0,0.0,6.931471805599453e-06,,,,,,5.15212241797935e-07,3.829542435449858e-08,1.1449174941446912e-16
lower_spot_boundary,lower_spot,price,181,153,0.8453038674033149,0.0007519671508430248,,,,,,0.00045265757470709135,0.00037561510953994535,0.0007518299134037898
