tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.841073083897026,-0.8410730943833601,-1.0486334134363062e-08,1.45854493482922,1.4585449398514891,5.0222690450851815e-09,0.03327061938160347,0.033270619276588705,-1.0501476771507257e-10,0.01043944180600942,0.010439440786190357,-1.0198190625310133e-09,-0.010909021480043357,-0.01090908808844187,-6.660839851208022e-08
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.8034017583080644,-0.8034017762360626,-1.792799819710922e-08,1.888798090154964,1.8887980667746822,-2.338028171067208e-08,0.050137733343391666,0.05013773335788558,1.4493913014224091e-11,0.010676847216756213,0.010676847859809838,6.430536242385543e-10,0.005704955574337145,0.005704868966048706,-8.660828843855273e-08
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.7940932401870326,-0.7940932608724262,-2.0685393509189964e-08,2.02758843048656,2.027588384270066,-4.621649374314529e-08,0.05416766158436448,0.054167661717213406,1.3284892630416323e-10,0.010535015893958777,0.01053501717331768,1.2793589035386965e-09,0.01553269533036139,0.015532609150451793,-8.617990959747246e-08
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.7642658863594998,-0.7642659238721001,-3.7512600359335124e-08,2.420970954264412,2.4209708695320855,-8.473232648853468e-08,0.06949530089672695,0.06949530306402389,2.1672969391373087e-09,-0.013588111721363205,-0.013588112629291799,-9.079285934188164e-10,0.10112481929266948,0.10112490525105836,8.595838887903717e-08
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.7318602357084258,-0.7318602640528868,-2.834446100052901e-08,2.0824710345035413,2.0824709418443788,-9.265916256495643e-08,0.08607870175481036,0.08607870577086689,4.016056528999279e-09,-0.03226025915362141,-0.032260259275213574,-1.2159216689067165e-10,0.06851715446606899,0.06851715936792281,4.901853825622915e-09
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.7260752040404161,-0.7260752279989573,-2.3958541151003487e-08,1.9384362309748937,1.9384361762680715,-5.470682218344791e-08,0.08907363976115579,0.08907364439405555,4.632899758272302e-09,-0.03472139347857062,-0.03472139373101066,-2.524400410930383e-10,0.050834321951992445,0.050834291266238466,-3.0685753979464714e-08
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.7143601495498975,-0.7143601595836366,-1.0033739172854439e-08,1.3102122442543163,1.3102122111502745,-3.3104041730069866e-08,0.09235906698601415,0.09235907271981679,5.733802641016972e-09,-0.03564131964728379,-0.03564131990772463,-2.604408425033178e-10,0.036335362055689435,0.03633537939935043,1.7343660993485166e-08
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.7116258027256572,-0.7116258099246167,-7.198959428578178e-09,1.0467075428621797,1.046707465047596,-7.781458366551419e-08,0.08935239850099697,0.08935240360053122,5.09953425320564e-09,-0.029806176863461653,-0.029806176990859676,-1.2739802268679767e-10,0.04977144110171472,0.04977151858187037,7.748015565245403e-08
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.7113849159237629,-0.7113849229775684,-7.053805539669611e-09,1.021272411083629,1.0212723819832341,-2.9100394982606304e-08,0.08899561009245716,0.08899561511020519,5.017748036517666e-09,-0.028839323197998867,-0.028839323318782382,-1.207835151340042e-10,0.051405707940238576,0.051405792446882884,8.45066443072584e-08
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.7109512675286533,-0.7109512743480714,-6.819418030268309e-09,0.9543844131654211,0.9543843311501758,-8.201524526185722e-08,0.08815704278464231,0.0881570476047015,4.820059185117742e-09,-0.02573430997743209,-0.02573431007107672,-9.36446302446381e-11,0.055876621401496074,0.055876725261145,1.0385964892278832e-07
