tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.4530036954258909,-0.4530036902785,5.1473909024046804e-09,1.4564517480941674,1.4564518672651754,1.1917100795066915e-07,0.14075349827613604,0.1407534993618856,1.0857495735816514e-09,-0.01794833358048642,-0.017948333904063658,-3.2357723792064697e-10,-0.2589756160986667,-0.2589754144732816,2.0162538511003802e-07
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.42138933351199004,-0.42138932388470607,9.627283970026213e-09,1.2838922258673335,1.2838922537107074,2.784337382877311e-08,0.15592435219147216,0.15592435328478876,1.0933166039173159e-09,-0.02497645709254037,-0.024976457425213403,-3.326730314834325e-10,-0.27445574539597395,-0.27445555207226563,1.9332370831959267e-07
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.41337443835054444,-0.4133744279030762,1.0447468223873102e-08,1.2231711421506475,1.2231711860018237,4.385117624572388e-08,0.15970374929341613,0.15970375036834145,1.0749253154251903e-09,-0.026605579649396915,-0.026605579972077756,-3.2268084038111766e-10,-0.2799900569017133,-0.2799898676820023,1.8921971101093504e-07
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.3759706299721888,-0.3759706193618035,1.0610385292597613e-08,0.827769719435878,0.8277697193226836,-1.1319434278789231e-10,0.17610932047440464,0.17610932128187326,8.074686197456771e-10,-0.03263238715411898,-0.03263238733209461,-1.7797562729127137e-10,-0.3293252553687731,-0.3293251088788649,1.4648990820376184e-07
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.3561931189960399,-0.3561931131474472,5.8485926657247944e-09,0.549510648095719,0.5495106861446238,3.8048904804632855e-08,0.18033189135790995,0.18033189163469515,2.7678520586604805e-10,-0.03319037682747439,-0.03319037687598857,-4.8514178785374895e-11,-0.4075703902806094,-0.4075703065780007,8.370260867751611e-08
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.3530097202913973,-0.35300971557785044,4.71354688613701e-09,0.509884345856193,0.5098842539133384,-9.194285466307406e-08,0.17980934087613587,0.1798093410041533,1.2801742999002386e-10,-0.03286588690587511,-0.032865886931780074,-2.5904965672562952e-11,-0.4302234890618539,-0.43022342112361533,6.793823859041481e-08
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.3428773678643138,-0.3428773660779982,1.7863155954422894e-09,0.43002678085102275,0.4300267626329646,-1.8218058173147256e-08,0.17433099920416417,0.17433099881697262,-3.8719155659450166e-10,-0.031099158544489747,-0.03109915854237286,2.1168865271814497e-12,-0.5250728702715923,-0.5250728578162186,1.2455373732400687e-08
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.3371189315543033,-0.3371189305527139,1.001589367000122e-09,0.4115404350635288,0.41154045727034766,2.220681888376319e-08,0.16953117536688822,0.16953117475263174,-6.142564790145855e-10,-0.029965543014154328,-0.02996554300983879,4.31553751067959e-12,-0.5861832121600852,-0.5861832284503999,-1.6290314763800495e-08
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.3363521029414729,-0.3363521020076289,9.338440021267047e-10,0.4098014483311374,0.40980140059297177,-4.773816564274114e-08,0.16885774881902904,0.1688577481823949,-6.366341342989301e-10,-0.02981904587140427,-0.029819045866784438,4.619832294494586e-12,-0.5943974789779372,-0.5943974988239885,-1.9846051357852446e-08
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.3340484986769088,-0.3340484979023785,7.745302732509174e-10,0.4051480040345723,0.40514802185418475,1.7819612452285583e-08,0.16681215423475226,0.1668121535334522,-7.013000735689445e-10,-0.029386453669344448,-0.02938645366654051,2.803937637629872e-12,-0.6191229827218203,-0.6191230129140355,-3.019221517241988e-08
1.6453333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,148,-0.3336641454521061,-0.3336641446985486,7.535574941819334e-10,0.4044368173694579,0.4044368277016951,1.0332237176946535e-08,0.16646848209511678,0.1664684813848094,-7.103073684788797e-10,-0.029315325757450772,-0.02931532575458576,2.8650103123251114e-12,-0.6232556538460221,-0.6232556857202013,-3.187417918493196e-08
1.734,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,156,-0.3305875572873207,-0.3305875566687483,6.185724155116645e-10,0.3991789454538264,0.3991789790880797,3.3634253326919605e-08,0.16370446820845874,0.16370446742835856,-7.80100178898735e-10,-0.028755381052958384,-0.02875538105032377,2.6346147485867277e-12,-0.6564347821907957,-0.6564348271225977,-4.493180205678016e-08
1.90025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,171,-0.32484298059742844,-0.3248429801029583,4.944701315068301e-10,0.39035980003987447,0.3903597640384536,-3.6001420844478105e-08,0.1585266451575862,0.1585266442958144,-8.617717928149915e-10,-0.02774067327238061,-0.027740673270601177,1.7794342388466333e-12,-0.7192002443590084,-0.7192003123142486,-6.795524021274701e-08
1.9224166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,173,-0.3240830851619636,-0.3240830846750117,4.869519232286734e-10,0.3892259070603643,0.38922580822758723,-9.883277707345428e-08,0.15784244859873287,0.15784244772780942,-8.709234444737035e-10,-0.02760802197299128,-0.027608021970143996,2.8472849078475804e-12,-0.7276230049185761,-0.7276230758348832,-7.091630704891827e-08
1.9335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,174,-0.32370389906000163,-0.3237038985767041,4.832975131208173e-10,0.3886607258252184,0.3886607093710095,-1.6454208884297827e-08,0.15750116002521963,0.15750115915261254,-8.726070976905476e-10,-0.027541883569903725,-0.027541883568850817,1.0529077609788828e-12,-0.7318391030564086,-0.7318391754452146,-7.238880594950814e-08
0.3264166666666667,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,210,-0.4837802131629765,-0.48378021342614397,-2.6316748780175203e-10,1.5393863073143166,1.5393864087536877,1.014393711251671e-07,0.12596115030294452,0.1259611512949812,9.920366750293397e-10,-0.010431093904750277,-0.01043109415397055,-2.4922027289098203e-10,-0.24588857332585867,-0.24588836919544824,2.0413041043609859e-07
0.5148333333333334,0.8022222222222223,0.04,-0.7,2.0,0.3,0.04,0.01,227,-0.42418768858909495,-0.4241876793099193,9.279175650078741e-09,1.3106447038779834,1.310644778385624,7.450764072380878e-08,0.15487730440855163,0.15487730552295814,1.1144065115153978e-09,-0.0243535496829983,-0.024353550019407342,-3.3640904298359864e-10,-0.269639416007883,-0.2696392195155045,1.96492378479185e-07
