check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,905,0,0.0,0.0,,,,,,,,
nonnegative_price,atm,price,4887,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.000623442624143057,0.0007793994660421745,0.0011476411007992299,0.0013424747278723004,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.0004253961203262541,0.0005300180068651183,0.0006406011504163509,0.0006700423717178605,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.0011023423476709826,0.0018845258123549682,0.0036056364870737734,0.0038502422804512215,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.0005693573643053828,0.0014486256712377811,0.004624322186615185,0.005115064249928747,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,0.0031438616913753424,0.01261062486032032,0.020997623093188547,0.02415304577116406,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,0.00427812598702752,0.017259154788956284,0.032802634784092226,0.039043893386415895,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.00038423835076052774,0.0010600124728281897,0.002090464330017965,0.0022104781973033283,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.0004495477639717597,0.0005840771681280588,0.002417500994070986,0.0027444013667840966,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.00011464304300338564,0.00029290438264155226,0.0009307727931883244,0.0010298343373625514,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.0001647719836501563,0.00039005506332169087,0.0011311900132958959,0.0011900871248438326,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.0006591606285075302,0.0011124117041929448,0.001319556589834582,0.001465520918282337,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.002808195955624345,0.0037055717423592986,0.004098329637556146,0.004234750923876152,,,
terminal_payoff_boundary,terminal,price,181,181,1.0,0.10729837260408126,,,,,,0.07047674761922239,0.0640236903091206,0.10605899051846292
lower_spot_boundary,lower_spot,price,181,181,1.0,0.2901844009898006,,,,,,0.28356980491353223,0.2835284753247154,0.2900742579204282
