tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.824920837236981,-0.8249208671453765,-2.9908395537958654e-08,2.621014799347905,2.621014843056937,4.3709031949390464e-08,0.02927826590753968,0.029278789148843545,5.2324130386458e-07,0.03481927204465607,0.03481927155835901,-4.862970581775983e-10,-0.08498265104683878,-0.08498264666617365,4.380665122316607e-09
0.537,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.7780327835726214,-0.7780328090714586,-2.549883715285972e-08,2.711716623243678,2.7117166887618436,6.55181655595527e-08,0.0868497910896937,0.08685029324125315,5.021515594449966e-07,0.019311200736144007,0.019311200228760803,-5.073832048951843e-10,-0.12254552611765113,-0.12254552151285074,4.60480038821931e-09
0.57025,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.7643883288700748,-0.7643883531383879,-2.4268313136843744e-08,2.714276154340729,2.714276226129199,7.178846983535436e-08,0.10257627635276712,0.10257676533969105,4.889869239382838e-07,0.01539183834678437,0.015391837855020988,-4.917633817519418e-10,-0.13318042541843322,-0.13318042071435793,4.704075295958177e-09
0.7919166666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.6809787458960868,-0.6809787632610387,-1.7364951920839644e-08,2.546823147692124,2.546823207207629,5.951550496874347e-08,0.1843956215852316,0.1843959914512549,3.698660233086848e-07,-0.003061022766509547,-0.003061023117193879,-3.506843322675923e-10,-0.19525306146503385,-0.19525305556396547,5.90106838394e-09
1.0468333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.6023431459254575,-0.6023431580422031,-1.211674560686049e-08,2.1940156615216257,2.1940156567570197,-4.764606043039521e-09,0.23281627142490713,0.23281652060392305,2.491790159209195e-07,-0.011674499457436927,-0.011674499669533534,-2.1209660763799043e-10,-0.2493982654550031,-0.24939825697108262,8.483920482804663e-09
1.1133333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.5845348816353388,-0.5845348927526862,-1.1117347376021769e-08,2.10187296303759,2.1018730086543305,4.561674060710175e-08,0.23937658995415445,0.2393768170320641,2.2707790964249241e-07,-0.012357100455107073,-0.012357100637206082,-1.82099009482517e-10,-0.2611302819599537,-0.26113027261265737,9.347296325845633e-09
1.3793333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.5221414867358914,-0.5221414948833505,-8.14745904076375e-09,1.7795354041306823,1.7795354644926582,6.036197586212211e-08,0.2501489787488931,0.2501491527468191,1.7399792601180408e-07,-0.011009146734936026,-0.011009146812105318,-7.716929179002463e-11,-0.3009655187311,-0.30096550536635114,1.3364748863153864e-08
1.5455833333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.4889191568376722,-0.4889191637019294,-6.864257218186509e-09,1.6202531351451435,1.620253146227573,1.108242964065198e-08,0.2494105913103395,0.24941075157096476,1.6026062527041418e-07,-0.008212343009100787,-0.008212343039466972,-3.0366185260755074e-11,-0.3215698439722192,-0.32156982777507687,1.6197142349572147e-08
1.56775,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.4847641826588936,-0.48476418937383114,-6.714937550444944e-09,1.6012362517193055,1.6012362179298008,-3.378950474974829e-08,0.24907844611996022,0.24907860517424296,1.590542827445418e-07,-0.0077863298873770415,-0.007786329911641302,-2.4264260739537136e-11,-0.3241287622920974,-0.32412874570384287,1.658825454775581e-08
1.63425,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.47264928699011777,-0.47264929328826205,-6.298144283878315e-09,1.5469676398248766,1.546967679494299,3.9669422413624034e-08,0.2478608390027448,0.24786099498786876,1.559851239563148e-07,-0.006471364925042522,-0.00647136493385933,-8.816808394485065e-12,-0.3315768443575007,-0.3315768265834547,1.777404595726395e-08
