check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,1264,0.03858246085284332,0.01116100413547882,,,,,,,,
nonnegative_price,short_maturity,price,905,390,0.430939226519337,0.01116100413547882,,,,,,,,
nonnegative_price,atm,price,4887,232,0.047472887251892776,0.01116100413547882,,,,,,,,
nonnegative_price,hard,price,135,129,0.9555555555555556,0.01116100413547882,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,1535,0.046854491621134885,0.35603428537083615,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,371,0.40994475138121544,0.35603428537083615,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,64,0.01309596889707387,0.35603428537083615,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,60,0.4444444444444444,0.35603428537083615,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,19,0.0005799578767436891,0.013083251477976338,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,19,0.020994475138121547,0.013083251477976338,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,1234,0.03766673788956381,17.713524745640065,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,372,0.41104972375690607,17.713524745640065,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,11,0.0022508696541845715,17.713524745640065,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,11,0.08148148148148149,17.713524745640065,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0005512570726176846,0.0012398915717762057,0.0020264934490033253,0.0022512871917405586,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.00025859385105554407,0.00035503611789239613,0.0011259099056556779,0.005646425678757033,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.003457703830540077,0.007297513616777724,0.01270001034211177,0.08388561728941522,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.002111132305374359,0.0043763686027405106,0.018575300946502157,0.24331288560077963,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,0.026521084505426503,0.0511873565050758,0.18634070051721022,12.217961863189114,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,0.04310519542437692,0.039420672075156746,0.49042639860997617,22.596567957169555,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.002067595495757152,0.004059851963541854,0.0052606946308572195,0.016718823519637646,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.002007930358161894,0.005247874004256827,0.010119407582128209,0.1202049231100658,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.0005170329822415955,0.0008927463226191773,0.004222250824085594,0.11855300187250095,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.002708525229982529,0.0012857814855957701,0.032242349864944043,0.7992292899483482,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.0006242999129609448,0.001038542353764152,0.0011229191525485946,0.00596983567931288,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.0018358874237653614,0.0034841269861467586,0.004499048161771877,0.009875631967739738,,,
terminal_payoff_boundary,terminal,price,181,136,0.7513812154696132,0.055038318510027606,,,,,,0.03341586119222994,0.023516255886688417,0.05476701537596218
lower_spot_boundary,lower_spot,price,181,181,1.0,0.22045053804643477,,,,,,0.14062498014912578,0.13154081458070285,0.21869284991631038
