tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,1.9851960691141812,1.9851960722009037,3.086722433209843e-09,0.8183935307215506,0.8183936487731507,1.1805160005096127e-07,-0.4448601930207019,-0.44486019276384653,2.5685537030639694e-10,1.0593678264569917,1.05936782530667,-1.150321615739358e-09,0.5380996919246428,0.538099691834766,-8.98767726909e-11
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,1.8567901758892447,1.85679017877223,2.8829854059608806e-09,0.7848395711107514,0.7848395823203556,1.1209604133810558e-08,-0.407433949805025,-0.40743394954968076,2.5534424574757963e-10,0.9633466768921295,0.9633466758241093,-1.068020227812383e-09,0.5149311615593177,0.5149311614910114,-6.83063605677603e-11
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,1.8204778917052522,1.8204778945185889,2.813336674734046e-09,0.7743402363757923,0.7743401318731388,-1.0450265353068033e-07,-0.3968016882893721,-0.3968016880449253,2.444467961382202e-10,0.9361044398392693,0.9361044387787449,-1.0605243350170213e-09,0.5082529572142391,0.5082529571319139,-8.232525772200461e-11
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,1.602360403918368,1.6023604063939152,2.4755471006443486e-09,0.7016009107019272,0.7016012712151963,3.605132691264501e-07,-0.33240678360968445,-0.3324067833770444,2.3264007387169272e-10,0.7716041152416864,0.7716041143155274,-9.261589273279469e-10,0.46673974868127743,0.46673974863002116,-5.1256277000533146e-11
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,1.3968682598708426,1.396868262021256,2.150413402901563e-09,0.6170903787960924,0.617089930937378,-4.478587144474133e-07,-0.2707868431883753,-0.2707868429938268,1.945484884302573e-10,0.6154192792173774,0.6154192784514991,-7.658782497088623e-10,0.4248599474365733,0.42485994739184796,-4.472533454702443e-11
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,1.35013563962616,1.3501356417261663,2.100006391003717e-09,0.5955527626611001,0.5955524214446912,-3.412164089056091e-07,-0.256634089117469,-0.2566340889213223,1.9614670998535644e-10,0.5797976293386853,0.5797976286214868,-7.17198522792728e-10,0.41485624897141804,0.4148562489051624,-6.625566761897517e-11
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,1.18721622615503,1.1872162279973544,1.842324293122033e-09,0.513158049386675,0.51315854786659,4.984799150120622e-07,-0.206903400084002,-0.20690339992722612,1.5677587006379667e-10,0.45567021293990706,0.45567021233982447,-6.000825947261035e-10,0.37820489278139746,0.37820489272769636,-5.37010991230602e-11
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,1.1022166712848502,1.102216672996956,1.7121057904745385e-09,0.4652903839996725,0.4652908062620755,4.2226240298814943e-07,-0.18074832182968237,-0.18074832168547275,1.4420961647054753e-10,0.39121326144808677,0.39121326093304937,-5.150374016160697e-10,0.357751729698208,0.35775172964139085,-5.681716208627563e-11
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,1.0917329389936725,1.091732940686071,1.6923984436090223e-09,0.45913548518683456,0.4591354712193994,-1.3967435152917318e-08,-0.17751496004692058,-0.17751495987181543,1.7510515259999693e-10,0.38329320772412245,0.38329320721408006,-5.100423972059787e-10,0.35515367237337614,0.3551536723236217,-4.9754422803971465e-11
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,1.061390033552101,1.0613900351900696,1.6379686496037493e-09,0.4409944409644595,0.4409942571673161,-1.837971433937824e-07,-0.1681499879957471,-0.1681499878508128,1.4493428679429599e-10,0.3604201660589723,0.3604201655782656,-4.80706696670552e-10,0.3475318132739602,0.34753181323531696,-3.864325526237167e-11
