check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,29698,0.9065046854491621,1.6756901895574225,,,,,,,,
nonnegative_price,short_maturity,price,905,240,0.26519337016574585,0.3053605491504258,,,,,,,,
nonnegative_price,atm,price,4887,4459,0.9124207080008185,1.5137191313458613,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,32761,1.0,2.774228592693945,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,905,1.0,2.774228592693945,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,4887,1.0,2.7338265301841846,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,135,1.0,2.7338265301841846,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0036254922719989,0.005354672110352965,0.006006752559440276,0.006164722375817888,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.009888601204685859,0.017310743309288414,0.021752959639082026,0.023821153986784083,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.0008815117551315954,0.0014212578389130482,0.0018383743446983391,0.0020016459219802663,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.009644605259486044,0.015953511321974694,0.01796900469783753,0.01840214085379488,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,0.002409276855938964,0.003873152019618526,0.005024947323151722,0.005635865145705021,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,0.0019879892222969906,0.0031368625391929583,0.004674256439385055,0.006327498718322611,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.0009548428910542385,0.0014838909092554256,0.0016558199284173868,0.0016935670843993833,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.0033439820362304185,0.005510021858314507,0.006607122762345483,0.007048622253859271,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.0019354788317301834,0.0032066112893855084,0.0036153040554930335,0.003703496326559641,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.00838114121053343,0.014048969561610437,0.01671228385179197,0.017750051723597338,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.0007363851221519135,0.0010236675905028636,0.0011528466684269767,0.001207899590260575,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.002180437127569439,0.0031733354387029405,0.0036325476129100637,0.003797006234864675,,,
terminal_payoff_boundary,terminal,price,181,181,1.0,0.8543138745099892,,,,,,0.4533198614333477,0.3850793502438738,0.8431866818135343
lower_spot_boundary,lower_spot,price,181,181,1.0,2.6450888022307306,,,,,,2.498397799857376,2.4965498529957615,2.642738150490643
