check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,29698,0.9065046854491621,1.6756901664953512,,,,,,,,
nonnegative_price,short_maturity,price,905,240,0.26519337016574585,0.30536049193548903,,,,,,,,
nonnegative_price,atm,price,4887,4459,0.9124207080008185,1.5137191048195549,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,32761,1.0,2.774228650228017,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,905,1.0,2.774228650228017,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,4887,1.0,2.7338265892088502,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,135,1.0,2.7338265892088502,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0036254923521312665,0.00535467223099726,0.0060067526865098305,0.0061647225037049225,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.009888601443862402,0.01731074363913958,0.02175296003728824,0.023821154415083257,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.0008815117618860281,0.001421257855076341,0.0018383743670609396,0.002001645947860453,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.009644605471741133,0.015953511647898426,0.017969005044394505,0.018402141202644273,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,0.002409276906178186,0.0038731521281819064,0.005024947481574802,0.0056358653340550235,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,0.001987989257048619,0.0031368625885684507,0.004674256734758619,0.006327499069733719,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.0009548429316097237,0.0014838909674455894,0.0016558199890971425,0.0016935671484679116,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.0033439821116702257,0.005510021974823665,0.006607122905750756,0.007048622403789673,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.0019354788742903459,0.0032066113486632465,0.003615304123346343,0.003703496396665118,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.008381141327846734,0.014048969712361803,0.016712284056058093,0.017750051920329746,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.0007363851644398303,0.001023667649365434,0.001152846734085473,0.0012078996629186767,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.002180437233633196,0.0031733355908727394,0.003632547778762246,0.003797006403480019,,,
terminal_payoff_boundary,terminal,price,181,181,1.0,0.8543139566056155,,,,,,0.4533199066181931,0.385079383594506,0.8431867636784541
lower_spot_boundary,lower_spot,price,181,181,1.0,2.6450887613116616,,,,,,2.4983977620095823,2.4965498151799816,2.6427381096490477
