check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,20119,0.6141143432740148,0.34103630346895564,,,,,,,,
nonnegative_price,short_maturity,price,905,376,0.4154696132596685,0.34103630346895564,,,,,,,,
nonnegative_price,atm,price,4887,2318,0.4743196234908942,0.26382063349000007,,,,,,,,
nonnegative_price,hard,price,135,6,0.044444444444444446,0.26382063349000007,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,26820,0.8186563291718812,64.0806265763739,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,369,0.40773480662983425,64.0806265763739,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,3221,0.6590955596480458,64.0806265763739,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,71,0.5259259259259259,64.0806265763739,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,847,0.025853911663258143,27.976307549459676,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,427,0.4718232044198895,27.976307549459676,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,175,0.03580928995293636,27.976307549459676,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,61,0.45185185185185184,27.976307549459676,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,17219,0.5255944568236622,10929.71581084503,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,436,0.481767955801105,10929.71581084503,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,4054,0.829547779824023,10929.71581084503,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,75,0.5555555555555556,10929.71581084503,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0020984017384360018,0.004809656780673357,0.01619413476357813,0.14286752962129373,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.0037668049603204073,0.0056705156317946445,0.048956457746599,0.35270593491065616,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.04668560394338376,0.07744057529303995,0.5310368914639323,23.787061721442882,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.08295883923964845,0.09339106122925864,1.259761127321412,42.64184089148881,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,2.7884591998039125,1.7258418599859235,26.42853905118742,4942.827611225895,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,5.469187607327983,2.5375494571129558,63.64713563976005,8070.70770524036,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.06888694826415132,0.1289848790937014,0.31889359438531817,2.6074807369996185,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.07529794564177442,0.1149818935343657,1.3471620699025841,5.816657794685144,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.023839597185150035,0.019397434798702914,0.302566160754921,21.699517941430706,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.13043671051387312,0.023669746657592763,2.213272825040249,59.62833352147041,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.0015508164337264278,0.0027907440697390643,0.004680074851709572,0.018910336508525097,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.0013467351331633614,0.0023784948920299647,0.015897759200310172,0.10647861542248346,,,
terminal_payoff_boundary,terminal,price,181,181,1.0,0.847297054267276,,,,,,0.3326686716635502,0.3106195706975008,0.478418264241168
lower_spot_boundary,lower_spot,price,181,181,1.0,0.8440072736685147,,,,,,0.7739346418958891,0.7734312059538074,0.8380518960814133
