tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,38,-1.4519436347670833e-05,-1.4519436859512082e-05,-5.118412492482365e-13,0.0001379492986855468,0.00013789176379784893,-5.7534887697884745e-08,-0.00010261293120761295,-0.00010261268232685702,2.488807559293451e-10,4.072686632383693e-08,4.0725760553008905e-08,-1.1057708280249419e-12,-1.1275621825124205e-05,-1.1275621463224985e-05,3.618992194272643e-13
0.537,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,48,-4.455946028825153e-06,-4.455944550951041e-06,1.4778741119132765e-12,0.000224526729673824,0.00022447565341112793,-5.1076262696072086e-08,-9.708293224885978e-05,-9.708265441404845e-05,2.778348113233924e-10,-2.8438379429118754e-06,-2.843839572852954e-06,-1.629941078465949e-12,-1.3124508702055948e-05,-1.3124509742885592e-05,-1.0408296437453089e-12
0.57025,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,51,-1.2958335793289422e-06,-1.2958349807757282e-06,-1.401446786056796e-12,0.00024560864887029904,0.00024562605886020527,1.7409989906225047e-08,-9.491600561073454e-05,-9.491572641312656e-05,2.7919760798547806e-10,-3.556711036800664e-06,-3.556708966190467e-06,2.070610196703345e-12,-1.363285290212346e-05,-1.363285086828785e-05,2.033835610776996e-12
0.7919166666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,71,2.0727700458800236e-05,2.072770284736337e-05,2.388563136071064e-12,0.00036772515197777683,0.00036785104350963,1.258915318531873e-07,-7.592745987494709e-05,-7.592723400592054e-05,2.2586902655294047e-10,-7.221916398236772e-06,-7.221916634127406e-06,-2.358906340795214e-13,-1.6588614926149603e-05,-1.6588612770794526e-05,2.1553550773583535e-12
1.0468333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,94,4.772150209719772e-05,4.7721503002431495e-05,9.05233773682533e-13,0.0005182972692523157,0.0005182731251900801,-2.4144062235609276e-08,-4.537910630597608e-05,-4.537901382940579e-05,9.247657029249137e-11,-1.0119965976329581e-05,-1.011996333065268e-05,2.645676900622047e-12,-1.9284136509867267e-05,-1.9284136798290706e-05,-2.884234395913142e-13
1.1133333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,100,5.5029669362993694e-05,5.5029670063518984e-05,7.005252904450018e-13,0.0005623139874740001,0.0005622918621321349,-2.2125341865163357e-08,-3.602096620980433e-05,-3.6020913341658134e-05,5.286814619442394e-11,-1.0741539047121051e-05,-1.0741539148439243e-05,-1.0131819157526561e-13,-1.989381409606139e-05,-1.989381400444874e-05,9.161265089640061e-14
1.3793333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,124,8.514638057122159e-05,8.514637841230312e-05,-2.158918470428553e-12,0.0007542760977440054,0.0007542450205188935,-3.1077225111884876e-08,6.209727454464797e-06,6.209613632675483e-06,-1.138217893147022e-10,-1.285148404361891e-05,-1.2851487131132196e-05,-3.0875132857414176e-12,-2.203432353242718e-05,-2.2034325212079508e-05,-1.6796523278684618e-12
1.5455833333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,139,0.00010446990286738789,0.00010446990045342957,-2.4139583154657654e-12,0.0008814156028311148,0.0008814178745777239,2.2717466091875388e-09,3.5713488832911366e-05,3.5713267791449865e-05,-2.2104146150166842e-10,-1.3926622910442887e-05,-1.3926621376279656e-05,1.5341632315663684e-12,-2.3173638563633858e-05,-2.3173638225174546e-05,3.384593122532798e-13
1.56775,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,141,0.00010706278918970469,0.00010706278397998488,-5.209719808330071e-12,0.000898574843005706,0.0008984820255125941,-9.28174931118719e-08,3.9785117977864104e-05,3.978488465659406e-05,-2.3332127004646423e-10,-1.405800365006371e-05,-1.4058005081605096e-05,-1.4315413851345108e-12,-2.3315894492892397e-05,-2.3315894599669818e-05,-1.0677742056427325e-13
1.63425,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,147,0.00011485430315150147,0.00011485429923206578,-3.919435685294931e-12,0.0009496895500907264,0.0009495997055801352,-8.98445105912242e-08,5.2161236163694724e-05,5.216096014749221e-05,-2.7601620251546666e-10,-1.4436452311361592e-05,-1.443645285248696e-05,-5.411253686620193e-13,-2.3730265807930806e-05,-2.3730265746582856e-05,6.134795023870175e-14
1.6453333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,148,0.00011615418279986578,0.00011615417787413053,-4.925735248286975e-12,0.0009580220132823779,0.0009580963762592539,7.436297687595916e-08,5.424558302546956e-05,5.424529980234532e-05,-2.8322312423394343e-10,-1.4497294476001343e-05,-1.4497295062153295e-05,-5.86151951154361e-13,-2.3797583903473196e-05,-2.379758351893534e-05,3.845378571500687e-13
1.734,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,156,0.00012655664120841958,0.0001265566330318124,-8.176607177792783e-12,0.0010256575610524674,0.0010256395247419446,-1.80363105227975e-08,7.111215505339885e-05,7.111181509964173e-05,-3.3995375712061494e-10,-1.496195833894376e-05,-1.4961960242480451e-05,-1.9035366917430612e-12,-2.431921608536669e-05,-2.4319217822725154e-05,-1.7373584633385755e-12
1.90025,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,171,0.00014600438288936424,0.0001460043742670179,-8.622346326508934e-12,0.0011488254002614549,0.0011489001422465342,7.474198507936153e-08,0.0001034297278379448,0.00010342928355124005,-4.442867047432233e-10,-1.5733183367228065e-05,-1.5733184740028664e-05,-1.372800598919326e-12,-2.5223398369966787e-05,-2.522339769093425e-05,6.790325375279679e-13
1.9224166666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,173,0.00014858454674970822,0.00014858453698081035,-9.768897875957888e-12,0.0011648729732541272,0.0011648806660130668,7.692758939624803e-09,0.00010778486159157552,0.00010778440480582677,-4.567857487522203e-10,-1.5826668309237846e-05,-1.582666892339573e-05,-6.141578842982099e-13,-2.5337345554987678e-05,-2.5337345158797965e-05,3.9618971352326643e-13
1.9335,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,174,0.0001498730483467936,0.00014987303922086385,-9.125929748216369e-12,0.0011728813879320619,0.0011728240871669911,-5.730076507075646e-08,0.00010996516308647841,0.0001099646996258291,-4.634606493069196e-10,-1.587261405644469e-05,-1.587261471753743e-05,-6.610927422352232e-13,-2.539377347288152e-05,-2.5393774861636344e-05,-1.3887548236228304e-12
0.3264166666666667,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,210,-2.226990890865729e-05,-2.2269911416173482e-05,-2.5075161910780627e-12,2.9502651654935406e-05,2.948915078178628e-05,-1.3500873149126978e-08,-0.00010486952195520871,-0.00010486933592060455,1.8603460415764824e-10,3.457064912115726e-06,3.4570645805125356e-06,-3.3160319040897827e-13,-9.544502410641087e-06,-9.544501826970888e-06,5.836701988290146e-13
0.5148333333333334,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,227,-6.069224070683419e-06,-6.0692240331923846e-06,3.749103434522389e-14,0.0002084737039576989,0.00020842654718069913,-4.715677699975644e-08,-9.944388867921816e-05,-9.944361134214308e-05,2.7733707508531633e-10,-2.543356358852833e-06,-2.5433579539602553e-06,-1.5951074223749377e-12,-1.2994440523605988e-05,-1.2994440898153506e-05,-3.745475185833484e-13
0.5480833333333334,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,230,-2.895287887555119e-06,-2.895290699144563e-06,-2.8115894440136158e-12,0.00022961785901506304,0.00022952435818954242,-9.350082552062283e-08,-9.749631602051778e-05,-9.749603693129823e-05,2.790892195489057e-10,-3.300159867603014e-06,-3.3001599418424086e-06,-7.423939443745994e-14,-1.3522164776791357e-05,-1.3522166580794115e-05,-1.8040027581305278e-12
0.6589166666666667,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,240,7.988085262507904e-06,7.988085942050433e-06,6.795425292892461e-13,0.0002910253090303303,0.0002909597209527608,-6.558807756949043e-08,-8.962491776509651e-05,-8.962465337275731e-05,2.643923391988179e-10,-5.43470574099203e-06,-5.434705736834848e-06,4.157181800949587e-15,-1.5142134768275639e-05,-1.5142132984151828e-05,1.7841238113481183e-12
0.7808333333333334,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,251,2.0388721182288088e-05,2.0388722819464397e-05,1.6371763089640355e-12,0.00035407794283145685,0.0003540809586513673,3.015819910478796e-09,-7.874220442349866e-05,-7.874198524398217e-05,2.1917951649593967e-10,-7.299807147642667e-06,-7.2998073136757795e-06,-1.6603311217886331e-13,-1.671432409144913e-05,-1.6714324455823624e-05,-3.6437449533869605e-13
