check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,905,0,0.0,0.0,,,,,,,,
nonnegative_price,atm,price,4887,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,17693,0.5400628796434785,9.204092398946717,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,291,0.32154696132596683,9.204092398946717,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,3029,0.6198076529568243,9.204092398946717,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,6,0.044444444444444446,9.204092398946717,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,3353,0.10234730319587314,34.32984867499876,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,41,0.045303867403314914,34.32984867499876,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,71,0.014528340495191324,34.32984867499876,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,35,0.25925925925925924,34.32984867499876,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,12625,0.38536674704679347,16830.114585114286,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,654,0.7226519337016575,16830.114585114286,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,1266,0.2590546347452425,16830.114585114286,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,103,0.762962962962963,16830.114585114286,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0006794630561870823,0.002531921971428581,0.00813028244958856,0.04443950502420613,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.0004319726834016527,0.0013947416343053586,0.005724047560273109,0.09444819948068178,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.08049133843096522,0.19739776533490583,1.1853041329252,44.53394109394547,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.05441757655053505,0.10028166848078575,0.8092005925308092,24.86402960656411,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,21.714542337830537,21.099269156592474,275.8240245551521,31007.688912505204,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,17.590026972076366,10.574662390050069,189.26643203477101,22543.457496520146,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.08608635818173618,0.32766453038663157,1.1007421854668162,4.508055484620693,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.05009041779596218,0.1607303946372843,0.6663727627111129,5.149520101308526,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.013719044686656922,0.020023929649751134,0.16272781530257602,38.38979022491559,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.010769173380954887,0.01032743390963501,0.11686220173470302,29.051358466097682,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.0014795700717052298,0.005730458370532589,0.01811392562332134,0.0753707240806121,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.000852192354750019,0.002762876575307368,0.011311644450650185,0.08959123405052338,,,
terminal_payoff_boundary,terminal,price,181,181,1.0,0.35950280873184776,,,,,,0.24719400539512937,0.24308985813503217,0.35632349854605994
lower_spot_boundary,lower_spot,price,181,181,1.0,0.5896245464870844,,,,,,0.5797439660374707,0.5797156141385398,0.5894250065030145
