tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,38,0.00050623338680722,0.0005062325555624754,-8.31244744586325e-10,0.01889418378914556,0.018894218719476472,3.493033091245268e-08,0.0005161028199252016,0.0005161065564628914,3.736537689826534e-09,-0.0001113728081980625,-0.00011137280574405843,2.454004068095511e-12,1.3521279373929218e-05,1.3521277799094578e-05,-1.5748346400004058e-12
0.537,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,48,0.0009759903871198183,0.0009759890049572328,-1.3821625855555547e-09,0.033609720577823514,0.033609755586753616,3.500893010210948e-08,0.0009117895657939634,0.0009117969564534078,7.3906594443571075e-09,-0.0001658780748869937,-0.00016587807662994675,-1.7429530583569497e-12,2.5204037468196105e-05,2.5204037903010586e-05,4.348144802925665e-13
0.57025,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,51,0.0011454444837077915,0.0011454429223372023,-1.5613705892439378e-09,0.038609133709566194,0.03860908640915248,-4.730041371775462e-08,0.001024273233452,0.0010242820330207281,8.799568728193319e-09,-0.00018196729095754094,-0.00018196729352303859,-2.565497646137352e-12,2.989880037995718e-05,2.989879834092748e-05,-2.0390297015128542e-12
0.7919166666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,71,0.002402189261396792,0.002402187460456716,-1.8009400763220607e-09,0.06574954159940803,0.06574961146999361,6.987058558116654e-08,0.0008916267998926308,0.0008916514696531491,2.4669760518257478e-08,-0.0002424729902972267,-0.00024247300289881974,-1.2601593054641091e-11,8.005331314508979e-05,8.005331166988158e-05,-1.4752082070019004e-12
1.0468333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,94,0.0005218477833884849,0.0005218692989343556,2.151554587064789e-08,-0.16644792481335446,-0.1664468659369852,1.05887636925317e-06,-0.009872089772045012,-0.009872014053074201,7.57189708103928e-08,0.00031286621654524893,0.0003128661224369218,-9.410832714235734e-11,0.00016143974823634721,0.00016143974715767648,-1.0786707356318093e-12
1.1133333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.002957825608745912,-0.0029577792828222307,4.6325923681346526e-08,-0.44517830746510634,-0.44517629111254425,2.0163525620842115e-06,-0.019404076263274117,-0.019403981606483715,9.465679040240871e-08,0.000877115405306661,0.0008771152444908856,-1.608157754098144e-10,0.0001563672732962651,0.00015636727324679786,-4.946723911568307e-14
1.3793333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.08320621706740805,-0.0832057611839445,4.558834635487452e-07,-5.977797262210569,-5.977783893054358,1.3369156210529809e-05,-0.17924508372485493,-0.17924544246711335,-3.5874225842724705e-07,0.011098010799515112,0.011098009841045961,-9.584691512687371e-10,-0.0009915612930733175,-0.0009915612949917114,-1.9183938292088865e-12
1.5455833333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.28976480537547256,-0.2897642701396732,5.352357993482215e-07,-15.609099165768672,-15.609127186663535,-2.8020894863090007e-05,-0.545658390218029,-0.5456627184779852,-4.328259956221103e-06,0.03501305099601337,0.035013050166732174,-8.292811992660631e-10,-0.004835185397067399,-0.004835185410453009,-1.3385610328486841e-11
1.56775,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.3300482351437789,-0.33004789031432563,3.448294532693019e-07,-16.415893414734644,-16.415941976421987,-4.856168734335142e-05,-0.6164449347248468,-0.6164504406473887,-5.505922541892971e-06,0.039570685294032515,0.03957068487236164,-4.2167087183075935e-10,-0.00559921423726184,-0.005599214256177552,-1.891571187878638e-11
1.63425,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.45082593805173543,-0.4508269148005106,-9.767487751943804e-07,-14.393355232922634,-14.393499157938809,-0.00014392501617521702,-0.8349262222567821,-0.8349363131139501,-1.0090857167965872e-05,0.05318400258941258,0.05318400468668386,2.09727128025472e-09,-0.007746820191445458,-0.007746820263777076,-7.23316181255873e-11
