check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,905,0,0.0,0.0,,,,,,,,
nonnegative_price,atm,price,4887,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,8667,0.2645523640914502,5.2532036987763675,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,143,0.1580110497237569,5.2532036987763675,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,3212,0.6572539390218948,5.2532036987763675,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,42,0.3111111111111111,5.2532036987763675,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,229,0.0069900186197002535,3.4093907959684664,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,151,0.16685082872928178,3.4093907959684664,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,23,0.004706363822385922,3.4093907959684664,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,23,0.17037037037037037,3.4093907959684664,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,19623,0.598974390281127,1080.3098489588292,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,417,0.4607734806629834,1080.3098489588292,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,2674,0.5471659504808676,1080.3098489588292,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,85,0.6296296296296297,1080.3098489588292,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0004268062052040969,0.0009154680957504159,0.002085485137714394,0.010913534335157182,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.0006735894385075849,0.0007658826799147593,0.010610239953125617,0.05282877451143131,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.01055892230749093,0.019170169365694746,0.09945979357238267,2.6253063313052474,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.016521538880568214,0.017291892549348133,0.30170262273167575,4.50459824010659,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,0.8295474293075705,0.8609304093448464,9.125449615987666,1027.7064482340124,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,1.4505543480777698,0.7677658308040639,21.702760533485307,1360.6526075296313,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.009996689180345792,0.020820204129258817,0.0609009006101888,0.3900684278209065,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.01802071309934445,0.03200000315914296,0.37039558401853,1.591342174174837,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.005720022582516195,0.003562827995489693,0.07911254859013973,3.109129486118932,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.0307675610820964,0.00714725367690747,0.5190998017370897,12.26489249609466,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.00036109575577008884,0.0010377966014910502,0.0028541757592693566,0.013882531496786636,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.0010968190843529911,0.0019189261148962243,0.018566661001601887,0.10135694493211177,,,
terminal_payoff_boundary,terminal,price,181,181,1.0,0.2501128351973021,,,,,,0.10661579586364797,0.0996762064479347,0.17812075156822
lower_spot_boundary,lower_spot,price,181,181,1.0,0.023450007526374494,,,,,,0.018990791141775813,0.01864882412903886,0.023446132920584017
