check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,22678,0.692225512041757,0.6745935555885351,,,,,,,,
nonnegative_price,short_maturity,price,905,503,0.5558011049723757,0.6745935555885351,,,,,,,,
nonnegative_price,atm,price,4887,4869,0.996316758747698,0.272210060816168,,,,,,,,
nonnegative_price,hard,price,135,117,0.8666666666666667,0.17754062004601584,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,32705,0.9982906504685449,10.67138401789369,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,849,0.938121546961326,10.67138401789369,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,4887,1.0,10.67138401789369,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,135,1.0,10.67138401789369,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,1457,0.04447361191660816,284.3608529401434,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,451,0.4983425414364641,284.3608529401434,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,24,0.004910988336402701,284.3608529401434,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,24,0.17777777777777778,284.3608529401434,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.005169374888884684,0.006545863157192383,0.009692478612292273,0.025935148630630567,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.0022653370605737583,0.0030912558315489085,0.037128406048499235,0.21110438934126174,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.008912681448355471,0.01189512682471917,0.07312985560818798,0.9982506172564181,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.025230935205421655,0.01974173527599601,0.5014099913944098,5.3704417613534385,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,0.14827611026063886,0.14729964369231754,1.9324533635530927,107.44822451544096,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,0.6726822032653667,0.25049138229784507,11.208722402858813,314.25037038481895,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.012084413227693542,0.028393970338362245,0.08154611524806613,0.3429491754632592,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.026640834233437702,0.03493159830319104,0.5399179656249936,2.7545116718174323,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.007904869841527953,0.004100580510795846,0.12965740097737682,2.7711892065879233,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.08647778697340056,0.018468601993265856,1.4307088077265744,29.01727703108887,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.00015645208881209877,0.00038376325417676684,0.0018841454354490042,0.0056996893537824556,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.0009901807271053508,0.0005177076565143102,0.018570143078963177,0.07338613582864395,,,
terminal_payoff_boundary,terminal,price,181,181,1.0,0.6497992800034823,,,,,,0.582400209158743,0.5803121337010142,0.6474946124838932
lower_spot_boundary,lower_spot,price,181,181,1.0,3.1283037330291608,,,,,,3.0656371326879306,3.0655462307036876,3.121897173350035
