epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk
1,adam,0.001,27272.009014844894,810.6867598891258,0.0,0.0,0.0,0.0,11.443404563702643,13.689907483756542,0.0,0.0,26436.18804001808,0.0,2263.593994140625,384.39251708984375,0.0,0.0,0.0,0.0,9.963412284851074,17.614316940307617,0.0,0.0,1851.6236572265625,0.0
2,adam,0.001,3489.843608856201,130.77971303462982,0.0,0.0,0.0,0.0,5.005003593862057,15.831729292869568,0.0,0.0,3338.2272384166718,0.0,657.1912231445312,91.29817199707031,0.0,0.0,0.0,0.0,1.5645322799682617,14.179149627685547,0.0,0.0,550.1493530273438,0.0
3,adam,0.001,1013.7710305452347,11.523224726319313,0.0,0.0,0.0,0.0,0.4896537074819207,12.57700628042221,0.0,0.0,989.1811645627022,0.0,163.70555114746094,8.229104995727539,0.0,0.0,0.0,0.0,0.08454159647226334,11.155731201171875,0.0,0.0,144.23617553710938,0.0
4,adam,0.001,316.800031542778,102.17078223451972,0.0,0.0,0.0,0.0,0.23757821880280972,10.26954436302185,0.0,0.0,204.12212842702866,0.0,34336.45703125,1.5973318815231323,0.0,0.0,0.0,0.0,0.34839576482772827,9.280285835266113,0.0,0.0,34325.23046875,0.0
5,adam,0.001,347.462907910347,95.23540825396776,0.0,0.0,0.0,0.0,0.17993902089074254,9.572695970535278,0.0,0.0,242.47486746311188,0.0,222.14817810058594,7.909102439880371,0.0,0.0,0.0,0.0,0.09349793195724487,12.10556697845459,0.0,0.0,202.04000854492188,0.0
6,adam,0.001,405.03892493247986,5.366161838173866,0.0,0.0,0.0,0.0,0.1306352005340159,12.58783882856369,0.0,0.0,386.95427989959717,0.0,202.75022888183594,4.9347076416015625,0.0,0.0,0.0,0.0,0.17843277752399445,12.558771133422852,0.0,0.0,185.0783233642578,0.0
7,adam,0.001,274.3032691478729,11.668391212821007,0.0,0.0,0.0,0.0,0.2695318078622222,12.125577807426453,0.0,0.0,250.2397689819336,0.0,144.52027893066406,8.077442169189453,0.0,0.0,0.0,0.0,0.37730544805526733,11.383872032165527,0.0,0.0,124.6816635131836,0.0
8,adam,0.001,161.034890294075,21.21995847672224,0.0,0.0,0.0,0.0,0.5713995415717363,10.46381950378418,0.0,0.0,128.7797133922577,0.0,84.5331802368164,14.061572074890137,0.0,0.0,0.0,0.0,0.681969940662384,9.42109489440918,0.0,0.0,60.3685417175293,0.0
9,adam,0.001,198360.55442094803,447.8754817545414,0.0,0.0,0.0,0.0,39.083914801478386,8.016417682170868,0.0,0.0,197865.57234984636,0.0,8533.7685546875,952.2388305664062,0.0,0.0,0.0,0.0,117.4422378540039,0.15060840547084808,0.0,0.0,7463.93701171875,0.0
10,adam,0.001,29792.369079589844,1272.4492778778076,0.0,0.0,0.0,0.0,130.50956630706787,1.9725176091305912,0.0,0.0,28387.437719345093,0.0,6136.7373046875,915.1318359375,0.0,0.0,0.0,0.0,136.37759399414062,4.250580787658691,0.0,0.0,5080.9775390625,0.0
11,adam,0.001,26508.768035888672,1096.712791442871,0.0,0.0,0.0,0.0,136.52791690826416,5.09825524687767,0.0,0.0,25270.42907333374,0.0,5741.5703125,919.851318359375,0.0,0.0,0.0,0.0,136.8234405517578,5.678215026855469,0.0,0.0,4679.21728515625,0.0
12,adam,0.001,24917.394439697266,1031.7162132263184,0.0,0.0,0.0,0.0,136.3615550994873,5.828701764345169,0.0,0.0,23743.4874420166,0.0,5603.25244140625,918.42138671875,0.0,0.0,0.0,0.0,136.2779998779297,5.969252109527588,0.0,0.0,4542.583984375,0.0
13,adam,0.001,24523.82554626465,1030.7261657714844,0.0,0.0,0.0,0.0,135.7700080871582,6.036686092615128,0.0,0.0,23351.29266357422,0.0,5480.4072265625,913.934326171875,0.0,0.0,0.0,0.0,135.56973266601562,6.140147686004639,0.0,0.0,4424.76318359375,0.0
14,adam,0.001,24054.061866760254,1011.5642127990723,0.0,0.0,0.0,0.0,135.08293628692627,6.125138938426971,0.0,0.0,22901.289569854736,0.0,5393.54248046875,909.7628784179688,0.0,0.0,0.0,0.0,134.85340881347656,6.16452693939209,0.0,0.0,4342.76171875,0.0
15,adam,0.001,23631.661094665527,1025.8933296203613,0.0,0.0,0.0,0.0,134.22607803344727,6.2234795689582825,0.0,0.0,22465.318632125854,0.0,5264.05224609375,903.4837646484375,0.0,0.0,0.0,0.0,133.8907928466797,6.298516750335693,0.0,0.0,4220.37939453125,0.0
16,adam,0.001,26197.457206726074,1036.0559921264648,0.0,0.0,0.0,0.0,133.35584831237793,6.3170532286167145,0.0,0.0,25021.728534698486,0.0,5162.65869140625,898.2478637695312,0.0,0.0,0.0,0.0,133.0709991455078,6.372880935668945,0.0,0.0,4124.966796875,0.0
17,adam,0.001,22678.178703308105,1045.978078842163,0.0,0.0,0.0,0.0,132.44903755187988,6.36273068189621,0.0,0.0,21493.388511657715,0.0,5059.19921875,892.2627563476562,0.0,0.0,0.0,0.0,132.03672790527344,6.392890930175781,0.0,0.0,4028.506591796875,0.0
