tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.01166637857846764,-0.011666366969142666,1.1609324973571589e-08,-0.327714536558013,-0.327714329827066,2.0673094702772232e-07,-0.020843997521335922,-0.020844034085105337,-3.656376941496564e-08,0.002705463800489749,0.0027054637850323867,-1.5457362386589457e-11,-4.941033721062027e-05,-4.9410335401491136e-05,1.8091291336644506e-12
0.537,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.02030805658879975,-0.020308037924508453,1.8664291296516256e-08,-0.5414645433865668,-0.5414642871816306,2.5620493615541307e-07,-0.03710502397613613,-0.0371050895607982,-6.558466206924018e-08,0.0038592875814535965,0.0038592875616652025,-1.9788394013675603e-11,-7.115741607055526e-05,-7.115741518946482e-05,8.810904344449741e-13
0.57025,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.023421854588451252,-0.023421833483829157,2.110462209506392e-08,-0.6172158012194076,-0.6172154987767159,3.0244269166868065e-07,-0.04292901194413723,-0.0429290887356541,-7.679151686756924e-08,0.004232686502403382,0.004232686479977715,-2.2425667225989265e-11,-8.0090619136719e-05,-8.009061858621793e-05,5.505010645468281e-13
0.7919166666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.050781935348812035,-0.05078189730900787,3.8039804167722124e-08,-1.2377974065547017,-1.2377968592930118,5.472616899648841e-07,-0.09314615774858037,-0.09314636329389057,-2.0554531020289257e-07,0.00703109361593901,0.007031093612578628,-3.3603822849337384e-12,-0.00016442558620211045,-0.0001644255845442779,1.6578325626355472e-12
1.0468333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.09116774839640351,-0.09116772348076362,2.491563989848178e-08,-1.732248743694861,-1.7322492453350995,-5.016402384594443e-07,-0.1618869001959733,-0.1618874688397608,-5.686437875018768e-07,0.009905658482356472,0.009905658616971433,1.3461496153888142e-10,-0.0002516844899158599,-0.00025168448849854664,1.4173132611115802e-12
1.1133333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.09955909012239472,-0.09955908757515103,2.5472436937512555e-09,-1.599288462098957,-1.5992898414093561,-1.3793103992298938e-06,-0.17358206042317192,-0.17358277079343243,-7.103702605038009e-07,0.010077635484162517,0.010077635695161322,2.1099880523345327e-10,-0.000240550719066146,-0.0002405507204303929,-1.3642469044641142e-12
1.3793333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.07097252451050695,-0.07097278468545012,-2.6017494317298606e-07,2.377314540693859,2.3773072019416643,-7.338752194829823e-06,-0.0842848243001737,-0.0842858443699218,-1.0200697481005383e-06,0.002116589516987233,0.0021165902889311804,7.719439475660506e-10,0.0003728391170798595,0.0003728391153490592,-1.7308002904156683e-12
1.5455833333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,139,0.07094758857420502,0.07094703091807106,-5.576561339648567e-07,9.7110024269249,9.710993744371226,-8.68255367336701e-06,0.22966120712258897,0.22966162433958467,4.172169957017413e-07,-0.017820325630690803,-0.017820324415495876,1.2151949273231377e-09,0.001820689018994237,0.001820689011944784,-7.049453035201658e-12
1.56775,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,141,0.10198940030292647,0.10198880620774224,-5.940951842281494e-07,11.008578982368842,11.00857091513672,-8.067232121433676e-06,0.2961499532053158,0.2961508024980252,8.492927094372327e-07,-0.021853044697706103,-0.021853043435508358,1.2621977456273026e-09,0.002116859035838914,0.0021168590305999085,-5.2390054100515115e-12
1.63425,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,147,0.21560274234208587,0.21560206765867024,-6.746834156357018e-07,15.205566530182045,15.205562036052386,-4.4941296586387125e-06,0.5367151477628229,0.5367177967460759,2.648983252973025e-06,-0.036216759252138964,-0.036216757924581656,1.3275573071402924e-09,0.0031801233099648663,0.003180123306134568,-3.830298057894144e-12
