check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,905,0,0.0,0.0,,,,,,,,
nonnegative_price,atm,price,4887,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,53,0.001617777235127133,0.023638947962773466,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,53,0.05856353591160221,0.023638947962773466,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,23,0.004706363822385922,0.023638947962773466,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,23,0.17037037037037037,0.023638947962773466,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,6088,0.1858307133481884,11.399107020647037,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,326,0.3602209944751381,11.399107020647037,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,1278,0.26151012891344383,4.390133089437225,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,73,0.5407407407407407,4.390133089437225,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.00013414625598911188,0.0003340988812486901,0.0006618329548372115,0.0011733179883383071,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.000274975753499748,0.00046128285775448634,0.00121902808011767,0.026096960461101992,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.0009738086973605677,0.0026070791660831208,0.004428924654845527,0.025291946622341924,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.0019274555409480327,0.002474536906761843,0.026642843368985168,0.305889288835691,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,0.013298232774387228,0.01847776867343458,0.11280703436190806,1.8170158891379886,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,0.048838812939986466,0.010156271500408334,0.8869732730994903,11.78931771433519,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.0011566422681227155,0.003589484000918835,0.008035121643480433,0.028889204241017596,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.002169339828048966,0.0017675546750569148,0.0420993154524294,0.37297455951348,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.0007296035015404281,0.0004991288678305346,0.008678372480004179,0.21715709319377785,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.008732858053030356,0.0006758949519491998,0.09072514798494366,4.004981477083555,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.00017497573346070183,0.0004796040278545782,0.0007018055794906597,0.0023355841187141582,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.000316373571660379,0.0005765853903321018,0.0018763609402444002,0.049418791559668857,,,
terminal_payoff_boundary,terminal,price,181,181,1.0,0.2065481118763175,,,,,,0.15516479557578783,0.1501836184319759,0.20500034401370196
lower_spot_boundary,lower_spot,price,181,181,1.0,0.06114734704302105,,,,,,0.05855339880961678,0.05850396697696488,0.061145965272419375
