check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,10551,0.3220597661854034,0.8408459446860911,,,,,,,,
nonnegative_price,short_maturity,price,905,461,0.5093922651933702,0.8408459446860911,,,,,,,,
nonnegative_price,atm,price,4887,769,0.1573562512789032,0.7177436680965755,,,,,,,,
nonnegative_price,hard,price,135,76,0.562962962962963,0.7177436680965755,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,5264,0.1606788559567779,0.09893343025683274,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,394,0.4353591160220994,0.09893343025683274,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,57,0.011663597298956415,0.09893343025683274,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,13,0.0962962962962963,0.09893343025683274,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,4798,0.1464546259271695,34.093648778954076,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,232,0.256353591160221,34.093648778954076,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,255,0.0521792510742787,34.093648778954076,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,79,0.5851851851851851,34.093648778954076,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,24765,0.7559293061872349,3913.4152003727204,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,165,0.18232044198895028,3913.4152003727204,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,4248,0.8692449355432781,3913.4152003727204,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,118,0.8740740740740741,3913.4152003727204,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0012158361680255747,0.004071454683363676,0.013697868597777595,0.07883391844617105,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.0021489884211421434,0.00476913992609719,0.03206346629830225,0.33980777686980046,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.02024679409295647,0.0452788315326242,0.2647135538577119,8.197341073274545,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.04455643637709126,0.06576472038393799,0.6467855544650156,22.074301037727906,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,1.5100908485712952,1.0924224858566038,17.68829050984645,3384.673152441066,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,2.724990643344829,1.2894834116846006,32.92551545129562,3019.749100008316,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.024887435852352084,0.08405765528618367,0.27981831082509334,1.5372290108604223,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.04187923887720346,0.09089598469325817,0.6779414775896867,5.5427683982577705,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.01170004527404675,0.013218500589244309,0.1370474219398181,12.288533245792738,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.03851851292499818,0.020208466418742122,0.41598398497396444,53.00111883662183,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.00023007980963082468,0.0006449096393613278,0.002954295637758562,0.016518636527406122,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.00021490710302621153,0.00043931517493859634,0.0036696914104590345,0.03255843741323011,,,
terminal_payoff_boundary,terminal,price,181,181,1.0,0.840867183748096,,,,,,0.5981192484830581,0.4656020671702716,0.840867048269543
lower_spot_boundary,lower_spot,price,181,181,1.0,0.9942418845895328,,,,,,0.9843628930788466,0.9843462237900079,0.994043652661235
