epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk
1,adam,0.001,95167557309.71802,61333.131860494614,0.0,0.0,0.0,0.0,22.81666535139084,2.311199040384963,1.850510589312762,95167329660.20534,3751.6705647706985,164440.57916092873,360273379328.0,1870.718994140625,0.0,0.0,0.0,0.0,6.3881635665893555,0.7537640929222107,1.496193289756775,360273281024.0,879.7412109375,101563.8125
2,adam,0.001,449864429237.46875,223755.1751268804,0.0,0.0,0.0,0.0,41.79740260913968,8.650653088465333,6.39553167950362,449841936943.5813,56944.42897987366,22226528.91796875,687279636480.0,24287.0625,0.0,0.0,0.0,0.0,19.60658836364746,7.563798427581787,4.467302322387695,687245557760.0,60063.83203125,33995788.0
3,adam,0.001,15836171872.46875,728044.4421386719,0.0,0.0,0.0,0.0,4.45535546168685,2.5057084672152996,1.3446971718221903,14794511985.582642,163186.7684020996,1040768783.96875,81166098432.0,312588.40625,0.0,0.0,0.0,0.0,0.6688887476921082,0.861861526966095,0.18932673335075378,80993427456.0,117279.4375,172246208.0
4,adam,0.001,16670261672.84375,307564.38903808594,0.0,0.0,0.0,0.0,1.1624910682439804,1.1029615662992,0.05869727290701121,16404547794.542606,212492.23278808594,265193676.203125,39861743616.0,367406.875,0.0,0.0,0.0,0.0,0.5392110347747803,0.6902028918266296,0.04687657207250595,39741231104.0,137041.046875,120010592.0
5,adam,0.001,4545934534.5,405635.9201660156,0.0,0.0,0.0,0.0,0.49966991133987904,0.45655522495508194,0.12148661189712584,4276636508.939262,300437.2568359375,268592032.453125,31463477248.0,437348.4375,0.0,0.0,0.0,0.0,0.47076594829559326,0.39708420634269714,0.13613899052143097,31324481536.0,176529.25,138382192.0
6,adam,0.001,1652234324.3125,434120.2517089844,0.0,0.0,0.0,0.0,0.4855227377265692,0.4809351693838835,0.09689952479675412,1400325005.975877,311856.4260253906,251163259.015625,18038169600.0,373850.75,0.0,0.0,0.0,0.0,0.4849894642829895,0.5738530158996582,0.06364065408706665,17924147200.0,152975.984375,113494800.0
7,adam,0.001,561849747.125,397439.3271484375,0.0,0.0,0.0,0.0,0.5358332190662622,0.6082258485257626,0.05400493601337075,338917084.7647163,293324.6667175293,222241895.234375,14596957184.0,346910.21875,0.0,0.0,0.0,0.0,0.5262971520423889,0.6317324638366699,0.04748454689979553,14492575744.0,141899.03125,103891824.0
8,adam,0.001,570540227.8613281,378213.8708496094,0.0,0.0,0.0,0.0,0.5435026548802853,0.6219540536403656,0.0467507045250386,360063562.9336853,268634.47161865234,209829819.56640625,14539843584.0,333807.5625,0.0,0.0,0.0,0.0,0.5079829692840576,0.6121821403503418,0.04615495726466179,14438538240.0,137033.75,100834352.0
9,adam,0.001,433734427.59375,362540.4294433594,0.0,0.0,0.0,0.0,0.5300174914300442,0.6093817241489887,0.04408646980300546,219724624.81823558,254765.6469116211,213392487.7109375,13871785984.0,316855.3125,0.0,0.0,0.0,0.0,0.5069056153297424,0.6142867803573608,0.0410015806555748,13775015936.0,130131.1484375,96323344.0
10,adam,0.001,359288059.59375,335202.1960449219,0.0,0.0,0.0,0.0,0.5417274422943592,0.6234199106693268,0.03834561910480261,168237147.32967427,242931.43267822266,190472776.546875,12185171968.0,302211.6875,0.0,0.0,0.0,0.0,0.5225887298583984,0.6332816481590271,0.03547373414039612,12088907776.0,125387.8671875,95837280.0
11,adam,0.001,368222192.0625,314826.1081542969,0.0,0.0,0.0,0.0,0.5452538933604956,0.6277275085449219,0.03443840052932501,188990101.4379921,226334.79571533203,178690924.2109375,11438594048.0,281127.0625,0.0,0.0,0.0,0.0,0.5216679573059082,0.6329978108406067,0.0325159877538681,11351686144.0,115899.3046875,86510536.0
12,adam,0.001,280495793.265625,303728.82775878906,0.0,0.0,0.0,0.0,0.5624708794057369,0.6511295512318611,0.027117228601127863,118990151.23521143,211229.51403808594,160990675.609375,9981628416.0,258521.890625,0.0,0.0,0.0,0.0,0.5495817065238953,0.666743814945221,0.023251846432685852,9901495296.0,106059.0390625,79769056.0
13,adam,0.001,242248732.109375,286960.2321166992,0.0,0.0,0.0,0.0,0.5854486227035522,0.6739137023687363,0.020941661205142736,89405373.01637888,195028.13793945312,152361365.30859375,9159415808.0,240678.09375,0.0,0.0,0.0,0.0,0.5632472634315491,0.6821339726448059,0.019014649093151093,9084996608.0,98671.296875,74080592.0
14,adam,0.001,224462945.5625,248260.5225830078,0.0,0.0,0.0,0.0,0.5851206928491592,0.6765106096863747,0.01834683062043041,73031607.85238266,204966.9838256836,150978105.8671875,8566873600.0,222282.453125,0.0,0.0,0.0,0.0,0.5635904669761658,0.6831691861152649,0.016668569296598434,8499143680.0,90966.2890625,67416728.0
15,adam,0.001,203533434.2421875,236842.72229003906,0.0,0.0,0.0,0.0,0.58485371991992,0.6751202270388603,0.016101193090435117,60365583.13436633,193706.80053710938,142737299.8203125,8080617472.0,207714.71875,0.0,0.0,0.0,0.0,0.5586273074150085,0.6795889139175415,0.014534194022417068,8016885760.0,85230.0234375,63438760.0
16,adam,0.001,170879996.40625,215857.25164794922,0.0,0.0,0.0,0.0,0.5927472673356533,0.6835671998560429,0.013043905841186643,47562396.70747572,177694.95770263672,122924049.46875,7338762752.0,188591.078125,0.0,0.0,0.0,0.0,0.5719635486602783,0.693088710308075,0.011287269182503223,7279550976.0,77945.4375,58945644.0
17,adam,0.001,149087481.57617188,195192.3321838379,0.0,0.0,0.0,0.0,0.5984010472893715,0.6914332844316959,0.010532528103794903,39966602.21715769,142164.22932434082,108783520.296875,6779613696.0,174749.359375,0.0,0.0,0.0,0.0,0.5748374462127686,0.6962796449661255,0.009390156716108322,6724689920.0,72126.1171875,54676924.0
