check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,961,961,1.0,0.8663806872033873,,,,,,,,
nonnegative_price,short_maturity,price,31,31,1.0,0.8663806872033873,,,,,,,,
nonnegative_price,atm,price,155,155,1.0,0.842808544155408,,,,,,,,
nonnegative_price,hard,price,5,5,1.0,0.8113434865806232,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,961,940,0.9781477627471384,0.8509446721485423,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,31,18,0.5806451612903226,0.8509446721485423,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,155,155,1.0,0.8426686290756649,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,5,5,1.0,0.8426686290756649,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,961,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,31,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,155,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,5,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,961,931,0.9687825182101977,16.7236234302662,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,31,9,0.2903225806451613,16.7236234302662,,,,,,,,
convexity_gamma_ge_0,atm,gamma,155,155,1.0,16.7236234302662,,,,,,,,
convexity_gamma_ge_0,hard,gamma,5,5,1.0,16.7236234302662,,,,,,,,
finite_values,full,price,961,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,31,0,0.0,0.0,,,,,,,,
finite_values,atm,price,155,0,0.0,0.0,,,,,,,,
finite_values,hard,price,5,0,0.0,0.0,,,,,,,,
finite_values,full,delta,961,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,31,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,155,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,5,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,961,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,31,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,155,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,5,0,0.0,0.0,,,,,,,,
finite_values,full,vega,961,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,31,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,155,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,5,0,0.0,0.0,,,,,,,,
finite_values,full,theta,961,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,31,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,155,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,5,0,0.0,0.0,,,,,,,,
finite_values,full,rho,961,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,31,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,155,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,5,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,930,0,,,surface_x,0.0009541407323814319,0.0015474532909476983,0.00590534937335796,0.011438367088707713,,,
smoothness_neighbor_jump,full,price,930,0,,,surface_y,0.0024049911559140403,0.00185397110814991,0.037353023416177744,0.05067762242902463,,,
smoothness_neighbor_jump,full,delta,930,0,,,surface_x,0.005552827508951756,0.006244917524010708,0.11623419658966111,0.21989070907514774,,,
smoothness_neighbor_jump,full,delta,930,0,,,surface_y,0.013789639680667983,0.014395677405804278,0.36656266901468737,0.6605147045342596,,,
smoothness_neighbor_jump,full,gamma,930,0,,,surface_x,0.0765037737266007,0.022022970540487536,2.185536208371833,9.862575368594815,,,
smoothness_neighbor_jump,full,gamma,930,0,,,surface_y,0.24237586897516494,0.10623953214659555,8.016733987703306,15.362612938810695,,,
smoothness_neighbor_jump,full,vega,930,0,,,surface_x,0.00922794063837271,0.019200178413270524,0.06938147332664436,0.16166756084900846,,,
smoothness_neighbor_jump,full,vega,930,0,,,surface_y,0.01573822372988137,0.017177694988514534,0.4059641431988275,0.6894185634319725,,,
smoothness_neighbor_jump,full,theta,930,0,,,surface_x,0.018413568886269292,0.00342591239884602,0.546541310524058,1.2749377056032074,,,
smoothness_neighbor_jump,full,theta,930,0,,,surface_y,0.08244760639398349,0.00618790040688551,3.475676533019117,5.410360917208617,,,
smoothness_neighbor_jump,full,rho,930,0,,,surface_x,0.000305134421310476,0.0003703524924603383,0.0007457945678638718,0.0019920093682463825,,,
smoothness_neighbor_jump,full,rho,930,0,,,surface_y,0.0005047471390367355,0.00043251280487468965,0.005360981614287351,0.006666328088481166,,,
terminal_payoff_boundary,terminal,price,31,31,1.0,1.0656612287775862,,,,,,0.9085807496553876,0.9054038036090255,1.0615931314818332
lower_spot_boundary,lower_spot,price,31,31,1.0,1.8782564918596227,,,,,,1.865479853657675,1.8654644452101674,1.8780108414006764
