tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,moneyness,pinn_price,ref_price,error_price,abs_error_price,pde_residual,pde_residual_dx_log_m,pde_residual_dv,pinn_delta,ref_delta,error_delta,abs_error_delta,stabilized_rel_error_delta,pinn_gamma,ref_gamma,error_gamma,abs_error_gamma,stabilized_rel_error_gamma,pinn_vega,ref_vega,error_vega,abs_error_vega,stabilized_rel_error_vega,pinn_theta,ref_theta,error_theta,abs_error_theta,stabilized_rel_error_theta,pinn_rho,ref_rho,error_rho,abs_error_rho,stabilized_rel_error_rho
0.005,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8663806972033874,0.19992304650387993,-1.0663037437072673,1.0663037437072673,0.0335515025447692,,,0.02381784166450679,-1.0014030064976613,1.025220848162168,1.025220848162168,0.5122510782854498,0.3887091164914816,1.6854709242667951,-1.2967618077753136,1.2967618077753136,0.48288059872752637,-0.0041882984652192815,0.002586849474208437,-0.006775147939427718,0.006775147939427718,0.006757666872431891,-0.044511816976069055,-0.009733796882760309,-0.03477802009330874,0.03477802009330874,0.03444276125120808,-0.0006080928594842321,-0.005005227258510046,0.004397134399025814,0.004397134399025814,0.004375235351780684
0.07150000000000001,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8420147513787142,0.19928524095808087,-1.041299992336795,1.041299992336795,0.22747738041699045,,,0.2293307220927836,-0.999999793453414,1.2293305155461978,1.2293305155461978,0.6146653212516108,0.9093432608786777,9.418465033950553e-06,0.9093338424136437,0.9093338424136437,0.9093252779653087,0.45024979599883547,1.1214918471822704e-07,0.45024968384965075,0.45024968384965075,0.4502496333545214,-0.2283956622104116,0.00999279462104269,-0.2383884568314543,0.2383884568314543,0.23602985892676542,-0.004482315057606082,-0.07144888291403809,0.066966567856432,0.066966567856432,0.06250094514476684
0.138,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8322786647755422,0.19862165699473922,-1.0309003217702815,1.0309003217702815,0.09385590414507106,,,0.20616460072706858,-0.9999258275580346,1.2060904282851033,1.2060904282851033,0.6030675796400776,0.13283768987294575,0.00721347275146067,0.12562421712148508,0.12562421712148508,0.12472452019362931,0.3934040504528298,0.000163401213192629,0.39324064923963714,0.39324064923963714,0.3931764037382676,-0.09107791147087654,0.009940635028535587,-0.10101854649941214,0.10101854649941214,0.10002424201552984,-0.006086412834449093,-0.13780160002768108,0.13171518719323197,0.13171518719323197,0.11576287745598839
0.20450000000000002,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8280635844890576,0.1979705979756502,-1.026034182464708,1.026034182464708,0.04532387811209754,,,0.18007644580627052,-0.9990032888145342,1.1790797346208046,1.1790797346208046,0.5898338142905369,-0.1085421880444444,0.06831998785265947,-0.17686217589710387,0.17686217589710387,0.1655516866745138,0.3323251908986382,0.0021160487812628553,0.33020914211737534,0.33020914211737534,0.3295118789076013,-0.04267801468095674,0.009560373358155697,-0.05223838803911244,0.05223838803911244,0.0517436989581406,-0.007071192802185269,-0.20392192533607825,0.19685073253389299,0.19685073253389299,0.16350788900114227
0.271,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8260477421040573,0.1973610471052487,-1.023408789209306,1.023408789209306,0.022309284645776847,,,0.1605016466027821,-0.9960482873188999,1.156549933921682,1.156549933921682,0.5794198172806554,-0.19159680326535694,0.21153674540584433,-0.40313354867120127,0.40313354867120127,0.33274562261515095,0.286886384404304,0.008047817739565755,0.2788385666647382,0.2788385666647382,0.27661244016181935,-0.02043160185970714,0.008697647626607118,-0.029129249486314256,0.029129249486314256,0.028878078138531677,-0.007781870285849186,-0.2694281124562599,0.2616462421704107,0.2616462421704107,0.20611347708705022
0.3375,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.825127435847349,0.19682180154603812,-1.0219492373933872,1.0219492373933872,0.009414176610668373,,,0.14588325708252142,-0.9905798786152913,1.1364631356978128,1.1364631356978128,0.5709206387077376,-0.22090469632918566,0.4159851995125958,-0.6368898958417815,0.6368898958417815,0.4497857011930696,0.25308432998932595,0.018362928101252618,0.23472140188807333,0.23472140188807333,0.23048894987341462,-0.00833612396965021,0.007474878379401698,-0.01581100234905191,0.01581100234905191,0.01569369389585682,-0.008350925572043422,-0.33388392524791655,0.3255329996758731,0.3255329996758731,0.24404897121417016
0.404,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8248359852103269,0.19637119632644295,-1.0212071815367698,1.0212071815367698,0.001344267046971194,,,0.134641533734244,-0.9827397411485751,1.1173812748828191,1.1173812748828191,0.5635541829789193,-0.2293505967069641,0.6496504204298326,-0.8790010171367967,0.8790010171367967,0.5328407802349812,0.22715081798470693,0.03215806571044355,0.19499275227426338,0.19499275227426338,0.18891752993282876,-0.0009806480322935521,0.006056063109059732,-0.007036711141353284,0.007036711141353284,0.00699435289879117,-0.008839682205730079,-0.3969554476551024,0.3881157654493723,0.3881157654493723,0.2778297375917425
0.47050000000000003,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8249421329267068,0.19601797506089813,-1.020960107987605,1.020960107987605,-0.004118156242043021,,,0.1257315491399526,-0.97293165725934,1.0986632063992927,1.0986632063992927,0.556868354946202,-0.22901520307480086,0.8869473344913814,-1.1159625375661824,1.1159625375661824,0.5914115975404185,0.20663030835185262,0.04816171351885168,0.15846859483300094,0.15846859483300094,0.1511871620467759,0.00386412337415873,0.004562297164715906,-0.0006981737905571756,0.0006981737905571756,0.0006950029804300902,-0.00928033037730491,-0.4584379330585683,0.44915760268126337,0.44915760268126337,0.3079716952639259
0.537,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8253179756321232,0.19576430065570039,-1.0210822762878236,1.0210822762878236,-0.008039009843605525,,,0.11848174843836656,-0.9616210128142522,1.0801027612526188,1.0801027612526188,0.5506174506680281,-0.22487442136996072,1.111080030909811,-1.3359544522797717,1.3359544522797717,0.6328298466752187,0.1899554685823402,0.06519639003583211,0.12475907854650808,0.12475907854650808,0.11712307675236425,0.007252673197503499,0.003072553154980999,0.0041801200425225,0.0041801200425225,0.004167315743387354,-0.009691362495593945,-0.518237816557114,0.50854645406152,0.50854645406152,0.3349583632521705
0.6035,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,-0.8258868598879165,0.19560811496400632,-1.0214949748519229,1.0214949748519229,-0.010984885801737598,,,0.11245059178015951,-0.9492487909355571,1.0616993827157166,1.0616993827157166,0.5446710484843476,-0.21914669879463308,1.3125460049122957,-1.5316927037069288,1.5316927037069288,0.6623404249918993,0.17610016715943805,0.08233227494031414,0.0937678922191239,0.0937678922191239,0.08663503287314868,0.009736958447481979,0.0016367865217947267,0.008100171925687252,0.008100171925687252,0.008086935338921878,-0.010084128445554074,-0.5763468136444649,0.5662626851989109,0.5662626851989109,0.3592246834881019
