tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.425985161408432,-0.42598516297667477,-1.5682427578767033e-09,3.1944952382468785,3.194495993149673,7.549027944975251e-07,1.5502362285269022,1.5502361520116201,-7.65152821102788e-08,-0.26328872164083084,-0.26328872295464534,-1.3138145016355907e-09,-0.5117532887605192,-0.5117534415449023,-1.5278438314503262e-07
0.537,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.35490753528197305,-0.35490753939854824,-4.1165751918370574e-09,2.0294936581696437,2.0294938590597553,2.0089011165680404e-07,1.7654714622494794,1.7654698104567141,-1.6517927652337505e-06,-0.2977572216730784,-0.29775723263576714,-1.0962688756777084e-08,-0.6986817643106491,-0.6986822511341342,-4.868234850796682e-07
0.57025,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.33725923386518364,-0.3372592347678396,-9.026559499858422e-10,1.5900227828720412,1.5900228764619826,9.358994135233445e-08,1.827876459382094,1.82787442116277,-2.038219323985402e-06,-0.2944651785066754,-0.294465187573271,-9.066595585416337e-09,-0.7077244117609238,-0.7077248322899963,-4.2052907245349047e-07
0.7919166666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.2628391271089492,-0.26283910981602676,1.7292922427358803e-08,-0.21173408307033345,-0.21173403507078303,4.799955041767667e-08,2.1478322822909846,2.1478301576762027,-2.124614781884304e-06,-0.23407326692648223,-0.23407325996227377,6.9642084599141896e-09,-0.5684388242713223,-0.5684385290726691,2.951986531884998e-07
1.0468333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.16573958814998513,-0.165739645598374,-5.744838887933312e-08,1.983264862388204,1.9832646412903732,-2.210978309324929e-07,2.052292851107973,2.05229154162812,-1.3094798529955654e-06,-0.2854761557155583,-0.28547613285415113,2.28614071562383e-08,-0.8695477524084394,-0.8695479262529199,-1.7384448047774725e-07
1.1133333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.0861570060687461,-0.0861570553262217,-4.925747559836324e-08,3.1936018077762145,3.193602227388296,4.196120815258553e-07,2.0670660251426165,2.067064727052184,-1.2980904324777498e-06,-0.3125125877492807,-0.31251258790662817,-1.5734746838802494e-10,-0.9896114365981479,-0.9896119648050581,-5.282069102108267e-07
1.3793333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,124,0.11924809796282076,0.11924809471537505,-3.2474457151154823e-09,1.4924935066856768,1.4924937027297058,1.9604402901052254e-07,2.2817312849460203,2.2817289780350642,-2.306910956040298e-06,-0.3341559445663167,-0.3341559478488234,-3.2825067108888106e-09,-1.165530431475048,-1.165530723723554,-2.9224850583986495e-07
1.5455833333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,139,0.16133357873746035,0.1613335616051378,-1.713232256062014e-08,1.287115405206214,1.2871154184706066,1.3264392695333527e-08,2.325087631296352,2.325084962145755,-2.669150596990022e-06,-0.2781091064912866,-0.2781091056197942,8.714924337738239e-10,-1.1489339359593842,-1.148934089498055,-1.53538670888409e-07
1.56775,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,141,0.1660411832041242,0.16604116409522238,-1.9108901821995872e-08,1.3628876469589517,1.3628877653263805,1.1836742874749007e-07,2.323749165383804,2.3237464815175977,-2.683866206165675e-06,-0.270178594325432,-0.27017859311893566,1.2064963472724344e-09,-1.150659641317997,-1.1506597808092893,-1.3949129229473556e-07
1.63425,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,147,0.18294168683333223,0.18294166673761303,-2.009571919980857e-08,1.6549653522176728,1.654965708040767,3.55823094100316e-07,2.3113572411176397,2.311354562505501,-2.678612138762304e-06,-0.2487466129208471,-0.24874661129408582,1.6267612812370658e-09,-1.1680702894178996,-1.168070396409253,-1.0699135333247511e-07
1.6453333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,148,0.18621728409828897,0.18621726455192375,-1.954636522083497e-08,1.7054630718008055,1.7054634091839749,3.3738316940201685e-07,2.3080662980445865,2.30806362671382,-2.671330766368385e-06,-0.24557676868597333,-0.24557676705202588,1.6339474495641326e-09,-1.1728546044342814,-1.1728547072700937,-1.0283581231007588e-07
1.734,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,156,0.21646800685004575,0.2164679969822396,-9.867806155527958e-09,2.0382913107387655,2.038291931731509,6.209927434497331e-07,2.2685103779351845,2.2685078121443336,-2.5657908508947003e-06,-0.2244516471860969,-0.22445164578368745,1.402409438577834e-09,-1.2299676571886353,-1.2299677380264562,-8.083782088164071e-08
1.90025,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,171,0.28175599806265494,0.28175600866621825,1.0603563305178199e-08,2.1766694293144995,2.176669951850364,5.225358643556888e-07,2.131069836577848,2.1310675441736,-2.2924042482053153e-06,-0.20097542307584426,-0.20097542244900574,6.268385255303599e-10,-1.4096626692283731,-1.4096627549298022,-8.570142906449973e-08
1.9224166666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,173,0.2904690131408372,0.2904690246225142,1.1481677053559736e-08,2.165768116417846,2.1657684935293244,3.771114784889562e-07,2.107412243599893,2.107409982993908,-2.2606059850716065e-06,-0.19890374798492427,-0.19890374744700817,5.379161005514277e-10,-1.4385199676653082,-1.4385200571700127,-8.950470453683579e-08
1.9335,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,174,0.29480473084445014,0.29480474255007677,1.170562663466157e-08,2.159907797483727,2.1599082028570518,4.053733246855984e-07,2.0952226358689208,2.0952203903535347,-2.245515386078978e-06,-0.1979289921133498,-0.19792899161865538,4.9469442431338e-10,-1.453232124911108,-1.453232216466965,-9.155585711795311e-08
0.3264166666666667,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,210,-0.5024910292684777,-0.5024910238949986,5.37347910611885e-09,3.6088733945990783,3.6088746543159664,1.2597168881356424e-06,1.3349021732936284,1.334903310871616,1.1375779875866243e-06,-0.21975602650048387,-0.2197560228102974,3.690186461957623e-09,-0.2881754501407596,-0.2881753398367166,1.103040430106006e-07
0.5148333333333334,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,227,-0.36242496706452015,-0.3624249708166968,-3.752176624960413e-09,2.304618116290878,2.3046184220686863,3.0577780840701507e-07,1.72942138035731,1.72942003399972,-1.3463575898597924e-06,-0.29727398426715457,-0.29727399490746753,-1.064031296404977e-08,-0.6760864430951918,-0.6760869256591056,-4.82563913717371e-07
0.5480833333333334,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,230,-0.3446694518239603,-0.34466945440973434,-2.5857740393320228e-09,1.8750813562830493,1.8750815245999983,1.6831694904517747e-07,1.7916489499381072,1.7916471750054177,-1.7749326894911377e-06,-0.2985910147171311,-0.29859102535800347,-1.0640872349920727e-08,-0.7015688856165658,-0.7015693612802252,-4.7566365934947896e-07
0.6589166666666667,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,240,-0.29793026104484555,-0.2979302483012469,1.2743598620801322e-08,0.5304803309413002,0.5304803745868992,4.36455990238116e-08,1.9814875971418955,1.9814850018160588,-2.5953258366850918e-06,-0.26470622976004776,-0.2647062279515826,1.8084651554062248e-09,-0.6434909019478741,-0.6434909488535085,-4.690563448761509e-08
0.7808333333333334,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,251,-0.2658247086512711,-0.2658246900684749,1.858279619071368e-08,-0.2257844232809383,-0.2257843581823384,6.509859989956013e-08,2.1383847061315353,2.138382512345065,-2.1937864702614718e-06,-0.23489388373376663,-0.2348938773729846,6.360782039971369e-09,-0.5628398686519098,-0.5628395885080675,2.8014384234609224e-07
0.8251666666666667,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,255,-0.25594029886822134,-0.2559402861654296,1.270279176290856e-08,-0.2492021867711976,-0.24920220116238476,-1.4391187158624419e-08,2.164454336449073,2.1644523977879198,-1.938661153388921e-06,-0.23698609647931912,-0.23698608614910216,1.0330216959619776e-08,-0.5750672625770559,-0.5750669191259068,3.434511490763015e-07
0.936,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,265,-0.2160867344113402,-0.21608675400336944,-1.9592029248949316e-08,0.3921828704235989,0.39218268456133687,-1.8586226202543799e-07,2.143401161048275,2.143399534961072,-1.6260872031104157e-06,-0.29528925752281276,-0.29528928100665874,-2.3483845978944373e-08,-0.7835596925045984,-0.7835602176931187,-5.251885202284257e-07
0.9803333333333334,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,269,-0.19626357288909793,-0.19626360776770957,-3.487861163775641e-08,0.8536655112563912,0.8536652928944685,-2.1836192276580846e-07,2.1096011324744923,2.109599633678914,-1.498795578314116e-06,-0.3021466177935417,-0.3021466386953048,-2.0901763098102322e-08,-0.8394882993947861,-0.8394889160703072,-6.166755210923469e-07
1.202,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,289,0.028011275563609318,0.028011280847902543,5.2842932252161745e-09,2.5258616786084995,2.5258621754915733,4.968830737972496e-07,2.1510817883863,2.1510801509014663,-1.6374848335054537e-06,-0.3492696451024013,-0.3492696529953449,-7.892943576504052e-09,-1.1187569693726918,-1.1187574871243475,-5.177516557708373e-07
1.4901666666666666,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,315,0.15302537211965325,0.15302536223928973,-9.88036352733701e-09,1.2108058812472149,1.21080587606468,-5.182534845715736e-09,2.3206213591758784,2.320618763096701,-2.596079177408228e-06,-0.29919596925109815,-0.2991959696335737,-3.824755512304989e-10,-1.1457194763664358,-1.145719675983417,-1.9961698116688353e-07
1.5566666666666666,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,321,0.16661087366402347,0.16661085584194088,-1.782208258749307e-08,1.3485091954806252,1.3485092904554352,9.497481001652375e-08,2.323381536403213,2.3233788558429267,-2.6805602861834643e-06,-0.27458505008237655,-0.2745850489838313,1.0985452547629393e-09,-1.1441294130137836,-1.1441295637791666,-1.5076538306679765e-07
1.7561666666666667,-0.22036962443148445,0.04,-0.7,2.0,0.3,0.04,0.01,339,0.2295032250296112,0.2295032214081973,-3.6214139187418226e-09,2.0849447002324517,2.084945412844258,7.126118064526565e-07,2.2546981323867676,2.254695584175904,-2.5482108636509793e-06,-0.2211196346785238,-0.22111963339998067,1.2785431324768837e-09,-1.2456381060560462,-1.2456381888543386,-8.279829244450809e-08
0.271,-0.2176033709385943,0.04,-0.7,2.0,0.3,0.04,0.01,386,-0.5499592048852285,-0.5499592028739998,2.011228739107196e-09,3.74157546057144,3.7415768664808695,1.4059094293195074e-06,1.186994965602095,1.1869963988472128,1.4332451176990446e-06,-0.2053322080511344,-0.20533220470060468,3.350529714785111e-09,-0.18809433330768677,-0.18809425233966218,8.09680245905664e-08
0.28208333333333335,-0.2176033709385943,0.04,-0.7,2.0,0.3,0.04,0.01,387,-0.5383363725198206,-0.5383363677004778,4.819342813711103e-09,3.704684725392659,3.70468613438936,1.4089967006469806e-06,1.2214729337609032,1.221474339554817,1.4057939139444642e-06,-0.20811653466429325,-0.20811653121770407,3.4465891807222704e-09,-0.20608798871057932,-0.20608789499375885,9.371682047065732e-08
0.34858333333333336,-0.2176033709385943,0.04,-0.7,2.0,0.3,0.04,0.01,393,-0.47418007007069524,-0.4741800582602737,1.181042152964551e-08,3.493425599239796,3.493426885389099,1.2861493030591475e-06,1.4034386669173338,1.4034396204386907,9.535213569833445e-07,-0.23033682397088917,-0.23033682046333895,3.507550222492384e-09,-0.329789303753214,-0.32978919107680355,1.1267641047973953e-07
0.8695,-0.2176033709385943,0.04,-0.7,2.0,0.3,0.04,0.01,440,-0.2448453842702184,-0.24484538263502878,1.6351896225952345e-09,-0.1215141912923065,-0.12151426719385994,-7.590155343129013e-08,2.167564969993152,2.1675632183774063,-1.7516157457819759e-06,-0.25208811686661114,-0.2520881021249734,1.4741637743842517e-08,-0.623312342669935,-0.6233120287455132,3.1392442179090096e-07
0.9803333333333334,-0.2176033709385943,0.04,-0.7,2.0,0.3,0.04,0.01,450,-0.194292919997205,-0.1942929559123939,-3.5915188906221474e-08,0.9201208237992362,0.9201205921612392,-2.3163799700576249e-07,2.1115182523959164,2.11151678249654,-1.4698993764383772e-06,-0.3030135439435755,-0.3030135639942097,-2.005063420851272e-08,-0.8344942659460619,-0.8344948767586832,-6.108126212600595e-07
1.1465833333333333,-0.2176033709385943,0.04,-0.7,2.0,0.3,0.04,0.01,465,-0.024528106217729845,-0.024528124487333977,-1.8269604131621042e-08,3.2746155669528196,3.2746164632304837,8.962776640863979e-07,2.1066774233685637,2.106676022193401,-1.4011751625631064e-06,-0.33660222020892583,-0.3366022309603412,-1.0751415369103512e-08,-1.0535623893359602,-1.053563024901356,-6.355653956457985e-07
1.5455833333333333,-0.2176033709385943,0.04,-0.7,2.0,0.3,0.04,0.01,501,0.16715974958576288,0.16715973314252744,-1.6443235439922432e-08,1.3339440624615846,1.3339442055056967,1.4304411211085721e-07,2.3225201710297405,2.3225174973877225,-2.6736420180029086e-06,-0.2790501923782829,-0.27905019140316206,9.751208174257897e-10,-1.137844507652086,-1.1378446700038036,-1.6235171762524203e-07
