check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,905,0,0.0,0.0,,,,,,,,
nonnegative_price,atm,price,4887,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,17419,0.531699276578859,1.245113217380776,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,44,0.04861878453038674,0.48544215489312864,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,4159,0.8510333537957847,1.1913201561849447,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,44,0.32592592592592595,0.48544215489312864,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,17898,0.5463203198925551,133.1914639127142,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,181,0.2,133.1914639127142,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,2856,0.5844076120319214,133.1914639127142,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,73,0.5407407407407407,133.1914639127142,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0006928590187479513,0.0013237484920408716,0.002417942518897087,0.0027679149344978504,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.004107065918739959,0.00605467465725024,0.01009001290230405,0.034742916217791395,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.01157780778358242,0.01997778211849138,0.05381846574919558,0.819077874097276,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.010545531085993117,0.02188809431494477,0.07343620554899338,0.6990364026640778,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,3.87732088643553,0.8005385259125908,45.15137257726142,2452.6364667111734,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,1.0112455866225514,0.5525485157370483,5.2347250390736475,776.4533291315922,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.009886438551448919,0.022454983056406367,0.04023264352231053,0.05974642970835031,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.01748909655580388,0.03730316959533327,0.1063682400261416,0.37101529346449447,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.002254398461254306,0.00445012189654331,0.015758310587623635,0.29092686953485414,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.012521485693579118,0.018824571178192993,0.19513164788387455,2.5485053222702883,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.00860447247160697,0.01608181053507005,0.03484800351461349,0.5296491658887409,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.021262951101820245,0.039210458789433675,0.09827766734795154,0.19334723705621598,,,
terminal_payoff_boundary,terminal,price,181,0,0.0,6.931471805599453e-05,,,,,,5.152122417979349e-06,3.829542435310265e-07,4.558856271443062e-15
lower_spot_boundary,lower_spot,price,181,181,1.0,0.0022579260163015924,,,,,,0.0019573695821048513,0.001938976242634857,0.002253202331072357
