tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.8252495308716177,-0.8252488544324932,6.764391244917789e-07,-0.1884194289214231,-0.18841115717804205,8.271743381055296e-06,0.15214170394919901,0.15214903084342277,7.326894223752545e-06,-0.050531790514452,-0.050531798867028674,-8.352576671977197e-09,-0.37770793736888186,-0.37770793815960796,-7.907260957118467e-10
0.537,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.7819854100128352,-0.7819862484574127,-8.384445775444505e-07,2.7506526304643586,2.750703702269802,5.107180544339229e-05,0.15340781954614746,0.153392299006666,-1.55205394814506e-05,-0.053273858760249926,-0.05327385276501128,5.9952386458062e-09,-0.46284981066499475,-0.46284981205907344,-1.3940786858235299e-09
0.57025,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.7635639624938712,-0.7635619307364032,2.031757467935158e-06,-0.8730643719892689,-0.8731813378361282,-0.0001169658468592738,0.1647500722588846,0.16477817314332588,2.8100884441273344e-05,-0.054978293233254316,-0.054978305068009325,-1.1834755009321185e-08,-0.48747417738054244,-0.4874741789345824,-1.5540399522784298e-09
0.7919166666666667,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.7441603001914419,-0.7441609935562596,-6.933648177831486e-07,-3.629330073273402,-3.6294700859817324,-0.000140012708330417,0.056281783665929064,0.05626394632150752,-1.7837344421546553e-05,-0.051364539838394396,-0.05136453814614963,1.6922447679257324e-09,-0.652572004782026,-0.6525720073865968,-2.6045707812727414e-09
1.0468333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.717350325560133,-0.717350088861134,2.3669899895661928e-07,-4.348401807168855,-4.348462731775971,-6.0924607115708795e-05,-0.00976996301096933,-0.009774165078427544,-4.202067458214387e-06,-0.050483771287523904,-0.050483771388542285,-1.0101838116005624e-10,-0.8427107346500873,-0.8427107388157289,-4.165641609432669e-09
1.1133333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.7308316944695457,-0.7308329240880194,-1.2296184737081717e-06,-2.0539169792003777,-2.05404687019822,-0.00012989099784244118,-0.06151239260135388,-0.06153680885193658,-2.441625058269975e-05,-0.04871813017018334,-0.048718129188982696,9.812006415699237e-10,-0.8923281221671908,-0.8923281267966415,-4.629450711668426e-09
1.3793333333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.6374699578801102,-0.6374689796418878,9.782382224265973e-07,-0.7888737157211305,-0.7889572248880062,-8.350916687571708e-05,0.06253531585287408,0.06254942198079311,1.4106127919022438e-05,-0.05245872300635446,-0.05245872336025831,-3.5390385066946806e-10,-1.0864981479891123,-1.0864981540030434,-6.013931130866013e-09
1.5455833333333333,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.6466656881792127,-0.6466660346300945,-3.4645088187179596e-07,-2.3611644039780475,-2.361214839928551,-5.0435950503580074e-05,-0.005887127731418751,-0.005895600037176818,-8.472305758067122e-06,-0.05021469192234562,-0.05021469181556715,1.0677847495088599e-10,-1.2029325474305352,-1.2029325535892992,-6.158763943275858e-09
1.56775,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.6472589056703143,-0.6472593697649777,-4.6409466336605476e-07,-1.8741378941425182,-1.8741870214078669,-4.9127265348669624e-05,-0.012909720738807362,-0.012919489229244296,-9.768490436934396e-06,-0.04996161834192048,-0.04996161821535619,1.265642868286676e-10,-1.2183127255149806,-1.2183127316390219,-6.124041274091496e-09
1.63425,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.644660131847441,-0.6446608467744124,-7.149269714012974e-07,0.17810263807337132,0.17807741689979348,-2.5221173577838485e-05,-0.02369409708768977,-0.023705520011680692,-1.1422923990922484e-05,-0.04943900331483286,-0.049439003167884646,1.469482174831782e-10,-1.2642727777770202,-1.264272783721148,-5.94412785659415e-09
