check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,0,0.0,0.0,,,,,,,,
nonnegative_price,non_hard,price,32626,0,0.0,0.0,,,,,,,,
nonnegative_price,short_maturity,price,905,0,0.0,0.0,,,,,,,,
nonnegative_price,atm,price,4887,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,135,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,21,0.0006410060742956564,0.00010338301465989208,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,32626,21,0.0006436584319254583,0.00010338301465989208,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,21,0.023204419889502764,0.00010338301465989208,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,40,0.0012209639510393456,4.014098537135664e-05,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,32626,40,0.0012260160608103966,4.014098537135664e-05,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,40,0.04419889502762431,4.014098537135664e-05,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,12049,0.3677848661518269,5.231367910174215,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,32626,12049,0.36930668791761173,5.231367910174215,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,244,0.2696132596685083,4.8805133849928755,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,1907,0.390218948229998,3.531036978177782,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
