region,variable,n_points,mse,rmse,mae,r2,mape_pct,p90_abs_error,p99_abs_error,max_abs_error,mean_stabilized_rel_error,p90_stabilized_rel_error,p99_stabilized_rel_error,max_stabilized_rel_error
full,price,961,0.0019741485202690724,0.04443139115838117,0.03755422116078369,0.34568838246841116,69.56132446460117,0.07116706747136742,0.08149591485908186,0.0833323379717377,,,,
full,delta,961,0.004624158897884285,0.06800116835675903,0.054939174936160254,0.9331629018396947,16.546965445700977,0.11438441035418523,0.18657458528314216,0.22716413096102428,0.03742707901024378,0.06654735997563836,0.1005366738468384,0.12413579806108913
full,gamma,961,4.367114988630364,2.0897643380607214,1.5553755326199457,-2.6764449746294847,361.64491188971135,3.557733433253133,6.074803413552219,8.517841640137199,0.5409970612117951,1.0950149439497934,2.1564330447092876,6.4230651251000825
full,vega,961,0.009309539270399342,0.09648595374664305,0.08078044760636034,0.12447610266063314,60.67144588283762,0.14903135633650855,0.20777933257365913,0.24421439627322017,0.062083314713758775,0.11622152037652644,0.1660046158674614,0.19814218896726343
full,theta,961,0.0016084205908061058,0.040105119259342764,0.03951054108720009,-3.2906979403678376,301.9146758766985,0.04484694543662253,0.047555508555301815,0.05953852708830107,0.038450928220660895,0.04396381368680715,0.046742970790407484,0.059103198505028993
full,rho,961,0.0016620899003807932,0.040768736801387324,0.02890217288239424,0.987212945850482,7.019523122522382,0.07182319563570233,0.12103620177769511,0.1268732069369114,0.017207595535285142,0.04022946380035102,0.0577715309214068,0.06160124118662773
full,head_delta,961,0.0013140237773406256,0.03624946589041866,0.03193703870484901,0.9810072408560022,11.166522644041804,0.05326146489102168,0.05694887368461596,0.057359861172220916,,,,
full,head_minus_autodiff_delta,961,0.003227235141303496,0.05680875937127562,0.040914675512033725,,,0.10587599954404558,0.15809644962313985,0.19798845382664898,,,,
full,head_gamma,961,0.1371972121565552,0.37040142029500267,0.3061641036601605,0.8845008655647205,31.946066842076515,0.6075120863106152,0.8518208461304105,0.8928209669867417,,,,
full,head_minus_autodiff_gamma,961,4.070062518513285,2.017439594761956,1.5274917257895155,,,3.395038965647923,5.675854824449888,8.135527712112122,,,,
