tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,moneyness,pinn_price,ref_price,error_price,abs_error_price,pde_residual,pde_residual_dx_log_m,pde_residual_dv,pinn_delta,ref_delta,error_delta,abs_error_delta,stabilized_rel_error_delta,head_delta,head_error_delta,head_abs_error_delta,head_minus_autodiff_delta,pinn_gamma,ref_gamma,error_gamma,abs_error_gamma,stabilized_rel_error_gamma,head_gamma,head_error_gamma,head_abs_error_gamma,head_minus_autodiff_gamma,pinn_vega,ref_vega,error_vega,abs_error_vega,stabilized_rel_error_vega,head_vega,head_error_vega,head_abs_error_vega,head_minus_autodiff_vega,pinn_theta,ref_theta,error_theta,abs_error_theta,stabilized_rel_error_theta,pinn_rho,ref_rho,error_rho,abs_error_rho,stabilized_rel_error_rho
0.05,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.19949369608445322,0.19950011026830516,-6.414183851943811e-06,6.414183851943811e-06,-5.9151683429299606e-05,,,-0.9998282069943877,-0.9999998483054302,0.00017164131104252522,0.00017164131104252522,8.582066203052681e-05,-0.9999996403898298,2.0791560040311907e-07,2.0791560040311907e-07,-0.0001714333954421221,0.031194251706670447,-7.4513792234372e-07,0.03119499684459279,0.03119499684459279,0.031194973600034977,5.170495774673572e-05,5.245009566907944e-05,5.245009566907944e-05,-0.03114254674892371,0.00021075095257013337,-1.0179261550123728e-08,0.0002107611318316835,0.0002107611318316835,0.0002107611296862908,8.272793239475412e-07,8.374585854976649e-07,8.374585854976649e-07,-0.00020992367324618584,0.00985428255745391,0.009995009638815135,-0.00014072708136122526,0.00014072708136122526,0.00013933443236670127,-0.04993211616048634,-0.04997499944563245,4.288328514610862e-05,4.288328514610862e-05,4.0842196403486e-05
0.115,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.19884093266302774,0.19885077455809153,-9.841895063783523e-06,9.841895063783523e-06,-0.0005615841838808155,,,-0.9986446567737427,-0.9999843308369049,0.001339674063162155,0.001339674063162155,0.0006698422795150404,-0.9994006824182439,0.0005836484186609869,0.0005836484186609869,-0.0007560256445011682,0.22395652835856986,0.001785204383290162,0.2221713239752797,0.2221713239752797,0.22177540954205924,0.038728906316872265,0.0369437019335821,0.0369437019335821,-0.1852276220416976,0.0014619274990633555,3.467629193942704e-05,0.0014272512071239285,0.0014272512071239285,0.0014272017170605313,0.0014252237524609024,0.0013905474605214753,0.0013905474605214753,-3.6703746602453164e-05,0.00913081302773118,0.00997708429452405,-0.0008462712667928699,0.0008462712667928699,0.0008379113545769171,-0.11452373657009628,-0.11486639751117579,0.0003426609410795145,0.0003426609410795145,0.0003073560579496069
0.18,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.1985480161923198,0.19820737810524336,0.0003406380870764336,0.0003406380870764336,0.0027816404526100204,,,-0.9700366881566749,-0.9995267044855115,0.029490016328836632,0.029490016328836632,0.014748498363478753,-0.9948580211504141,0.004668683335097401,0.004668683335097401,-0.02482133299373923,2.2718361746661833,0.03632321021103069,2.2355129644551526,2.2355129644551526,2.157158058825997,0.21838941475088958,0.1820662045398589,0.1820662045398589,-2.0534467599152935,0.05509649725268876,0.0010195361097169314,0.05407696114297183,0.05407696114297183,0.05402188388163956,0.012579230289651133,0.011559694179934202,0.011559694179934202,-0.04251726696303763,-0.005823081278412839,0.009757035693308817,-0.015580116971721656,0.015580116971721656,0.015429570105470174,-0.1765967548649027,-0.17960917350485744,0.003012418639954745,0.003012418639954745,0.0025537429748907765
0.245,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.19917349232259587,0.19759238429771675,0.0015811080248791243,0.0015811080248791243,0.005229601584623646,,,-0.9410874866998481,-0.9974945959247619,0.056407109224913765,0.056407109224913765,0.02823892957707827,-0.9853654882606802,0.012129107664081706,0.012129107664081706,-0.04427800156083206,3.452456342137767,0.14650189342749442,3.3059544487102728,3.3059544487102728,2.883514163964478,0.4681490385693754,0.321647145141881,0.321647145141881,-2.984307303568392,0.0870536251950182,0.005187588794256043,0.08186603640076216,0.08186603640076216,0.08144354080113764,0.036702884623839194,0.03151529582958315,0.03151529582958315,-0.05035074057117901,-0.015164434112235153,0.009087425158040629,-0.02425185927027578,0.02425185927027578,0.024033457028242642,-0.23302562276816075,-0.2439190749541939,0.010893452186033159,0.010893452186033159,0.008757364048327903
0.31,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.20010937438062476,0.1970348465543451,0.0030745278262796494,0.0030745278262796494,-0.02970775106912177,,,-0.9241635319380221,-0.9931461381246743,0.0689826061866522,0.0689826061866522,0.034609908860750695,-0.9725945223224669,0.020551615802207435,0.020551615802207435,-0.04843099038444476,8.843975109787248,0.3261334696500491,8.517841640137199,8.517841640137199,6.4230651251000825,0.7084473976751263,0.38231392802507724,0.38231392802507724,-8.135527712112122,0.08195240515357491,0.013607372381199856,0.06834503277237505,0.06834503277237505,0.06742752138021318,0.07027798184937262,0.05667060946817276,0.05667060946817276,-0.011674423304202292,-0.01762710377601874,0.008012942402066814,-0.025640046178085553,0.025640046178085553,0.025436227154966917,-0.2862661269707142,-0.30738104468676625,0.021114917716052062,0.021114917716052062,0.016150546010945843
0.375,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.20181923650785677,0.19655605754366523,0.005263178964191539,0.005263178964191539,0.0120869933568107,,,-0.8631632980287928,-0.9864274041465708,0.12326410611777805,0.12326410611777805,0.06205316431925487,-0.9581941165620154,0.028233287584555455,0.028233287584555455,-0.0950308185332226,4.8519790975036035,0.5460077185929908,4.305971378910613,4.305971378910613,2.7852198453636716,0.911583867054989,0.36557614846199815,0.36557614846199815,-3.9403952304486145,0.15280815068172982,0.025794767441182365,0.12701338324054745,0.12701338324054745,0.12381948833427853,0.10939006404659879,0.08359529660541642,0.08359529660541642,-0.043418086635131026,-0.030762234580128122,0.00669001973961365,-0.03745225431974177,0.03745225431974177,0.03720336308631432,-0.3339957932599339,-0.36963674282284564,0.03564094956291175,0.03564094956291175,0.02602219146768443
0.44,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.20396193474957647,0.19616763027643114,0.00779430447314533,0.00779430447314533,0.059881352632076355,,,-0.85348549577885,-0.9776447868814053,0.1241592911025553,0.1241592911025553,0.06278139124182408,-0.9432332972696589,0.03441148961174645,0.03441148961174645,-0.08974780149080885,-2.6988213898655435,0.7789248571075369,-3.4777462469730804,3.4777462469730804,1.9549708539278952,1.0746185296540671,0.29569367254653023,0.29569367254653023,3.7734399195196104,0.11448762578857971,0.04062757313661547,0.07386005265196424,0.07386005265196424,0.07097645167073405,0.15130628897529186,0.11067871583867639,0.11067871583867639,0.03681866318671215,-0.030623574048796353,0.005250860141103417,-0.03587443418989977,0.03587443418989977,0.03568704649987985,-0.38180259621212054,-0.43044472230388453,0.04864212609176399,0.04864212609176399,0.034004897451346904
0.505,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.206006831273663,0.1958739967786891,0.010132834494973902,0.010132834494973902,0.04574537892336168,,,-0.8211441780130353,-0.9672222869084364,0.14607810889540107,0.14607810889540107,0.07425602580223321,-0.9283261508522629,0.03889613605617348,0.03889613605617348,-0.10718197283922759,-0.03623594427550995,1.0056170861648468,-1.0418530304403568,1.0418530304403568,0.5194675681750371,1.2025167685026545,0.19689968233780775,0.19689968233780775,1.2387527127781646,0.1370410331258681,0.05693571513797635,0.08010531798789175,0.08010531798789175,0.07579015151118676,0.19432670979002875,0.1373909946520524,0.1373909946520524,0.05728567666416065,-0.034804914977265955,0.0037852196874627285,-0.03859013466472869,0.03859013466472869,0.03844461335737147,-0.4308429192475585,-0.4896741722842462,0.05883125303668768,0.05883125303668768,0.03949269855868994
0.5700000000000001,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.208079141910554,0.19567485483425484,0.012404287076299148,0.012404287076299148,0.03760299480363121,,,-0.8387268137228785,-0.9555886835182309,0.1168618697953524,0.1168618697953524,0.05975789836598477,-0.9138037974654019,0.04178488605282904,0.04178488605282904,-0.07507698374252336,-0.23729277515991995,1.2142528667400256,-1.4515456418999455,1.4515456418999455,0.6555464661256193,1.3017308773761942,0.08747801063616856,0.08747801063616856,1.539023652536114,0.05081339436626027,0.0737346064961455,-0.022921212129885224,0.022921212129885224,0.0213471857861438,0.23743571203341807,0.16370110553727257,0.16370110553727257,0.1866223176671578,-0.03053965826393043,0.002351045396977579,-0.03289070366090801,0.03289070366090801,0.032813557497594834,-0.4798439207635686,-0.5472831069398388,0.06743918617627026,0.06743918617627026,0.04358555061694499
0.635,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.2100965260038137,0.19556687703355025,0.014529648970263459,0.014529648970263459,0.03765365756907276,,,-0.8257755984425599,-0.9431304514194734,0.1173548529769135,0.1173548529769135,0.06039473720932364,-0.8998323439680169,0.04329810745145646,0.04329810745145646,-0.07405674552545705,-0.6977448808592557,1.3987021444551644,-2.0964470253144203,2.0964470253144203,0.8739922254042936,1.3781526499223624,-0.02054949453280197,0.02054949453280197,2.075897530781618,0.033793759607778376,0.09028428652679787,-0.0564905269190195,0.0564905269190195,0.05181265805359383,0.28004061846422434,0.18975633193742647,0.18975633193742647,0.24624685885644598,-0.031648069700662695,0.0009848763133328293,-0.03263294601399552,0.03263294601399552,0.03260083822063722,-0.5287924612268246,-0.6032952362373969,0.07450277501057234,0.07450277501057234,0.046468531388775894
