epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,dynamic_refresh,dynamic_refresh_count,loss_log_var_pde,loss_log_var_clamped_pde,loss_weight_pde,loss_log_var_low,loss_log_var_clamped_low,loss_weight_low
1,adam,0.001,330.6887043887982,330.69580079842126,0.0,0.0,0.0,0.0,1.8448784564060037e-17,-0.007095362082072787,0.0,0.0,0.0,0.0,22.764347076416016,22.779762268066406,0.0,0.0,0.0,0.0,1.7941205033501573e-17,-0.015415957197546959,0.0,0.0,0.0,0.0,0,0,0.00838126614689827,0.00838126614689827,0.9916537587449296,-0.0159993264824152,-0.0159993264824152,1.0161280010257872
2,adam,0.001,15.703212231397629,15.725815296173096,0.0,0.0,0.0,0.0,1.8474805287986695e-17,-0.02260301139904186,0.0,0.0,0.0,0.0,3.53893780708313,3.569547176361084,0.0,0.0,0.0,0.0,1.7941205033501573e-17,-0.030609391629695892,0.0,0.0,0.0,0.0,0,0,0.011797257699072361,0.011797257699072361,0.9882720571029177,-0.03199676796793938,-0.03199676796793938,1.032514168180831
3,adam,0.001,2.070404376834631,2.1081900857388973,0.0,0.0,0.0,0.0,1.870899294069995e-17,-0.037785699241794646,0.0,0.0,0.0,0.0,1.0039081573486328,1.0502490997314453,0.0,0.0,0.0,0.0,1.7941205033501573e-17,-0.046340905129909515,0.0,0.0,0.0,0.0,0,0,0.012754525057971478,0.012754525057971478,0.9873264691833744,-0.04798900708556175,-0.04798900708556175,1.0491591219446184
4,adam,0.001,0.6150464667007327,0.6692493949085474,0.0,0.0,0.0,0.0,1.844878451236125e-17,-0.05420292424969375,0.0,0.0,0.0,0.0,0.36562755703926086,0.4288320541381836,0.0,0.0,0.0,0.0,1.7941205033501573e-17,-0.06320449709892273,0.0,0.0,0.0,0.0,0,0,0.012973127886652946,0.012973127886652946,0.987110660413442,-0.06398238241672516,-0.06398238241672516,1.0660736169553369
5,adam,0.001,0.2166864015161991,0.2875217627733946,0.0,0.0,0.0,0.0,1.8266638307501307e-17,-0.07083536265417933,0.0,0.0,0.0,0.0,0.09017182141542435,0.1696481704711914,0.0,0.0,0.0,0.0,1.7941205033501573e-17,-0.07947634905576706,0.0,0.0,0.0,0.0,0,0,0.012985726818442345,0.012985726818442345,0.9870982239519062,-0.07998396456241608,-0.07998396456241608,1.0832696968320743
6,adam,0.001,0.07652325602248311,0.16359610203653574,0.0,0.0,0.0,0.0,1.8578888648982418e-17,-0.08707284601405263,0.0,0.0,0.0,0.0,0.0524178147315979,0.14808830618858337,0.0,0.0,0.0,0.0,1.7941205033501573e-17,-0.09567049145698547,0.0,0.0,0.0,0.0,0,0,0.012941458262503147,0.012941458262503147,0.9871419223320755,-0.09598984569311142,-0.09598984569311142,1.1007478866053821
7,adam,0.001,0.027914964593946934,0.13108684867620468,0.0,0.0,0.0,0.0,1.8318680324041292e-17,-0.10317188454791903,0.0,0.0,0.0,0.0,0.003040589392185211,0.11473652720451355,0.0,0.0,0.0,0.0,1.7941205033501573e-17,-0.11169593781232834,0.0,0.0,0.0,0.0,0,0,0.012878154404461384,0.012878154404461384,0.9872044142021613,-0.11199722439050674,-0.11199722439050674,1.1185097560944395
8,adam,0.001,-0.005155774764716625,0.11403524875640869,0.0,0.0,0.0,0.0,1.8396742702616417e-17,-0.11919102352112532,0.0,0.0,0.0,0.0,-0.022708550095558167,0.10498999059200287,0.0,0.0,0.0,0.0,1.7941205033501573e-17,-0.12769854068756104,0.0,0.0,0.0,0.0,0,0,0.012805529870092869,0.012805529870092869,0.9872761120665497,-0.1280043125152588,-0.1280043125152588,1.1365579041097955
9,adam,0.001,-0.03131066169589758,0.10388103779405355,0.0,0.0,0.0,0.0,1.8604909683101805e-17,-0.13519169948995113,0.0,0.0,0.0,0.0,-0.04655732214450836,0.09714724123477936,0.0,0.0,0.0,0.0,1.7941205033501573e-17,-0.14370456337928772,0.0,0.0,0.0,0.0,0,0,0.012726151384413242,0.012726151384413242,0.9873544836597413,-0.14401067793369293,-0.14401067793369293,1.1548964403666866
10,adam,0.001,-0.05617157043889165,0.095026187133044,0.0,0.0,0.0,0.0,1.8839097542610215e-17,-0.15119775757193565,0.0,0.0,0.0,0.0,-0.06791439652442932,0.0917958915233612,0.0,0.0,0.0,0.0,1.7941205033501573e-17,-0.15971028804779053,0.0,0.0,0.0,0.0,0,0,0.012640997767448425,0.012640997767448425,0.987438564045075,-0.16001629829406738,-0.16001629829406738,1.1735299973729403
