tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.33692391730427707,-0.3369239104786036,6.825673470878257e-09,1.4650804014415542,1.4650804271859805,2.574442636849028e-08,0.3427663549133986,0.3427663595733007,4.6599021308324495e-09,-0.08756522924389942,-0.0875652291476082,9.629122499354992e-11,-0.2977543733312382,-0.29775462180544787,-2.484742096520165e-07
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.33966036396673727,-0.33966035812019224,5.846545025889327e-09,1.3333527559833414,1.3333527681065747,1.212323330612719e-08,0.35005117183462,0.3500511752639317,3.4293117234796e-09,-0.08278626039526227,-0.08278626029160391,1.0365835967363068e-10,-0.3520742816692096,-0.3520745402440896,-2.585748799521781e-07
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.3400414613189545,-0.3400414557414274,5.57752710683701e-09,1.2997323925456605,1.2997324893014264,9.67557658437812e-08,0.35139036418462,0.3513903673139723,3.1293522773090388e-09,-0.08150179424737392,-0.08150179414904837,9.832554215272182e-11,-0.3682743697867863,-0.3682746309752043,-2.6118841800482073e-07
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.33891184592189927,-0.33891184165886684,4.263032427065383e-09,1.1225580284768277,1.1225579838915336,-4.458529412332268e-08,0.35298677419012825,0.35298677594549127,1.7553630216049498e-09,-0.07442131635532201,-0.07442131629787618,5.7445825873969625e-11,-0.4767677388203134,-0.476768011044387,-2.722240735608672e-07
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.33303780545904105,-0.33303780186634035,3.5927006925007277e-09,0.9755452251569707,0.9755452126544559,-1.2502514801226994e-08,0.34409581855174287,0.34409581948755313,9.35810262614467e-10,-0.06831909990595575,-0.06831909988040062,2.555512745860966e-11,-0.6036227615019429,-0.6036230336882581,-2.7218631515335545e-07
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.3311516009892046,-0.3311515975019359,3.487268696034107e-09,0.9427329916711358,0.9427329958755214,4.204385617434525e-09,0.34062636944616476,0.34062637024240244,7.962376868952958e-10,-0.0669281581496678,-0.06692815812651443,2.3153368111650252e-11,-0.6370356565615909,-0.637035927506271,-2.7094468013633133e-07
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.32323654645588507,-0.3232365433033777,3.152507366266377e-09,0.8280995944520697,0.8280996064044789,1.1952409173510148e-08,0.3244934171083014,0.32449341755048833,4.4218695371966987e-10,-0.061908830191192976,-0.06190883017283368,1.8359293252334652e-11,-0.7716732842145968,-0.7716735506381331,-2.664235363436518e-07
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.31831954101349536,-0.3183195380549862,2.9585091598782753e-09,0.7680993258096791,0.7680993534497658,2.7640086663893726e-08,0.313773485183938,0.3137734855235957,3.3965769086208297e-10,-0.059157358036077134,-0.05915735802021188,1.586525355534718e-11,-0.8565457216244687,-0.8565459881823815,-2.665579127425488e-07
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.31767385605716014,-0.31767385312371105,2.933449094744134e-09,0.7606918400737683,0.7606918202506575,-1.9823110819494616e-08,0.31235096844037247,0.31235096876892054,3.2854807763271765e-10,-0.058811367533301295,-0.05881136751756809,1.5733206404355826e-11,-0.8679046178484973,-0.8679048846817984,-2.668333011213164e-07
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.31575298545014063,-0.3157529825880184,2.862122205904427e-09,0.7392388395865979,0.7392387745189876,-6.506761029978492e-08,0.30811411067172,0.3081141109777415,3.0602148592961953e-10,-0.05780155580309421,-0.05780155578955886,1.3535346454762731e-11,-0.9020439713809669,-0.9020442394310004,-2.680500335028313e-07
1.6453333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,148,-0.3154352613457534,-0.3154352584939215,2.851831881756084e-09,0.7357716713674023,0.7357716733170961,1.9496938508112294e-09,0.30741332112907416,0.307413321432201,3.031268569486656e-10,-0.05763726812907377,-0.05763726811207657,1.699720225678547e-11,-0.9077431729472007,-0.9077434412583075,-2.683111067769417e-07
1.734,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,156,-0.3129189599218596,-0.3129189571649682,2.7568913818498686e-09,0.7090853682001352,0.7090852941087137,-7.409142155356818e-08,0.30187381332230645,0.30187381360107446,2.7876800867687734e-10,-0.05636244302026361,-0.05636244300509584,1.5167769817914234e-11,-0.9534354729816286,-0.9534357439837386,-2.7100211008601605e-07
1.90025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,171,-0.3083243001421321,-0.3083242975553899,2.586742153809496e-09,0.663610075224419,0.6636100818803493,6.6559303624202926e-09,0.29186132314812374,0.2918613233824763,2.343525373760258e-10,-0.05414474380016632,-0.05414474378940831,1.0758005597466536e-11,-1.0396006990757989,-1.039600978024554,-2.7894875520573237e-07
