region,variable,n_points,mse,rmse,mae,r2,mape_pct,p90_abs_error,p99_abs_error,max_abs_error,mean_stabilized_rel_error,p90_stabilized_rel_error,p99_stabilized_rel_error,max_stabilized_rel_error
full,price,32761,0.0017309081247992228,0.04160418398189325,0.028431776074284876,0.3999851184642662,42.46076855479629,0.07156657912694604,0.13735261835620477,0.1715769325497674,,,,
full,delta,32761,0.11091341976068858,0.33303666428891665,0.26187757579629917,-0.6095701891794956,61.888713503832996,0.5689364492669344,0.8185437916228389,0.942162053151918,0.16394028143590378,0.31251124775964106,0.41624883052827977,0.4702865562069141
full,gamma,32761,3.147128974377059,1.7740149307086057,1.3907832728594556,-1.023482800359615,7989.292622369769,2.264796250452482,5.368380968437403,28.799619153363583,0.4544323294587521,0.5853474416945501,1.6082792084190085,2.5706694903970897
full,vega,32761,0.01143166436781698,0.10691896168508642,0.08780978006605145,-0.02585957144099349,2401.867021099704,0.17609202727666695,0.28432823040699573,0.31538550232638535,0.06932994083495621,0.13321928259175933,0.27785805649231504,0.31197747624161226
full,theta,32761,0.0018877984751423762,0.04344880291955552,0.03693844870686559,-2.612320340601897,483.28223717567306,0.06241554018682255,0.10730279340261867,0.523316410520136,0.03597525245512584,0.06136374820766716,0.10576115292621821,0.331341655047649
full,rho,32761,0.024431331682090402,0.1563052516139186,0.11278063120278493,0.8054504410824738,323.84396474628784,0.28791430379790495,0.4207042046330335,0.47491284698047553,0.0665491651001044,0.14861177880563278,0.17939858537210163,0.1852351382521552
full,pde_residual,32761,0.0026199102765693196,0.05118505911464125,0.05011016058631909,,,0.06191288355687751,0.07211567231186107,0.07656726416089309,,,,
non_hard,price,32626,0.0017371614724210824,0.04167926909653146,0.028498219297086933,0.3961384858757615,42.26493358455208,0.07170364726187636,0.1373837762666189,0.1715769325497674,,,,
non_hard,delta,32626,0.11037033729299663,0.3322203143894073,0.2611446547889031,-0.6003783699784535,61.7813203773466,0.5671895074414564,0.8176278183535031,0.942162053151918,0.16346255318568767,0.3114960239507367,0.4154134108335672,0.4702865562069141
non_hard,gamma,32626,2.564072503843974,1.6012721517106248,1.3513272826236578,-1.3720472313678154,8021.958048130281,2.237151130732527,4.747470040532854,8.128376409700866,0.45273715505400175,0.5807810537228697,1.6094863877386931,2.5706694903970897
non_hard,vega,32626,0.011466309332106274,0.10708085418087715,0.08797542806786701,-0.03714973336426253,2411.462928996685,0.17627486914315033,0.28447493907852206,0.31538550232638535,0.06944146951614759,0.1333345505099941,0.2778850317097427,0.31197747624161226
non_hard,theta,32626,0.0017437272436931501,0.041757960243445205,0.03641673899769277,-4.2950783581271,484.9951101282877,0.06154909370351676,0.10539148793557976,0.12868384366259225,0.03559289509599155,0.06046894273218423,0.1043863206644161,0.12480311892662668
non_hard,rho,32626,0.02452828439340129,0.1566150835437037,0.11311720010708677,0.8040292620333032,321.37421984574075,0.28839439019094604,0.4209200364226786,0.47491284698047553,0.06669626164163592,0.1486697879660272,0.17941015650805373,0.1852351382521552
non_hard,pde_residual,32626,0.00262291426977927,0.051214395142179216,0.05013792901187654,,,0.06193166199846862,0.07211678286643322,0.07656726416089309,,,,
short_maturity,price,905,0.0051806257368462935,0.07197656380271493,0.04562763499265126,-0.26564053912047747,338.9318549720318,0.14032219397038764,0.16693344889975578,0.1715769325497674,,,,
short_maturity,delta,905,0.3264795427346982,0.5713838838597902,0.4229638642213866,-0.581816089727105,359.4093029810727,0.8793289531061345,0.9255319774501394,0.942162053151918,0.22502488074562854,0.44332205901948063,0.4651903170876914,0.4702865562069141
short_maturity,gamma,905,25.343402161003695,5.034223094083504,2.8664102986173443,-0.22333459652237697,210477.13020365828,8.554869264170762,20.881092489041063,28.799619153363583,0.7689366094748272,1.8279246135167115,2.4100779348673496,2.5706694903970897
short_maturity,vega,905,0.016950562700931565,0.13019432668488887,0.10223710844249395,-4.571930984831611,48773.68129857851,0.22865394532664687,0.2507760829733404,0.25641580256978747,0.1008231858000309,0.22865166876933088,0.25077608035191173,0.25641580010054504
short_maturity,theta,905,0.00951356252923739,0.09753749294111157,0.0735965325225513,-0.16361954696862613,2521.1897815422194,0.1193841695312274,0.35365056671562867,0.523316410520136,0.06740409069339466,0.10925793490075353,0.2513596350083481,0.331341655047649
short_maturity,rho,905,0.0008468353044260738,0.029100434780705144,0.02738105869631704,-2.3495380003621684,9560.252827250726,0.03647875994621231,0.04836406033247553,0.05649848962562974,0.027056368938016283,0.035865909155290955,0.04736255855980907,0.056217107984085656
short_maturity,pde_residual,905,0.002152074250392913,0.046390454302506164,0.04305433961411173,,,0.06637108340904253,0.0704168018414169,0.07154988180095288,,,,
atm,price,4887,0.0002890221464943783,0.017000651355003383,0.014858343160221126,0.4569861540145085,28.28521466548164,0.0259695128389476,0.03220658828826008,0.034051504245492345,,,,
atm,delta,4887,0.06281788071409888,0.2506349550922594,0.23365696363020216,-13.399796907425502,58.151216775752026,0.3437808841541651,0.5750316397147893,0.9243704502807213,0.1655787897006313,0.23877819962019997,0.3515014408583602,0.46710512801110804
