check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,327,0.00998138029974665,0.0014848385242567878,,,,,,,,
nonnegative_price,non_hard,price,32626,321,0.009838778888003432,0.0014848385242567878,,,,,,,,
nonnegative_price,short_maturity,price,905,307,0.3392265193370166,0.0014848385242567878,,,,,,,,
nonnegative_price,atm,price,4887,6,0.0012277470841006752,0.0003074273270960107,,,,,,,,
nonnegative_price,hard,price,135,6,0.044444444444444446,0.0003074273270960107,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,39,0.0011904398522633618,0.0024631697915864187,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,32626,39,0.0011953656592901367,0.0024631697915864187,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,39,0.0430939226519337,0.0024631697915864187,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,32626,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,32626,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,vega,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,theta,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,rho,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0003889491102043441,0.0006357497745323565,0.000724275062392356,0.0007531809433222458,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.0006753533666168957,0.000844677509478884,0.001061858272571384,0.0011216973667782237,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.001340098694774156,0.0023035246861559627,0.003954826609410651,0.005825742714135107,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.0007918271804516866,0.001914267488979675,0.0026608474414271414,0.0029830698406579093,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,0.004983502057710196,0.00922193615098954,0.022261786591451494,0.04340365076624497,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,0.003729417789662189,0.007632718768297521,0.02202819815559328,0.07085497867288026,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_x,0.0006941161691304046,0.0013894327416557246,0.001709062979310881,0.0017531618115699255,,,
smoothness_neighbor_jump,full,vega,32580,0,,,surface_y,0.0012817116901240695,0.003536365499546765,0.0043741771438573765,0.005658074466862839,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_x,0.0001594455976815331,0.00038622840803727174,0.0005351076224368321,0.000617671626963405,,,
smoothness_neighbor_jump,full,theta,32580,0,,,surface_y,0.0002044827655662694,0.0003914979278987285,0.0016303168171167006,0.002584536233495492,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_x,0.0017867730722792743,0.0026934036614349012,0.003080013841732062,0.0032365556382401017,,,
smoothness_neighbor_jump,full,rho,32580,0,,,surface_y,0.004754667087699545,0.005554952183705608,0.00630397422330715,0.007184742599465395,,,
terminal_payoff_boundary,terminal,price,181,178,0.9834254143646409,0.1721416073708149,,,,,,0.07344989453089674,0.04600309608961927,0.16935868075163968
lower_spot_boundary,lower_spot,price,181,181,1.0,0.2892658161047095,,,,,,0.28293875729853546,0.28288223121803985,0.28926143787559855
