epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk,dynamic_refresh,dynamic_refresh_count,loss_log_var_pde,loss_log_var_clamped_pde,loss_weight_pde,loss_log_var_term,loss_log_var_clamped_term,loss_weight_term,loss_log_var_low,loss_log_var_clamped_low,loss_weight_low,loss_log_var_no_arbitrage,loss_log_var_clamped_no_arbitrage,loss_weight_no_arbitrage
1,adam,0.001,0.279327396187,-0.0017891356528707547,0.0,0.0,0.0,0.0,0.08656500896904618,0.16452495887642726,0.0,0.0,0.030026562741113594,0.0,0.015555689111351967,-0.012739655561745167,0.0,0.0,0.0,0.0,0.025704147294163704,0.013089754618704319,0.0,0.0,-0.01049855723977089,0.0,0,0,-0.015998367220163345,-0.015998367220163345,1.0161270262930204,-0.016220184043049812,-0.016220184043049812,1.0163524453615882,-0.015683097764849663,-0.015683097764849663,1.0158067229724912,-0.01612219400703907,-0.01612219400703907,1.0162528578282404
2,adam,0.001,-0.04260463500395417,-0.01985258498461917,0.0,0.0,0.0,0.0,0.004664078140194761,-0.010627852949255612,0.0,0.0,-0.016788275621365756,0.0,-0.08671967685222626,-0.025797121226787567,0.0,0.0,0.0,0.0,-0.0066674090921878815,-0.024782437831163406,0.0,0.0,-0.029472708702087402,0.0,0,0,-0.03197793290019035,-0.03197793290019035,1.0324947208896675,-0.032595422118902206,-0.032595422118902206,1.0331324721301873,-0.032462406903505325,-0.032462406903505325,1.0329950589310992,-0.032293252646923065,-0.032293252646923065,1.032820338197647
3,adam,0.001,-0.12676402647048235,-0.03591045003850013,0.0,0.0,0.0,0.0,-0.01942459907149896,-0.035606869496405125,0.0,0.0,-0.03582210617605597,0.0,-0.16574887931346893,-0.04522572085261345,0.0,0.0,0.0,0.0,-0.02905571646988392,-0.046239010989665985,0.0,0.0,-0.04522842541337013,0.0,0,0,-0.04791862890124321,-0.04791862890124321,1.0490852866287828,-0.048924416303634644,-0.048924416303634644,1.0501409742037449,-0.04915362969040871,-0.04915362969040871,1.0503817081617013,-0.04840874671936035,-0.04840874671936035,1.0495995880443327
4,adam,0.001,-0.19978878181427717,-0.0523099098354578,0.0,0.0,0.0,0.0,-0.04059355368372053,-0.05371552612632513,0.0,0.0,-0.05316979042254388,0.0,-0.2388736456632614,-0.060872212052345276,0.0,0.0,0.0,0.0,-0.05266876518726349,-0.06287149339914322,0.0,0.0,-0.062461186200380325,0.0,0,0,-0.06381548941135406,-0.06381548941135406,1.0658957115714514,-0.06517288088798523,-0.06517288088798523,1.0673435317323872,-0.06565043330192566,-0.06565043330192566,1.0678533659390586,-0.06445169448852539,-0.06445169448852539,1.0665740555949639
5,adam,0.001,-0.2726498143747449,-0.0685012994799763,0.0,0.0,0.0,0.0,-0.06356236664578319,-0.07086700387299061,0.0,0.0,-0.06971914391033351,0.0,-0.31052857637405396,-0.07707130908966064,0.0,0.0,0.0,0.0,-0.07551676034927368,-0.07978228479623795,0.0,0.0,-0.07815822958946228,0.0,0,0,-0.07966605573892593,-0.07966605573892593,1.0829253705723099,-0.0813693255186081,-0.0813693255186081,1.0847714563744246,-0.0819801613688469,-0.0819801613688469,1.0854342760857056,-0.08042407780885696,-0.08042407780885696,1.0837465631050025
6,adam,0.001,-0.3411946836858988,-0.08454936370253563,0.0,0.0,0.0,0.0,-0.08401899924501777,-0.08723954064771533,0.0,0.0,-0.08538678474724293,0.0,-0.3750937879085541,-0.0928707867860794,0.0,0.0,0.0,0.0,-0.09287621825933456,-0.09564820677042007,0.0,0.0,-0.09369858354330063,0.0,0,0,-0.09547135978937149,-0.09547135978937149,1.100177312272762,-0.09752160310745239,-0.09752160310745239,1.1024352573334013,-0.09817510843276978,-0.09817510843276978,1.103155940104252,-0.09632603824138641,-0.09632603824138641,1.1011180120556114
7,adam,0.001,-0.4039453901350498,-0.09994711354374886,0.0,0.0,0.0,0.0,-0.10007397411391139,-0.10299207316711545,0.0,0.0,-0.1009322302415967,0.0,-0.4363752007484436,-0.10810775309801102,0.0,0.0,0.0,0.0,-0.10780557245016098,-0.11117330193519592,0.0,0.0,-0.10928857326507568,0.0,0,0,-0.11122758686542511,-0.11122758686542511,1.1176492401991178,-0.11359453201293945,-0.11359453201293945,1.1202977878918599,-0.11425546556711197,-0.11425546556711197,1.1210384750360731,-0.11216071248054504,-0.11216071248054504,1.1186926340669303
8,adam,0.001,-0.465137105435133,-0.11505513731390238,0.0,0.0,0.0,0.0,-0.11558691505342722,-0.11841713590547442,0.0,0.0,-0.1160779120400548,0.0,-0.49730539321899414,-0.12304229289293289,0.0,0.0,0.0,0.0,-0.12364840507507324,-0.12646333873271942,0.0,0.0,-0.1241513341665268,0.0,0,0,-0.12693126499652863,-0.12693126499652863,1.1353389775709055,-0.1295740008354187,-0.1295740008354187,1.1383433467046566,-0.13023634254932404,-0.13023634254932404,1.1390975687367095,-0.1279323399066925,-0.1279323399066925,1.1364761060162965
9,adam,0.001,-0.5255252420902252,-0.12994130281731486,0.0,0.0,0.0,0.0,-0.13096223678439856,-0.13358088117092848,0.0,0.0,-0.1310408217832446,0.0,-0.5571562647819519,-0.13773632049560547,0.0,0.0,0.0,0.0,-0.1389414668083191,-0.14160126447677612,0.0,0.0,-0.13887721300125122,0.0,0,0,-0.14258144795894623,-0.14258144795894623,1.153247006747146,-0.1454688310623169,-0.1454688310623169,1.1565816845979195,-0.14612826704978943,-0.14612826704978943,1.1573446277116202,-0.1436413824558258,-0.1436413824558258,1.1544700210760586
10,adam,0.001,-0.5849976055324078,-0.14468943793326616,0.0,0.0,0.0,0.0,-0.14594779536128044,-0.14854638278484344,0.0,0.0,-0.14581398386508226,0.0,-0.616497814655304,-0.15248438715934753,0.0,0.0,0.0,0.0,-0.1538918912410736,-0.15642741322517395,0.0,0.0,-0.15369410812854767,0.0,0,0,-0.1581786572933197,-0.1581786572933197,1.1713754507820489,-0.16128280758857727,-0.16128280758857727,1.175017225617398,-0.16193899512290955,-0.16193899512290955,1.1757885102994956,-0.15929067134857178,-0.15929067134857178,1.1726787612627787
