tau,moneyness,v,rho,kappa,gamma,bar_v,r,pinn_price,ref_price,error_price,abs_error_price,pde_residual,pde_residual_dx_log_m,pde_residual_dv,pinn_delta,ref_delta,error_delta,abs_error_delta,stabilized_rel_error_delta,pinn_gamma,ref_gamma,error_gamma,abs_error_gamma,stabilized_rel_error_gamma,pinn_vega,ref_vega,error_vega,abs_error_vega,stabilized_rel_error_vega,pinn_theta,ref_theta,error_theta,abs_error_theta,stabilized_rel_error_theta,pinn_rho,ref_rho,error_rho,abs_error_rho,stabilized_rel_error_rho
0.005,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.2224553648655268,0.19992304650387993,0.022532318361646875,0.022532318361646875,0.06402852679340292,,,-0.5016243824249575,-1.0014030064976613,0.4997786240727038,0.4997786240727038,0.2497141367581371,0.02629001336627843,1.6854709242667951,-1.6591809109005167,1.6591809109005167,0.6178361105710043,0.8602827936701091,0.002586849474208437,0.8576959441959007,0.8576959441959007,0.8554829386059735,-0.060050957768661754,-0.009733796882760309,-0.05031716088590145,0.05031716088590145,0.049832105294722304,13.318343305923618,-0.005005227258510046,13.323348533182127,13.323348533182127,13.256994264125417
0.07150000000000001,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.2264493104504782,0.19928524095808087,0.02716406949239733,0.02716406949239733,0.06409606414716384,,,-0.5032499650794201,-0.999999793453414,0.49674982837399395,0.49674982837399395,0.24837493983749492,0.026356457380826825,9.418465033950553e-06,0.026347038915792875,0.026347038915792875,0.026346790769465257,0.8652430562625402,1.1214918471822704e-07,0.8652429441133554,0.8652429441133554,0.8652428470770754,-0.060060670361483486,0.00999279462104269,-0.07005346498252618,0.07005346498252618,0.06936036113882456,13.372605727820133,-0.07144888291403809,13.444054610734172,13.444054610734172,12.547546434665314
0.138,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.23044248969303321,0.19862165699473922,0.031820832698294,0.031820832698294,0.06412328819289259,,,-0.5047821903615768,-0.9999258275580346,0.4951436371964578,0.4951436371964578,0.2475810004419224,0.026396018787221313,0.00721347275146067,0.019182546035760643,0.019182546035760643,0.019045164262307394,0.8699439206346378,0.000163401213192629,0.8697805194214452,0.8697805194214452,0.8696384194486684,-0.06002778445563083,0.009940635028535587,-0.06996841948416642,0.06996841948416642,0.06927973492440917,13.42389472984442,-0.13780160002768108,13.5616963298721,13.5616963298721,11.919210106175068
0.20450000000000002,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.23443204574098386,0.1979705979756502,0.036461447765333665,0.036461447765333665,0.06410949352168496,,,-0.5062180515471595,-0.9990032888145342,0.49278523726737467,0.49278523726737467,0.24651547099735405,0.026408264281023594,0.06831998785265947,-0.041911723571635875,0.041911723571635875,0.03923143257469058,0.8743732112457734,0.0021160487812628553,0.8722571624645106,0.8722571624645106,0.8704153211849247,-0.059951591374429104,0.009560373358155697,-0.06951196473258481,0.06951196473258481,0.06885369767571539,13.472107490268755,-0.20392192533607825,13.676029415604834,13.676029415604834,11.359565041385164
0.271,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.23841507758227723,0.1973610471052487,0.04105403047702852,0.04105403047702852,0.06405405397409626,,,-0.507554603529883,-0.9960482873188999,0.4884936837890169,0.4884936837890169,0.2447303939952092,0.026392845032913476,0.21153674540584433,-0.18514390037293085,0.18514390037293085,0.15281740407379124,0.8785190667367764,0.008047817739565755,0.8704712489972106,0.8704712489972106,0.8635217830728952,-0.05983147219863935,0.008697647626607118,-0.06852911982524647,0.06852911982524647,0.06793821715207778,13.517144473928505,-0.2694281124562599,13.786572586384766,13.786572586384766,10.860459486523153
0.3375,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.2423886461110295,0.19682180154603812,0.04556684456499138,0.04556684456499138,0.06395642482811838,,,-0.5087889748815025,-0.9905798786152913,0.48179090373378874,0.48179090373378874,0.24203545354278239,0.02634950233023643,0.4159851995125958,-0.3896356971823594,0.3896356971823594,0.27516932897072516,0.882369999480656,0.018362928101252618,0.8640070713794034,0.8640070713794034,0.8484274589515477,-0.05966690059007519,0.007474878379401698,-0.06714177896947689,0.06714177896947689,0.06664362597058443,13.558909938042303,-0.33388392524791655,13.892793863290219,13.892793863290219,10.415294464777432
0.404,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.2463497803619083,0.19637119632644295,0.049978584035465345,0.049978584035465345,0.06381614445949434,,,-0.5099183803039515,-0.9827397411485751,0.47282136084462356,0.47282136084462356,0.2384686961339285,0.026278072908302957,0.6496504204298326,-0.6233723475215296,0.6233723475215296,0.37788148313210734,0.8859149549901427,0.03215806571044355,0.8537568892796992,0.8537568892796992,0.8271571163783433,-0.05945744503446722,0.006056063109059732,-0.06551350814352695,0.06551350814352695,0.06511914250689732,13.597312439828594,-0.3969554476551024,13.994267887483696,13.994267887483696,10.017690908449625
0.47050000000000003,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.2502954838749717,0.19601797506089813,0.05427750881407356,0.05427750881407356,0.0636328355078296,,,-0.5109401334059505,-0.97293165725934,0.4619915238533896,0.4619915238533896,0.2341649910444218,0.026178493898012245,0.8869473344913814,-0.8607688405933691,0.8607688405933691,0.4561700397565074,0.8891433707255458,0.04816171351885168,0.8409816572066942,0.8409816572066942,0.802339606913689,-0.05920277052715548,0.004562297164715906,-0.06376506769187139,0.06376506769187139,0.06347547371809831,13.632265340977732,-0.4584379330585683,14.0907032740363,14.0907032740363,9.661503554344568
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.2542227411550609,0.19576430065570039,0.0584584404993605,0.0584584404993605,0.06340620559508252,,,-0.5118516597274257,-0.9616210128142522,0.4497693530868264,0.4497693530868264,0.22928453057380432,0.026050807313117787,1.111080030909811,-1.0850292235966932,1.0850292235966932,0.5139687779288399,0.8920452338446875,0.06519639003583211,0.8268488438088554,0.8268488438088554,0.7762407491646127,-0.05890263973833151,0.003072553154980999,-0.061975192893312506,0.061975192893312506,0.06178535410861447,13.66368730378092,-0.518237816557114,14.181925120338034,14.181925120338034,9.341043257964804
0.6035,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.258128524192682,0.19560811496400632,0.06252040922867569,0.06252040922867569,0.06313604765409296,,,-0.5126505099260974,-0.9492487909355571,0.43659828100945974,0.43659828100945974,0.22398284048692985,0.02589516399796703,1.3125460049122957,-1.2866508409143287,1.2866508409143287,0.5563784842252795,0.8946111374394816,0.08233227494031414,0.8122788624991675,0.8122788624991675,0.7504893657023773,-0.05855691370578772,0.0016367865217947267,-0.06019370022758245,0.06019370022758245,0.060095336989974546,13.691502773544508,-0.5763468136444649,14.267849587188973,14.267849587188973,9.051212248275586
0.67,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.26200979901679733,0.19554472483787377,0.06646507417892356,0.06646507417892356,0.06282223993323618,,,-0.5133343730319433,-0.9361976841993067,0.4228633111673634,0.4228633111673634,0.21839883118248532,0.025711826955084057,1.4871310058586928,-1.4614191789036088,1.4614191789036088,0.5875923606199616,0.896832334811393,0.09890587038066556,0.7979264644307275,0.7979264644307275,0.7261099298289511,-0.05816555211188129,0.0002855376771263088,-0.0584510897890076,0.0584510897890076,0.058434404564863894,13.715642441836389,-0.6328169243722038,14.348459366208592,14.348459366208592,8.787549389056819
0.7365,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.26586353225392634,0.1955678780640856,0.07029565418984074,0.07029565418984074,0.062464745748639194,,,-0.5139010896670358,-0.9227818789403288,0.40888078927329297,0.40888078927329297,0.21265063591021188,0.025501173971792874,1.6341250914869256,-1.6086239175151327,1.6086239175151327,0.6106862284991513,0.8987007913493172,0.11448629359037188,0.7842144977589454,0.7842144977589454,0.7036555786007562,-0.05772861320724828,-0.0009640473378874099,-0.05676456586936087,0.05676456586936087,0.056709894846202515,13.736043685130273,-0.6877388252658408,14.423782510396114,14.423782510396114,8.546217160184236
0.803,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.26968669767224085,0.19567051273067504,0.07401618494156581,0.07401618494156581,0.06206361305733264,,,-0.5143486651206887,-0.9092485482084594,0.3948998830877707,0.3948998830877707,0.20683524073297027,0.025263699466474273,1.7549228271434707,-1.7296591276769964,1.7296591276769964,0.6278430417851117,0.9002092335883881,0.1288257797668273,0.7713834538215608,0.7713834538215608,0.6833503164508694,-0.05724625344642369,-0.002104203131738107,-0.05514205031468558,0.05514205031468558,0.05502626387790584,13.75265097353349,-0.7412246890918462,14.493875662625335,14.493875662625335,8.323954831001602
0.8695,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.27347628269363333,0.19584527965252807,0.07763100304110526,0.07763100304110526,0.06161897392308915,,,-0.5146752821631384,-0.8957850792255055,0.38110979706236714,0.38110979706236714,0.20103006466221574,0.025000015478266017,1.8520195295848758,-1.82701951410661,1.82701951410661,0.6406055411452742,0.9013511950460944,0.14181079587317114,0.7595403991729233,0.7595403991729233,0.6652068818390212,-0.05671872689975522,-0.0031336385010183668,-0.05358508839873685,0.05358508839873685,0.05341769664788532,13.765416244509511,-0.7933955717671345,14.558811816276647,14.558811816276647,8.118014812499522
0.936,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.2772292948609327,0.19608489700397425,0.08114439785695843,0.08114439785695843,0.061131043941526776,,,-0.5148793134753269,-0.8825285554554538,0.36764924198012694,0.36764924198012694,0.19529543969715715,0.024710851729298582,1.9283484827292465,-1.9036376309999479,1.9036376309999479,0.6500720942972404,0.9021210584523984,0.15342048186824342,0.748700576584155,0.748700576584155,0.6491133011366794,-0.05614638450189728,-0.004055357594657914,-0.052091026907239366,0.052091026907239366,0.05188063239065826,13.774299236832745,-0.8443728459207637,14.618672082753509,14.618672082753509,7.926093747848175
1.0025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.28094276825120434,0.19638237929096347,0.08456038896024087,0.08456038896024087,0.0606001216825281,,,-0.51495933356801,-0.8695754514165659,0.35461611784855585,0.35461611784855585,0.18967735032029084,0.024397054696081832,1.986878394385215,-1.9624813396891332,1.9624813396891332,0.6570342279010217,0.9025140940132182,0.1636942124790397,0.7388198815341785,0.7388198815341785,0.6348917727796004,-0.055529673189914475,-0.004875038624988141,-0.05065463456492633,0.05065463456492633,0.05040888928263076,13.779267780436173,-0.8942728472752772,14.67354062771145,14.67354062771145,7.746265617869081
1.069,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.28461376982928427,0.1967311739530725,0.08788259587621178,0.08788259587621178,0.060026588196525,,,-0.5149141300605554,-0.8569904638213985,0.3420763337608431,0.3420763337608431,0.184210064847023,0.024059585636540308,2.030392112520378,-2.0063325268838375,2.0063325268838375,0.6620702709047016,0.9025264933710355,0.17270771793950357,0.729818775431532,0.729818775431532,0.6223364648045926,-0.05486913497399203,-0.005599860660227817,-0.04926927431376422,0.04926927431376422,0.04899490964668234,13.780298038326247,-0.9432038696158946,14.723501907942142,14.723501907942142,7.5769208461140405
