check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,961,10,0.01040582726326743,0.5242000738297073,,,,,,,,
nonnegative_price,short_maturity,price,31,10,0.3225806451612903,0.5242000738297073,,,,,,,,
nonnegative_price,atm,price,155,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,5,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,961,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,31,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,155,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,5,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,961,250,0.2601456815816857,15.835692664210828,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,31,22,0.7096774193548387,15.835692664210828,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,155,48,0.3096774193548387,15.835692664210828,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,5,5,1.0,15.835692664210828,,,,,,,,
convexity_gamma_ge_0,full,gamma,961,928,0.9656607700312175,391.85804881991396,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,31,18,0.5806451612903226,391.85804881991396,,,,,,,,
convexity_gamma_ge_0,atm,gamma,155,155,1.0,391.85804881991396,,,,,,,,
convexity_gamma_ge_0,hard,gamma,5,5,1.0,391.85804881991396,,,,,,,,
finite_values,full,price,961,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,31,0,0.0,0.0,,,,,,,,
finite_values,atm,price,155,0,0.0,0.0,,,,,,,,
finite_values,hard,price,5,0,0.0,0.0,,,,,,,,
finite_values,full,delta,961,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,31,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,155,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,5,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,961,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,31,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,155,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,5,0,0.0,0.0,,,,,,,,
finite_values,full,vega,961,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,31,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,155,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,5,0,0.0,0.0,,,,,,,,
finite_values,full,theta,961,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,31,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,155,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,5,0,0.0,0.0,,,,,,,,
finite_values,full,rho,961,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,31,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,155,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,5,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,930,0,,,surface_x,0.01381297519315648,0.021598664614582132,0.06708384728892341,0.22375257921657654,,,
smoothness_neighbor_jump,full,price,930,0,,,surface_y,0.026061101360049837,0.027423914968439995,0.8390194012619828,0.9719831800914897,,,
smoothness_neighbor_jump,full,delta,930,0,,,surface_x,0.06379986493652975,0.07380377795557817,1.1584920489394879,4.791086570990282,,,
smoothness_neighbor_jump,full,delta,930,0,,,surface_y,0.15753872285871257,0.17530615388404136,2.1385108360841585,13.500933174375596,,,
smoothness_neighbor_jump,full,gamma,930,0,,,surface_x,1.4390625919022728,0.6662167056881183,26.346007487958435,223.38634376155554,,,
smoothness_neighbor_jump,full,gamma,930,0,,,surface_y,2.8832326065865552,1.2978112517245481,96.95444737060207,365.80782798183947,,,
smoothness_neighbor_jump,full,vega,930,0,,,surface_x,0.14811562435303907,0.29679959083091345,0.8133929423784652,3.2160568568555057,,,
smoothness_neighbor_jump,full,vega,930,0,,,surface_y,0.15026546381516329,0.2069655613097395,2.9812138542411066,7.154625220146395,,,
smoothness_neighbor_jump,full,theta,930,0,,,surface_x,0.17811212942133095,0.04293914428200361,5.462195711318641,25.7531929721948,,,
smoothness_neighbor_jump,full,theta,930,0,,,surface_y,0.9580452996003707,0.10898485579424362,41.0634053419766,79.46898605623086,,,
smoothness_neighbor_jump,full,rho,930,0,,,surface_x,0.0005703309313354035,0.0013363153964930893,0.0065529171032866545,0.01216905247207159,,,
smoothness_neighbor_jump,full,rho,930,0,,,surface_y,0.0014946614181165826,0.0011756082908583158,0.039832271340757605,0.04976544934732967,,,
terminal_payoff_boundary,terminal,price,31,31,1.0,1.344711815221192,,,,,,0.9955277068863438,0.944893242058412,1.340883328540654
lower_spot_boundary,lower_spot,price,31,31,1.0,0.6010100233070083,,,,,,0.5550362342977267,0.554153346093259,0.6001811936497082
