tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,moneyness,pinn_price,ref_price,error_price,abs_error_price,pde_residual,pde_residual_dx_log_m,pde_residual_dv,pinn_delta,ref_delta,error_delta,abs_error_delta,stabilized_rel_error_delta,pinn_gamma,ref_gamma,error_gamma,abs_error_gamma,stabilized_rel_error_gamma,pinn_vega,ref_vega,error_vega,abs_error_vega,stabilized_rel_error_vega,pinn_theta,ref_theta,error_theta,abs_error_theta,stabilized_rel_error_theta,pinn_rho,ref_rho,error_rho,abs_error_rho,stabilized_rel_error_rho
0.005,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,1.3637161559111708,0.19992304650387993,1.1637931094072909,1.1637931094072909,-1.686957738987463,,,-0.16705497845625553,-1.0014030064976613,0.8343480280414058,0.8343480280414058,0.41688157024479855,-2.2912722807533044,1.6854709242667951,-3.9767432050200995,3.9767432050200995,1.4808364406722654,-0.23600137284815229,0.002586849474208437,-0.2385882223223607,0.2385882223223607,0.23797262296776053,1.7084302888286982,-0.009733796882760309,1.7181640857114584,1.7181640857114584,1.7016010467469316,-0.006373727932174637,-0.005005227258510046,-0.001368500673664591,0.001368500673664591,0.001361685130133738
0.07150000000000001,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,1.304951052209841,0.19928524095808087,1.1056658112517601,1.1056658112517601,-0.16443919392711787,,,-0.3716487574471957,-0.999999793453414,0.6283510360062183,0.6283510360062183,0.3141755504490529,0.27116490181657366,9.418465033950553e-06,0.2711554833515397,0.2711554833515397,0.2711529295071543,-0.594119929318364,1.1214918471822704e-07,-0.5941200414675487,0.5941200414675487,0.5941199748374778,0.15592703768567653,0.00999279462104269,0.14593424306463385,0.14593424306463385,0.14449038036889117,-0.03146990618479729,-0.07144888291403809,0.0399789767292408,0.0399789767292408,0.03731300425691731
0.138,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,1.304216014144803,0.19862165699473922,1.1055943571500637,1.1055943571500637,0.06920241956967656,,,-0.2934020092978794,-0.9999258275580346,0.7065238182601552,0.7065238182601552,0.35327501076519446,-1.0231343795021668,0.00721347275146067,-1.0303478522536276,1.0303478522536276,1.022968695443449,-0.3971092875528693,0.000163401213192629,-0.3972726887660619,0.3972726887660619,0.3972077845321798,-0.06313346195272154,0.009940635028535587,-0.07307409698125714,0.07307409698125714,0.07235484388564328,-0.042406753389494414,-0.13780160002768108,0.09539484663818666,0.09539484663818666,0.08384137149733824
0.20450000000000002,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,1.3099085203896346,0.1979705979756502,1.1119379224139845,1.1119379224139845,0.11291245480711014,,,-0.2960503640873686,-0.9990032888145342,0.7029529247271655,0.7029529247271655,0.3516517099599354,-2.078527372605457,0.06831998785265947,-2.1468473604581164,2.1468473604581164,2.0095546136633784,-0.39282240086265074,0.0021160487812628553,-0.3949384496439136,0.3949384496439136,0.39410450528581337,-0.09952881169322744,0.009560373358155697,-0.10908918505138314,0.10908918505138314,0.10805612812289159,-0.04833101088470176,-0.20392192533607825,0.1555909144513765,0.1555909144513765,0.12923671475452433
0.271,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,1.3169270710447056,0.1973610471052487,1.119566023939457,1.119566023939457,0.1255509087704211,,,-0.3151627571112069,-0.9960482873188999,0.680885530207693,0.680885530207693,0.34111676282253733,-2.5818264746906596,0.21153674540584433,-2.793363220096504,2.793363220096504,2.3056363999597673,-0.4290087061738533,0.008047817739565755,-0.43705652391341904,0.43705652391341904,0.4335672536779746,-0.10978379159532489,0.008697647626607118,-0.11848143922193201,0.11848143922193201,0.11745981513956168,-0.05210117647904069,-0.2694281124562599,0.21732693597721922,0.21732693597721922,0.1712006641768047
0.3375,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,1.3243771498074257,0.19682180154603812,1.1275553482613876,1.1275553482613876,0.12971988314769625,,,-0.3349474765371732,-0.9905798786152913,0.6556324020781181,0.6556324020781181,0.3293675421526898,-2.782734251207708,0.4159851995125958,-3.198719450720304,3.198719450720304,2.259006274798178,-0.4683920289178197,0.018362928101252618,-0.48675495701907234,0.48675495701907234,0.47797788351018594,-0.11370691841608788,0.007474878379401698,-0.12118179679548957,0.12118179679548957,0.12028269825488802,-0.0547462421297994,-0.33388392524791655,0.27913768311811715,0.27913768311811715,0.20926684686318295
0.404,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,1.3319987377746048,0.19637119632644295,1.1356275414481618,1.1356275414481618,0.1306199007701174,,,-0.35201510560622956,-0.9827397411485751,0.6307246355423455,0.6307246355423455,0.3181076277701354,-2.8304821819460564,0.6496504204298326,-3.480132602375889,3.480132602375889,2.1096182314002663,-0.5026751705955385,0.03215806571044355,-0.534833236305982,0.534833236305982,0.5181698947804584,-0.1152428685665007,0.006056063109059732,-0.12129893167556044,0.12129893167556044,0.12056875965808998,-0.05672741245334465,-0.3969554476551024,0.3402280352017577,0.3402280352017577,0.2435496677956743
0.47050000000000003,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,1.3396765272946811,0.19601797506089813,1.143658552233783,1.143658552233783,0.12990313530084668,,,-0.36604773255013956,-0.97293165725934,0.6068839247092005,0.6068839247092005,0.3076051430753773,-2.800787792899395,0.8869473344913814,-3.6877351273907766,3.6877351273907766,1.95433919112787,-0.5308080400484434,0.04816171351885168,-0.5789697535672951,0.5789697535672951,0.5523668209780322,-0.11550083355237331,0.004562297164715906,-0.12006313071708921,0.12006313071708921,0.11951785474724294,-0.05828278645393448,-0.4584379330585683,0.4001551466046338,0.4001551466046338,0.2743724210227082
0.537,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,1.3473417041662592,0.19576430065570039,1.1515774035105588,1.1515774035105588,0.12823919064194314,,,-0.37745122699762,-0.9616210128142522,0.5841697858166321,0.5841697858166321,0.2977995147893268,-2.7321776442872623,1.111080030909811,-3.8432576751970733,3.8432576751970733,1.8205172797455464,-0.5535099091309472,0.06519639003583211,-0.6187062991667793,0.6187062991667793,0.5808377731602777,-0.1149117299393034,0.003072553154980999,-0.11798428309428441,0.11798428309428441,0.11762288054157845,-0.059547837911788824,-0.518237816557114,0.4586899786453252,0.4586899786453252,0.3021199799155905
0.6035,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,1.3549460016295518,0.19560811496400632,1.1593378866655455,1.1593378866655455,0.1259560868896378,,,-0.38673075767714665,-0.9492487909355571,0.5625180332584105,0.5625180332584105,0.2885819582775915,-2.644756393231434,1.3125460049122957,-3.95730239814373,3.95730239814373,1.7112318586257973,-0.5717942727419538,0.08233227494031414,-0.654126547682268,0.654126547682268,0.6043675891660352,-0.11369824498270215,0.0016367865217947267,-0.11533503150449687,0.11533503150449687,0.11514656116515073,-0.060605304771197216,-0.5763468136444649,0.5157415088732678,0.5157415088732678,0.32717515232633954
