tau,log_moneyness,v,rho,kappa,gamma,bar_v,r,moneyness,pinn_price,ref_price,error_price,abs_error_price,pde_residual,pde_residual_dx_log_m,pde_residual_dv,pinn_delta,ref_delta,error_delta,abs_error_delta,stabilized_rel_error_delta,pinn_gamma,ref_gamma,error_gamma,abs_error_gamma,stabilized_rel_error_gamma,pinn_vega,ref_vega,error_vega,abs_error_vega,stabilized_rel_error_vega,pinn_theta,ref_theta,error_theta,abs_error_theta,stabilized_rel_error_theta,pinn_rho,ref_rho,error_rho,abs_error_rho,stabilized_rel_error_rho
0.005,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.22553472633716312,0.19992304650387993,0.02561167983328319,0.02561167983328319,3.965545494556916,,,-0.9745986655106804,-1.0014030064976613,0.026804340986980923,0.026804340986980923,0.013392775418023858,-0.1424365129312247,1.6854709242667951,-1.8279074371980197,1.8279074371980197,0.6806655103506983,-0.01790176487733196,0.002586849474208437,-0.020488614351540396,0.020488614351540396,0.020435750142030428,-3.955125173335307,-0.009733796882760309,-3.945391376452547,3.945391376452547,3.9073579478400333,-0.0007237357851238634,-0.005005227258510046,0.004281491473386183,0.004281491473386183,0.004260168362571996
0.07150000000000001,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.2873434580604819,0.19928524095808087,0.08805821710240103,0.08805821710240103,0.23765465655297494,,,-0.91993145431643,-0.999999793453414,0.08006833913698408,0.08006833913698408,0.040034173702952994,0.3276966710855311,9.418465033950553e-06,0.32768725262049714,0.32768725262049714,0.32768416633863434,-0.0799640617281284,1.1214918471822704e-07,-0.07996417387731311,0.07996417387731311,0.0799641649093972,-0.23228329808135068,0.00999279462104269,-0.24227609270239336,0.24227609270239336,0.2398790308135785,-0.056785771225031235,-0.07144888291403809,0.014663111689006851,0.014663111689006851,0.013685311472001662
0.138,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.2971923508009599,0.19862165699473922,0.09857069380622069,0.09857069380622069,0.10674661927337377,,,-0.8716382510194164,-0.9999258275580346,0.12828757653861822,0.12828757653861822,0.06414616720824139,0.6036085672282926,0.00721347275146067,0.5963950944768319,0.5963950944768319,0.592123825396841,-0.00460627490102651,0.000163401213192629,-0.004769676114219139,0.004769676114219139,0.004768896870684879,-0.10085351556150425,0.009940635028535587,-0.11079415059003983,0.11079415059003983,0.10970362687397896,-0.12255757790060635,-0.13780160002768108,0.015244022127074722,0.015244022127074722,0.013397785806157993
0.20450000000000002,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.3026485027663226,0.1979705979756502,0.1046779047906724,0.1046779047906724,0.07579016537365661,,,-0.8415877460196028,-0.9990032888145342,0.1574155427949313,0.1574155427949313,0.07874701541300776,0.6612636558155878,0.06831998785265947,0.5929436679629283,0.5929436679629283,0.555024407204769,0.043235846587824076,0.0021160487812628553,0.04111979780656122,0.04111979780656122,0.041032970040315815,-0.06877610936405812,0.009560373358155697,-0.07833648272221382,0.07833648272221382,0.07759464890805777,-0.18896545239449053,-0.20392192533607825,0.014956472941587723,0.014956472941587723,0.012423125309735165
0.271,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.306736925192486,0.1973610471052487,0.10937587808723731,0.10937587808723731,0.0638165110878755,,,-0.8209470451767167,-0.9960482873188999,0.17510124214218326,0.17510124214218326,0.08772395099588495,0.6603577371943908,0.21153674540584433,0.4488209917885465,0.4488209917885465,0.3704559465410181,0.07430374279974199,0.008047817739565755,0.06625592506017623,0.06625592506017623,0.06572696641390259,-0.05581664503781622,0.008697647626607118,-0.06451429266442334,0.06451429266442334,0.06395800844407719,-0.2554428061420481,-0.2694281124562599,0.013985306314211798,0.013985306314211798,0.011017013233739681
0.3375,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.3102108127683329,0.19682180154603812,0.11338901122229478,0.11338901122229478,0.0581379287044139,,,-0.8054598837195028,-0.9905798786152913,0.18511999489578845,0.18511999489578845,0.09299802378418676,0.6415285673354854,0.4159851995125958,0.22554336782288953,0.22554336782288953,0.15928370430744973,0.09580669303103806,0.018362928101252618,0.07744376492978544,0.07744376492978544,0.07604731357825455,-0.04933341812411046,0.007474878379401698,-0.05680829650351216,0.05680829650351216,0.05638681194204319,-0.3218778837154394,-0.33388392524791655,0.01200604153247714,0.01200604153247714,0.009000814317666877
0.404,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.3133613177287442,0.19637119632644295,0.11699012140230125,0.11699012140230125,0.05521582239016545,,,-0.7930313730512811,-0.9827397411485751,0.18970836809729397,0.18970836809729397,0.0956799140906907,0.6175885158620039,0.6496504204298326,-0.03206190456782865,0.03206190456782865,0.019435575059275047,0.11151922554602875,0.03215806571044355,0.0793611598355852,0.0793611598355852,0.07688857208218414,-0.04575503943715107,0.006056063109059732,-0.051811102546210804,0.051811102546210804,0.05149922001970412,-0.388238772964582,-0.3969554476551024,0.008716674690520398,0.008716674690520398,0.0062397657027301835
0.47050000000000003,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.3163298685036013,0.19601797506089813,0.12031189344270315,0.12031189344270315,0.053719194690208784,,,-0.7825338134942811,-0.97293165725934,0.19039784376505897,0.19039784376505897,0.09650503759950127,0.5930709705683975,0.8869473344913814,-0.2938763639229839,0.2938763639229839,0.15574168846752526,0.12351551592523091,0.04816171351885168,0.07535380240637923,0.07535380240637923,0.07189138988239142,-0.04371561975268311,0.004562297164715906,-0.048277916917399015,0.048277916917399015,0.0480586590335502,-0.4545146931985799,-0.4584379330585683,0.003923239859988381,0.003923239859988381,0.0026900286745564447
0.537,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.3191954418358905,0.19576430065570039,0.12343114118019011,0.12343114118019011,0.0530452043647524,,,-0.7733122955873739,-0.9616210128142522,0.18830871722687825,0.18830871722687825,0.09599648249929783,0.5696255633946722,1.111080030909811,-0.5414544675151388,0.5414544675151388,0.2564822079633753,0.13300829977097006,0.06519639003583211,0.06781190973513795,0.06781190973513795,0.06366141527465825,-0.04258517507563339,0.003072553154980999,-0.04565772823061439,0.04565772823061439,0.045517872148935164,-0.5207017851274157,-0.518237816557114,-0.0024639685703017333,0.0024639685703017333,0.001622913448361627
0.6035,-0.2231435513142097,0.04,-0.7,2.0,0.3,0.04,0.01,0.8,0.3220064327673944,0.19560811496400632,0.12639831780338806,0.12639831780338806,0.05288374281157479,,,-0.7649629825177484,-0.9492487909355571,0.18428580841780873,0.18428580841780873,0.09454196369123272,0.5477963248283084,1.3125460049122957,-0.7647496800839872,0.7647496800839872,0.3306959854893744,0.1407458134281635,0.08233227494031414,0.05841353848784936,0.05841353848784936,0.053970060618464516,-0.042033656969923824,0.0016367865217947267,-0.04367044349171855,0.04367044349171855,0.04359908110340586,-0.5867987422046252,-0.5763468136444649,-0.010451928560160306,0.010451928560160306,0.006630475267048482
