region,variable,n_points,mse,rmse,mae,r2,mape_pct,p90_abs_error,p99_abs_error,max_abs_error,mean_stabilized_rel_error,p90_stabilized_rel_error,p99_stabilized_rel_error,max_stabilized_rel_error
full,price,32761,0.01286919479294678,0.11344247349624734,0.10583263565131396,-3.4610735130993318,1583.9898425715887,0.15308290628720544,0.16801600238254644,0.17304638941122774,,,,
full,delta,32761,0.14945872076294844,0.3865989145910118,0.3164990549568172,-1.1689377351450876,104.20838951627742,0.6616821889144038,0.797114746497554,0.8961799047508237,0.2001675063170874,0.36062650618264236,0.4040390747488781,0.4475262597237717
full,gamma,32761,3.8003736515191093,1.9494547061984049,1.5995801576828006,-1.4434939849616222,5328.290940572234,2.5969464659811745,5.345811533721165,28.585730252820305,0.5192024569126472,0.6535158256104009,1.17448491903644,1.3856943399891704
full,vega,32761,0.011302441896031187,0.10631294321968134,0.07353008504822112,-0.014263350168094657,3688.4228936928894,0.19909911731367957,0.31382738097488627,0.32979516915251755,0.061735782190383115,0.17488930243908532,0.3119042043481293,0.32894092602478353
full,theta,32761,0.0017115829720818834,0.04137128197290826,0.037125808295467466,-2.27513029917716,543.4105627482114,0.06085324156051911,0.08762367487424222,0.4944611811509,0.036152437292618245,0.05999271952918563,0.08675272345232243,0.3130717531990153
full,rho,32761,0.0569377236762445,0.23861626867471653,0.21517556322099377,0.5465982300464776,2756.957496763449,0.31946625125487826,0.39410496444926724,0.4649062688490161,0.16587188326545688,0.29093360326763906,0.37238915275802814,0.4625908779428222
full,pde_residual,32761,0.0036914995414299963,0.0607577117856655,0.0600936211119945,,,0.07202308643905397,0.07595695349704261,0.07645434445648455,,,,
non_hard,price,32626,0.012880182193170017,0.11349089035323504,0.105853521603893,-3.4773306597248643,1577.788008048716,0.15312987837201786,0.16802659199799666,0.17304638941122774,,,,
non_hard,delta,32626,0.14919671348150496,0.38625990405620014,0.31612537612280583,-1.1633638075583201,104.30763263791285,0.6615999062257436,0.7966914135610123,0.8961799047508237,0.19992942319176735,0.36046898006764927,0.4034712755048529,0.4475262597237717
non_hard,gamma,32626,3.236476955163317,1.7990211102606097,1.561720234774352,-1.9940948196167079,5349.952828208272,2.5693124825169305,4.7730053242312405,7.965421453084936,0.5178398789674593,0.651213071932008,1.1759211332184496,1.3856943399891704
non_hard,vega,32626,0.011173992854112585,0.10570710881540836,0.0730149373896566,-0.010709145688834631,3702.3180410016103,0.19679981887522222,0.3138196994660374,0.32979516915251755,0.061253093228929814,0.17253316334044938,0.3118947743439508,0.32894092602478353
non_hard,theta,32626,0.0016010372582341717,0.04001296362723176,0.036714126607523156,-3.8617797119896053,545.4261378641689,0.06017701557415578,0.08662415239089621,0.11623573588611341,0.03586026575158947,0.05936217448146281,0.08596545396678942,0.11272059985192706
non_hard,rho,32626,0.05669823572548164,0.2381139133387246,0.2146641258855189,0.5470047999149278,2724.4029006096507,0.31868883927823516,0.3942496828405391,0.4649062688490161,0.16517480144911015,0.29020231395990226,0.3726125396786254,0.4625908779428222
non_hard,pde_residual,32626,0.003684795403484486,0.06070251562731553,0.06004072340536816,,,0.07189802852158281,0.07595794321103891,0.07645434445648455,,,,
short_maturity,price,905,0.007402098636455157,0.08603544988233139,0.0769162199132064,-0.808352230935151,34944.75239337029,0.11062674231657599,0.11127196715684744,0.11132770841564615,,,,
short_maturity,delta,905,0.2996495887962966,0.5474025838414508,0.4072443895669724,-0.45182309699344336,1418.9702866034008,0.8366356676280613,0.8803846401418014,0.8961799047508237,0.21765932079954559,0.42116469326594985,0.44306530749216144,0.4475262597237717
short_maturity,gamma,905,24.14687106425807,4.913946587444563,2.703998468126932,-0.16557763567060557,142658.29047269333,8.393152658363197,20.669020206247545,28.585730252820305,0.6610271206011405,1.307721625043185,1.3760160869146778,1.3856943399891704
short_maturity,vega,905,0.07787894843862464,0.27906799966786705,0.2750548540420428,-24.600101514472318,89471.86676618374,0.319539400792506,0.3262398759297663,0.32979516915251755,0.2690447231229296,0.3187451515520332,0.32547142102387927,0.32894092602478353
short_maturity,theta,905,0.008599193064208026,0.09273183414668355,0.07790973405461077,-0.05178150739201515,5791.184963631757,0.10184821300028318,0.32242842123185395,0.4944611811509,0.07255824014555035,0.09387404966646234,0.22916953475270516,0.3130717531990153
short_maturity,rho,905,0.12057193960060308,0.34723470391163824,0.34193469577481356,-475.905357344898,81700.66610391528,0.4301442589464403,0.4565799052384886,0.4649062688490161,0.3368237338703477,0.4183311455573326,0.4517491228877524,0.4625908779428222
short_maturity,pde_residual,905,0.0044318337769504185,0.06657201947477948,0.06630437362888668,,,0.07291797839088374,0.07398848674816762,0.07404309135731844,,,,
