tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.1317652444497719,-0.13176524069972476,3.750047133932455e-09,0.4994361729737662,0.49943607382427074,-9.914949544720386e-08,0.307738286427911,0.307738285688292,-7.396190326858232e-10,-0.05649520230938121,-0.0564952023651178,-5.573658895530187e-11,-0.21117061790157376,-0.21117068102333902,-6.312176525913316e-08
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.13504822349158507,-0.13504821992430915,3.567275919102997e-09,0.46168525669187943,0.4616853449991187,8.830723924324602e-08,0.3110483652295215,0.31104836513330275,-9.621875518561751e-11,-0.057197228785638154,-0.05719722885068534,-6.504718291777678e-11,-0.24216357580389425,-0.24216365469673973,-7.889284547868414e-08
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.13603904112868825,-0.1360390376381748,3.490513461601452e-09,0.4511435003351494,0.45114346867807315,-3.165707623820069e-08,0.31159554936807665,0.31159554935972694,-8.349709812449646e-12,-0.057316222611958345,-0.057316222674652376,-6.269403052261424e-11,-0.2519636983476514,-0.2519637832785005,-8.493084907579274e-08
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.1427813014530377,-0.14278129861921568,2.8338220103840683e-09,0.3919425201059923,0.3919424934695097,-2.6636482575170817e-08,0.3105192182606409,0.31051921794702847,-3.136124138158891e-10,-0.05709511517501542,-0.05709511521430471,-3.928928710150714e-11,-0.32392904530706423,-0.3239291867174372,-1.4141037296688808e-07
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.15051923741751794,-0.15051923535381823,2.0636997111189714e-09,0.34728974418474223,0.3472897511352753,6.95053309351934e-09,0.3024227618600439,0.30242276052594963,-1.3340942794926036e-09,-0.05547634381375399,-0.055476343816649024,-2.895031436800366e-12,-0.4210987934082089,-0.42109903331998944,-2.3991178055293716e-07
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.15245327323804014,-0.15245327134536815,1.8926719913547885e-09,0.33897536999560884,0.3389754552164117,8.522080285899847e-08,0.29976961274810754,0.2997696112147431,-1.5333644354242892e-09,-0.054986370761761494,-0.0549863707585499,3.2115907155905177e-12,-0.44878257504085695,-0.44878284587897715,-2.7083812020878284e-07
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.15958577124358664,-0.1595857698936826,1.3499040496522952e-09,0.3146959026700813,0.3146958425291836,-6.014089770634001e-08,0.28900252330432696,0.2890025213745781,-1.929748860707292e-09,-0.05323761509565261,-0.05323761507973993,1.5912680895180387e-11,-0.567771061470157,-0.5677714732793844,-4.118092273852625e-07
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.1634846129279499,-0.1634846118144732,1.1134766997322743e-09,0.3041400103986902,0.3041399561790223,-5.4219667922073e-08,0.28282405508034403,0.282824053165572,-1.91477200761625e-09,-0.052421698346627466,-0.05242169833409961,1.2527853754384921e-11,-0.6478945345020359,-0.6478950450600947,-5.10558058719468e-07
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.16397097649500925,-0.1639709754065136,1.0884956547219105e-09,0.30289482033651893,0.3028948013421785,-1.8994340433842183e-08,0.28204711534043914,0.2820471134370735,-1.9033656317724024e-09,-0.05232858155054809,-0.05232858153691046,1.3637632689800228e-11,-0.6588640404189827,-0.6588645645731643,-5.241541816136674e-07
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.16538321260348154,-0.16538321159034422,1.0131373240351849e-09,0.29933003020676807,0.29933002098165484,-9.225113228872317e-09,0.2797831071704726,0.27978310530652234,-1.863950271907555e-09,-0.0520681456926686,-0.052068145682736135,9.932464573036981e-12,-0.6921393032319201,-0.6921398686430305,-5.654111103758908e-07
