tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.14209915875244838,-0.14209915923928174,-4.868333514096435e-10,0.23444509528181,0.23444516415605496,6.8874244946171e-08,0.25094561519146963,0.2509456054860625,-9.705407144622313e-09,-0.049147202808574875,-0.04914720270940189,9.917298232631211e-11,-0.3259191096173508,-0.32591941530209384,-3.056847430182863e-07
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.1499476716302489,-0.14994767211678597,-4.865370606399466e-10,0.26822673110382667,0.2682267237054379,-7.398388790491595e-09,0.24613399996889496,0.24613399088184526,-9.087049696043792e-09,-0.04716609908209102,-0.047166099003807194,7.828382386776411e-11,-0.3714677481896078,-0.3714680972525574,-3.4906294960057593e-07
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.1520100157403892,-0.15201001620240762,-4.620184235193392e-10,0.27733950691555265,0.27733954700984076,4.009428811180271e-08,0.2449038869700021,0.24490387813424133,-8.83576076193826e-09,-0.0466933287977811,-0.04669332872438834,7.33927571494597e-11,-0.385271914929014,-0.385272276959743,-3.620307289509128e-07
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.16284568966927482,-0.16284568985040618,-1.8113135991093543e-10,0.3249638461100268,0.3249638536174243,7.507397481454348e-09,0.2383457932714217,0.23834578634711792,-6.924303769251239e-09,-0.04459593179718946,-0.04459593176231215,3.48773093739041e-11,-0.4781750796708367,-0.4781755252598893,-4.4558905260005943e-07
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.1709338182749598,-0.17093381811280012,1.6215967457711145e-10,0.3551333227491682,0.3551332938232742,-2.8925894013376308e-08,0.2318928173682122,0.23189281239868492,-4.9695272896777e-09,-0.04346354877803049,-0.04346354876913217,8.898319581174263e-12,-0.5860986484559211,-0.5860991803434548,-5.31887533683495e-07
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.17258861421842742,-0.17258861398026418,2.3816323913017357e-10,0.3597150410872274,0.3597150418338201,7.465926765704012e-10,0.23006529627764283,0.23006529170343534,-4.574207485008586e-09,-0.04325483374964523,-0.04325483374492786,4.717365387207906e-12,-0.6144564614002368,-0.6144570138542224,-5.524539855583654e-07
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.17823301023900395,-0.17823300977754272,4.6146123033885544e-10,0.3685465044256375,0.3685465564292852,5.200364766588805e-08,0.22154688261333266,0.2215468791618832,-3.451449459568323e-09,-0.04245332385993672,-0.04245332386348938,-3.5526581676492697e-12,-0.7290633133648361,-0.7290639402502104,-6.268853742774638e-07
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.1812948894171218,-0.18129488886705186,5.500699340466042e-10,0.368356020685745,0.36835602807982853,7.394083512135552e-09,0.21527347183719625,0.21527346878540624,-3.051790015140554e-09,-0.041902204026139644,-0.04190220402889326,-2.7536167790387367e-12,-0.8017051608819048,-0.801705828138594,-6.672566892351739e-07
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.18168532024423478,-0.18168531968323756,5.609972208997505e-10,0.3680792198812455,0.36807925261083485,3.2729589372060275e-08,0.21439441253240377,0.21439440952386887,-3.0085348934338896e-09,-0.041825421141367114,-0.0418254211435268,-2.1596890942277014e-12,-0.8114428764539883,-0.8114435487397266,-6.722857383012482e-07
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.18283435758770228,-0.18283435700109438,5.866079011429548e-10,0.3669420989282912,0.36694209595301447,-2.9752767471968866e-09,0.2117120428182795,0.21171203991814877,-2.900130718908045e-09,-0.041591979946659086,-0.04159197994478663,1.8724535810754617e-12,-0.8407171216641418,-0.8407178085500778,-6.868859360187329e-07
1.6453333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,148,-0.18302269964673434,-0.18302269905633445,5.903998956391376e-10,0.36671025938073143,0.3667102170990043,-4.2281727119508616e-08,0.21125930214971333,0.21125929926427403,-2.885439304156634e-09,-0.041552739217520784,-0.04155273921666401,8.567729858910411e-13,-0.8456041939743086,-0.8456048832206,-6.892462913743458e-07
