check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,32761,19007,0.5801715454351211,0.042623070269387914,,,,,,,,
nonnegative_price,non_hard,price,32626,18927,0.5801201495739594,0.042623070269387914,,,,,,,,
nonnegative_price,short_maturity,price,905,465,0.5138121546961326,0.008372603334879795,,,,,,,,
nonnegative_price,atm,price,4887,4598,0.9408635154491508,0.042623070269387914,,,,,,,,
nonnegative_price,hard,price,135,80,0.5925925925925926,0.007864298994764967,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,32761,6257,0.19098928604132964,0.019231752613908134,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,32626,6257,0.19177956231226628,0.019231752613908134,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,4887,550,0.11254348270922857,0.011560313933560648,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,135,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,32761,13185,0.40246024236134426,0.01285305578649048,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,32626,13130,0.4024397719610127,0.01285305578649048,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,905,440,0.4861878453038674,0.004896338504826564,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,4887,1501,0.30714139553918557,0.009775390970901904,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,135,55,0.4074074074074074,0.004093892029019825,,,,,,,,
convexity_gamma_ge_0,full,gamma,32761,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,32626,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,atm,gamma,4887,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,price,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,905,0,0.0,0.0,,,,,,,,
finite_values,atm,price,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,price,135,0,0.0,0.0,,,,,,,,
finite_values,full,delta,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,135,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,905,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,135,0,0.0,0.0,,,,,,,,
finite_values,full,vega,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,vega,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,905,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,135,0,0.0,0.0,,,,,,,,
finite_values,full,theta,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,theta,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,905,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,135,0,0.0,0.0,,,,,,,,
finite_values,full,rho,32761,0,0.0,0.0,,,,,,,,
finite_values,non_hard,rho,32626,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,905,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,4887,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,135,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_x,0.0011237574487676404,0.0022455987182762455,0.0022498088332531248,0.0022507538204376287,,,
smoothness_neighbor_jump,full,price,32580,0,,,surface_y,0.0002245517578488896,0.0004468604752694761,0.0012460596912081572,0.002122607527613149,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_x,0.005617890112560878,0.0001030784361388865,0.4022589407024303,0.402311459805616,,,
smoothness_neighbor_jump,full,delta,32580,0,,,surface_y,0.00015253733711690837,0.00024349094615451448,0.0006132529155942222,0.0012517525533972673,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_x,2.7779006872326546,0.0002227343334284017,161.78671417107572,161.7870501973111,,,
smoothness_neighbor_jump,full,gamma,32580,0,,,surface_y,0.00019233765897763513,0.00040425006068037965,0.00113700522664858,0.002525562351035666,,,
