tau,moneyness,v,rho,kappa,gamma,bar_v,r,row_index,fd_delta,ad_delta,ad_minus_fd_delta,fd_gamma,ad_gamma,ad_minus_fd_gamma,fd_vega,ad_vega,ad_minus_fd_vega,fd_theta,ad_theta,ad_minus_fd_theta,fd_rho,ad_rho,ad_minus_fd_rho
0.4261666666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,38,-0.46850917793592184,-0.4685091766822378,1.253684045465775e-09,1.335634194910007,1.3356343919392883,1.97029281334693e-07,0.17173998485248143,0.171739986447761,1.5952795751061899e-09,-0.03280596545474079,-0.032805965483551046,-2.8810252794553293e-11,-0.29518678426584954,-0.2951856530678341,1.131198015424939e-06
0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,48,-0.45606249753735173,-0.4560624958909973,1.6463544416644993e-09,1.3076289578917155,1.3076289439620725,-1.3929642994625624e-08,0.1755749763862613,0.17557497767741864,1.2911573477047966e-09,-0.03348654519452765,-0.033486545219012474,-2.4484823890613683e-11,-0.334855122646055,-0.3348540057344117,1.1169116432840909e-06
0.57025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,51,-0.4524419609154562,-0.4524419591629554,1.752500811136315e-09,1.2992003722844814,1.2992004383684275,6.608394609308732e-08,0.17653199766737293,0.17653199887114893,1.203775995550771e-09,-0.03365616614639522,-0.03365616616921518,-2.2819961198461414e-11,-0.34664766353442733,-0.34664655065107325,1.1128833540818839e-06
0.7919166666666667,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,71,-0.42950926813570267,-0.42950926575594084,2.379761832038696e-09,1.2432879198387425,1.2432879312523355,1.1413592959641505e-08,0.18097791613741476,0.1809779168556249,7.182101302571908e-10,-0.03444331660593103,-0.03444331662189696,-1.596592996699897e-11,-0.42441672899393157,-0.42441564070074544,1.0882931861244671e-06
1.0468333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,94,-0.40540186847598525,-0.40540186551836366,2.9576215920812388e-09,1.180663572464269,1.1806635135135064,-5.8950762493736875e-08,0.18277452759354884,0.1827745278838119,2.902630635848169e-10,-0.03476850286940336,-0.034768502880472674,-1.106931213357143e-11,-0.5130927629391768,-0.5130917002059272,1.062733249623804e-06
1.1133333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,100,-0.39946268965931897,-0.39946268656821005,3.091108924380137e-09,1.1647397518688152,1.1647396903541765,-6.15146387161758e-08,0.18278891434020395,0.1827889145319826,1.9177864851727122e-10,-0.03477604228613318,-0.03477604229435171,-8.21853002319628e-12,-0.5362595326244279,-0.5362584764363719,1.0561880560144843e-06
1.3793333333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,124,-0.37699422375081504,-0.3769942202028579,3.5479571502960994e-09,1.1029541724383307,1.1029541797982831,7.359952425289862e-09,0.18140607762784366,0.1814060775008458,-1.2699785667535934e-10,-0.03457150829597189,-0.03457150829959914,-3.6272512771162724e-12,-0.629645768596282,-0.6296447393264674,1.0292698146008306e-06
1.5455833333333333,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,139,-0.36391633965751624,-0.36391633586765737,3.789858871172669e-09,1.065912394460078,1.0659124521541812,5.769410327260971e-08,0.17961024690107963,0.17961024661408428,-2.869953441564377e-10,-0.0342990455534653,-0.03429904555559688,-2.1315796350229732e-12,-0.6889067335233423,-0.6889057223573877,1.01116595463413e-06
1.56775,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,141,-0.3622251199131288,-0.36222511609422836,3.818900418117721e-09,1.061063764629111,1.061063747821937,-1.6807174096911126e-08,0.1793274718833726,0.17932747157770654,-3.056660757838614e-10,-0.03425637553011729,-0.03425637553364911,-3.5318206692558363e-12,-0.6968738229159999,-0.6968728142686208,1.0086473790638095e-06
1.63425,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,147,-0.3572231991154362,-0.35722319521045287,3.904983336688872e-09,1.0466427585731353,1.0466426777787665,-8.079436875085833e-08,0.17842531851886,0.1784253181565424,-3.6231762035043857e-10,-0.03412079274081603,-0.03412079274107377,-2.577382751667301e-13,-0.7208765587821131,-0.7208755578476703,1.0009344427741595e-06
